#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker
       1       0.0000       0.0000       0.0000       0.0000       0.0000
       2       1.4444       0.1758       0.7338       0.7069       0.7856
       3       1.7002       0.1825       0.9194       0.8924       0.8361
       4       1.7038       0.1844       0.9299       0.8775       0.9000
       5       1.7541       0.1782       0.8261       0.8956       0.8351
       6       1.7574       0.1879       0.9309       0.9155       0.8390
       7       1.7344       0.3170       0.9348       0.7407       0.6490
       8       1.7262       0.2859       0.9077       0.7462       0.6356
       9       1.6958       0.3376       1.0812       0.6161       0.6439
      10       1.7061       0.3194       0.8519       0.6309       0.5945
      11       1.7613       0.3143       1.0632       0.6463       0.6910
      12       1.5973       0.7313       1.0754       0.6472       0.7777
      13       1.5439       0.7927       1.2577       0.4870       0.7214
      14       1.7227       0.8268       0.9825       0.4074       0.3349
      15       2.0225       0.8039       1.6461       0.9832       1.4423
      16       2.1762       0.9159       1.0779       0.7371       1.2650
      17       1.1246       0.8794       0.9812       0.4958       0.8580
      18       0.7139       1.1483       0.5226       0.5312       0.5164
      19       0.9068       1.1288       0.4386       0.6588       0.4870
      20       1.5086       1.4157       1.1509       0.7321       1.1851
      21       2.4312       1.2179       1.3673       0.3567       1.1104
      22       1.7215       1.4730       1.4197       0.5712       0.5691
      23       2.3696       1.5130       1.6966       0.8305       1.0858
      24       2.0713       1.7576       0.7244       0.5504       0.7645
      25       2.4953       1.3327       1.5973       0.4582       0.6013
      26       3.3402       1.2314       1.1928       0.5002       0.5805
      27       2.5444       1.4596       1.5353       0.3004       0.9388
      28       2.3001       1.3797       1.0635       0.5083       1.0035
      29       1.7441       1.1883       1.1035       0.5238       0.6049
      30       2.4859       1.1904       1.2417       0.6688       1.1872
      31       1.8590       1.3204       0.9037       0.3448       0.5628
      32       2.3472       1.1804       2.0102       0.5348       0.7267
      33       1.9933       1.0436       1.4176       0.5245       0.6581
      34       2.2239       1.2667       2.1459       0.4372       0.9212
      35       1.5670       1.2698       1.5902       0.4253       0.6580
      36       1.6054       1.4554       1.7527       0.8236       1.1278
      37       1.7245       1.4326       1.7420       0.4322       0.6523
      38       1.7941       1.5094       1.7430       0.5691       0.4409
      39       1.3245       1.5215       1.9052       0.6434       0.7422
      40       1.1446       1.4197       1.3854       1.0144       1.0188
      41       2.4464       1.5154       0.9203       0.5819       0.7088
      42       2.6602       1.6936       1.1050       1.0611       0.7108
      43       2.5109       1.6788       1.3051       0.5377       0.6598
      44       2.5416       1.5988       1.3777       0.4564       0.5779
      45       3.0194       1.8801       1.8531       0.8148       0.7885
      46       3.0682       1.7377       1.7487       0.6235       0.7086
      47       2.1529       1.4610       2.2865       0.9572       0.9802
      48       1.7737       1.4516       3.4712       0.3717       0.7330
      49       1.5405       1.8521       2.7451       0.6290       0.8741
      50       1.4537       1.5669       2.9480       0.6427       0.6090
      51       2.3354       1.4558       3.2170       0.5302       1.0521
      52       1.4751       1.3992       3.2285       0.5965       1.0573
      53       2.5275       1.6185       3.2876       0.7662       1.1577
      54       2.5210       1.6714       3.4316       0.7204       0.9583
      55       2.3880       1.5688       3.1296       0.5970       0.8119
      56       1.9316       1.3897       3.2059       0.5855       0.8516
      57       2.9796       1.8617       3.4504       0.7648       0.9450
      58       3.2592       1.4839       3.2732       0.5799       1.0010
      59       2.3389       1.3701       3.1922       0.8821       1.1882
      60       2.8711       1.7574       3.5999       0.7283       1.0034
      61       1.8996       1.4468       3.2220       0.5858       1.1171
      62       2.6917       1.6221       3.3301       0.6992       1.3362
      63       2.3794       1.5249       3.5737       0.7206       1.7690
      64       2.1898       1.7956       3.3508       0.6705       1.1321
      65       2.9316       1.7122       3.8198       0.6771       0.9457
      66       3.5280       2.0298       5.3119       0.9221       2.1974
      67       3.5760       1.7859       4.6800       0.7556       1.3183
      68       4.4459       1.5485       5.2614       1.0623       2.5161
      69       3.9395       1.7369       4.9047       0.9623       2.2151
      70       3.0852       1.8044       5.4693       0.6229       1.4535
      71       1.8741       1.6763       4.0884       0.6424       1.3036
      72       2.4660       1.8893       4.9198       0.8784       1.2505
      73       2.8145       1.8811       5.1521       1.0624       1.7019
      74       3.0804       1.6837       5.0150       0.7650       2.5999
      75       3.5311       1.5583       4.3276       1.0187       2.5636
      76       3.8691       1.4307       5.2868       1.0265       3.1769
      77       2.7830       1.5052       4.5011       1.2419       2.8886
      78       3.6312       1.1753       4.6413       0.7507       2.9144
      79       3.5422       1.5519       4.9380       0.9058       2.6914
      80       4.2565       1.3153       5.6410       1.0702       3.2331
      81       2.8996       1.2913       4.7880       1.1241       2.6924
      82       3.5074       1.5355       5.3931       1.1748       2.9988
      83       4.6883       1.5112       4.8088       1.0680       2.9039
      84       4.1347       1.4198       5.3069       0.9322       3.0321
      85       4.0537       1.5282       5.1430       1.0247       2.7945
      86       4.7693       1.4070       5.7110       0.8566       2.3549
      87       4.5630       1.3583       5.8239       1.3952       2.7795
      88       4.7491       1.5256       5.2868       1.0439       2.6306
      89       4.1941       1.3847       5.5584       1.0766       2.8815
      90       3.7243       1.4342       5.2401       1.0182       2.7918
      91       3.4947       1.3857       5.5930       1.0064       2.8747
      92       2.8141       1.2994       4.8017       0.8750       2.5898
      93       3.1582       1.3302       5.7688       1.2439       3.3873
      94       3.9600       1.2695       5.2090       1.0897       2.7388
      95       3.8029       1.2267       4.2144       0.9466       2.4499
      96       3.7776       1.4719       4.5047       1.0602       2.4955
