#Frame           CRBN        GSPT1
       1       0.0000       0.0000
       2       0.1940       1.4392
       3       0.1730       1.6074
       4       0.1650       1.6782
       5       0.1775       1.6789
       6       0.1744       1.6623
       7       0.3084       1.5850
       8       0.3017       1.6796
       9       0.3095       1.6377
      10       0.2911       1.6161
      11       0.3263       1.6418
      12       0.7913       1.1673
      13       0.8104       1.2476
      14       0.7661       1.4464
      15       0.9485       1.4587
      16       0.8530       1.2628
      17       1.3694       1.0932
      18       1.4600       1.7857
      19       1.1141       1.4871
      20       1.4216       1.3875
      21       1.3196       1.0691
      22       1.2458       0.7633
      23       1.3150       0.9768
      24       1.5706       1.3628
      25       1.1160       1.0078
      26       1.4337       1.2601
      27       1.3831       0.8896
      28       1.4535       0.9622
      29       1.4530       1.0591
      30       1.3144       1.4274
      31       1.4093       1.4260
      32       1.6654       1.6847
      33       1.4976       2.2806
      34       1.2953       2.2317
      35       1.3653       1.6611
      36       1.3943       1.3264
      37       1.1675       1.4113
      38       1.4999       1.0349
      39       1.3957       0.9756
      40       1.2177       1.4027
      41       1.4116       2.0854
      42       1.3970       2.8100
      43       1.1797       1.8543
      44       1.3049       2.6699
      45       1.4246       1.9331
      46       1.2964       2.0266
      47       1.3551       2.0009
      48       1.6394       1.3019
      49       1.3342       1.9063
      50       1.3313       1.9469
      51       1.7308       1.6155
      52       1.4275       2.0211
      53       1.3113       1.6086
      54       1.3979       1.3028
      55       1.4967       1.1032
      56       1.3998       1.1301
      57       1.2979       1.6967
      58       1.5394       1.3536
      59       1.4604       1.3194
      60       1.6128       1.5951
      61       1.7468       2.0082
      62       1.5955       1.8531
      63       1.6730       1.7352
      64       1.7665       2.0924
      65       1.5594       2.0935
      66       1.7795       1.7355
      67       1.4010       2.2848
      68       1.8168       2.1223
      69       1.7641       2.2426
      70       1.7694       2.2399
      71       1.9883       2.1080
      72       2.0182       2.3646
      73       1.8973       2.1446
      74       1.5030       2.1766
      75       1.9020       1.8860
      76       2.0876       1.8845
      77       1.9850       1.4434
      78       1.8827       1.4693
      79       2.2181       1.6139
      80       1.8103       1.5785
      81       1.6755       1.7486
      82       1.5228       1.7417
      83       1.9364       2.0595
      84       1.5061       2.6222
      85       1.9039       2.6335
      86       1.5424       2.6026
      87       1.6054       2.4229
      88       1.7649       2.9776
      89       1.6616       2.8163
      90       1.7886       3.5668
      91       1.8912       3.8345
      92       1.8596       2.6857
      93       1.8152       2.7547
      94       1.6364       2.9741
      95       1.9101       3.4907
      96       1.5684       2.8880
      97       1.5096       3.6381
      98       1.8530       3.0348
      99       1.7062       5.0280
     100       1.6097       4.7853
     101       1.5853       5.6410
     102       1.5117       4.9864
     103       1.6608       5.2309
     104       1.6199       5.4261
     105       1.7132       4.7572
     106       1.8621       5.8209
     107       2.0504       4.7363
     108       1.6785       4.7846
     109       1.7790       4.7240
     110       1.6412       4.5252
     111       1.7713       5.4892
     112       1.9146       4.9235
     113       1.6723       4.3632
     114       2.0951       4.2954
     115       1.8587       5.3769
     116       1.9732       4.9057
     117       1.9263       3.6756
     118       2.1323       4.3281
     119       2.1233       3.5911
     120       1.8220       4.5536
     121       1.9375       4.3516
     122       2.3381       4.3638
     123       2.0290       3.6348
     124       2.1187       4.2009
     125       2.0114       4.6056
     126       1.9249       3.9177
     127       1.9780       4.6046
     128       1.6488       4.0919
     129       1.7698       4.0367
     130       1.7030       4.2587
     131       1.7383       4.0918
     132       1.6903       4.6087
     133       1.6647       3.9198
     134       1.9415       3.8432
     135       1.8188       5.6805
     136       1.8895       4.4028
     137       1.7617       5.2351
     138       1.9750       4.9169
     139       1.7822       5.4252
     140       1.9729       6.1157
     141       1.9309       4.7311
     142       1.6342       5.2137
     143       1.4120       5.2229
     144       1.6839       5.1691
     145       1.6098       4.2682
     146       1.6653       4.3648
     147       2.0652       4.2341
     148       1.6541       4.9639
     149       1.5970       4.6664
     150       1.9886       5.5095
     151       1.7615       5.3727
     152       1.8982       4.4655
     153       1.7415       4.5902
     154       2.0857       5.8699
     155       1.8861       3.8363
     156       1.6913       4.9161
     157       1.9540       3.9171
     158       1.9728       3.9868
     159       1.9970       4.1347
     160       1.9591       4.2342
     161       2.0657       4.2265
     162       1.6741       3.7874
     163       1.7280       3.1867
     164       1.7323       4.2556
     165       2.2839       3.6011
     166       2.4419       3.7526
     167       2.3959       3.2589
     168       2.2643       3.4108
     169       2.2404       3.7616
     170       2.2795       4.2768
     171       2.5845       3.1430
     172       2.0187       4.5321
     173       2.0302       3.5508
     174       2.4587       4.8822
     175       2.2962       4.2457
     176       2.2567       3.7886
     177       2.4694       4.0580
     178       2.2208       3.5473
     179       2.3047       2.9517
     180       2.8636       3.0476
     181       2.4839       4.3362
     182       2.6730       3.6009
     183       2.4688       3.6302
     184       2.6952       3.0644
     185       2.6531       3.6797
     186       2.3778       3.1404
     187       2.2279       3.6702
     188       2.3029       4.3677
     189       2.4277       3.2887
     190       2.1088       4.1582
     191       2.1841       4.3693
     192       2.2770       3.7072
     193       2.0577       3.4149
     194       2.2105       2.9450
     195       2.2502       4.0576
     196       2.4150       3.4183
     197       2.3331       3.5065
     198       2.1033       4.3503
     199       1.9899       4.6166
     200       2.0991       3.9222
     201       1.8631       4.5794
     202       2.1212       4.3940
     203       2.3363       4.0444
     204       2.2452       3.8606
     205       2.0747       4.7036
     206       2.2555       3.7932
     207       2.0064       5.3786
     208       2.0335       3.8190
     209       2.2960       3.2583
     210       2.1575       4.3048
     211       2.2879       4.0942
     212       1.9722       4.0785
     213       2.1428       4.3389
     214       1.9117       3.3603
     215       2.0470       2.9585
     216       2.1272       4.0682
     217       2.1536       4.4427
     218       2.1370       4.6382
     219       2.3020       4.5572
     220       2.1565       4.8109
     221       1.9963       4.8909
     222       2.2786       4.2226
     223       2.3408       4.7329
     224       2.0688       3.7424
     225       2.1590       4.0120
     226       2.1326       4.1857
     227       2.3100       3.9647
     228       2.2754       4.2110
     229       1.9926       4.5648
     230       2.0988       3.5119
     231       2.2707       4.8550
     232       2.2361       4.5715
     233       2.1388       5.4214
     234       2.2229       5.5799
     235       2.1276       4.6233
     236       2.1995       4.0861
     237       1.9628       4.2124
     238       2.0802       3.8261
     239       2.2909       5.0984
     240       2.3145       4.9122
     241       2.0463       3.7931
     242       1.9975       3.6144
     243       2.3870       2.7855
     244       2.5554       3.8868
     245       2.2356       4.0370
     246       2.3445       3.8085
     247       2.4430       3.5057
     248       2.3113       3.9105
     249       2.1830       4.3612
     250       2.2671       3.9004
     251       2.1293       4.3067
     252       1.9747       5.3981
     253       1.8459       5.4878
     254       2.3055       4.7943
     255       2.3998       5.3381
     256       2.0892       4.2980
     257       1.9887       4.2532
     258       2.0695       3.7773
     259       2.0613       4.1817
     260       2.3121       3.9366
     261       2.2885       4.7690
     262       2.0377       3.8720
     263       2.2848       4.1842
     264       2.0355       4.4779
     265       2.3828       4.1452
     266       2.1713       4.5520
     267       2.4542       3.8938
     268       2.2543       4.9493
     269       2.0660       3.7689
     270       2.2706       4.9340
     271       2.1714       5.4148
     272       1.9773       4.8931
     273       2.3729       4.6078
     274       2.2034       5.8191
     275       2.2454       5.9198
     276       2.0416       5.7361
     277       2.4003       6.6538
     278       2.2550       5.8789
     279       2.4601       4.6269
     280       2.5715       5.1649
     281       2.4156       5.5960
     282       2.3472       5.3285
     283       2.7739       5.1046
     284       2.6448       6.3380
     285       2.6783       5.1345
     286       2.5299       5.1559
     287       2.6782       5.9279
     288       2.3474       5.2950
     289       2.3652       5.3251
     290       2.4755       5.8924
     291       2.4646       5.4491
     292       2.5654       4.4145
     293       2.5115       5.0256
     294       2.3392       4.8006
     295       2.5612       4.9581
     296       2.4105       5.5066
     297       2.1966       5.2272
     298       2.2582       4.6922
     299       2.2449       4.2364
     300       2.1330       4.3676
     301       1.9447       4.6428
     302       2.1371       4.7062
     303       1.8081       6.3038
     304       1.8690       6.3921
     305       2.2748       5.1051
     306       2.0857       5.4913
     307       2.0682       5.3660
     308       2.4230       5.2615
     309       2.1179       5.9028
     310       2.2036       5.1951
     311       1.8603       5.6735
     312       1.8196       5.3197
     313       2.4957       4.8943
     314       2.0196       5.7525
     315       2.2429       5.0414
     316       2.1357       5.5310
     317       2.0374       6.4151
     318       1.9263       5.4691
     319       1.7263       5.8137
     320       2.0424       5.0597
     321       2.0323       5.7236
     322       2.2403       4.8523
     323       2.0288       4.7158
     324       1.7736       4.8869
     325       2.2218       5.5444
     326       1.7653       6.0870
     327       1.8321       5.9852
     328       1.8796       6.1625
     329       2.1720       5.8877
     330       1.9564       7.9731
     331       1.9829       8.6853
     332       1.8524       8.3106
     333       2.0409      11.2684
     334       1.8999      10.1680
     335       2.2839      10.0591
     336       1.8697      10.5778
     337       1.6974      11.3236
     338       1.6709       9.1882
     339       1.7681       8.5676
     340       1.6448       8.0543
     341       1.8610       8.7719
     342       1.8458      10.4403
     343       2.0273      11.7357
     344       2.0144      10.1475
     345       1.7348       8.5987
     346       1.7791       7.3864
     347       1.6998       8.7299
