#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1
     131       1.8835       5.1825,     131       1.4440       3.6902,     131       1.7365       3.3001,     131       1.4449       5.9576,     131       2.3686       2.2403,     131       2.0777       1.8447,     131       1.4614       5.9989,     131       1.7383       4.0918,     131       1.6062       4.8840,     131       2.3137       2.4011
     132       1.8037       4.5194,     132       1.5216       3.6189,     132       1.8101       4.1477,     132       1.2486       6.3404,     132       1.9046       2.5993,     132       2.2256       2.0245,     132       1.4407       6.2544,     132       1.6903       4.6087,     132       1.9343       4.2513,     132       1.7269       3.0512
     133       2.0248       4.2670,     133       1.4260       4.8076,     133       1.8054       4.2367,     133       1.4116       5.9356,     133       2.1364       2.5027,     133       1.9716       2.1315,     133       1.3594       5.1621,     133       1.6647       3.9198,     133       1.6942       4.3936,     133       1.7171       3.5261
     134       1.8999       4.6475,     134       1.3207       4.3660,     134       1.6797       4.0008,     134       1.3879       5.6024,     134       2.0543       2.3656,     134       1.9311       3.1294,     134       1.2665       6.8794,     134       1.9415       3.8432,     134       1.8214       3.9553,     134       2.1526       3.7779
     135       1.9583       5.7035,     135       1.4434       3.7816,     135       1.5392       2.6109,     135       1.6584       4.5631,     135       1.9899       2.7327,     135       2.0451       3.0011,     135       1.3360       7.8800,     135       1.8188       5.6805,     135       1.5117       4.3673,     135       2.5385       2.7642
     136       2.0495       6.0206,     136       1.5226       4.2277,     136       1.6120       2.9693,     136       1.3578       5.8589,     136       2.7680       1.9062,     136       2.0010       2.3538,     136       1.4369       7.3885,     136       1.8895       4.4028,     136       1.6381       5.0267,     136       2.2887       2.7450
     137       1.8946       5.2854,     137       1.5188       4.2244,     137       1.4451       3.6236,     137       1.4907       5.9903,     137       2.4783       2.3511,     137       2.0697       2.2138,     137       1.4064       6.8012,     137       1.7617       5.2351,     137       1.4936       4.0887,     137       2.0655       3.3209
     138       1.8914       5.4345,     138       1.4883       5.2683,     138       1.5558       4.3542,     138       1.4104       5.5106,     138       2.5901       2.2476,     138       2.0456       3.8146,     138       1.3294       7.1062,     138       1.9750       4.9169,     138       1.4676       4.6282,     138       2.0371       4.2966
     139       1.8562       6.2247,     139       1.5187       5.7452,     139       1.7240       3.9637,     139       1.3957       4.5691,     139       2.3605       2.4471,     139       2.1982       3.2428,     139       1.2814       5.7000,     139       1.7822       5.4252,     139       1.5652       3.9038,     139       1.9060       4.1712
     140       2.2502       5.0420,     140       1.3518       5.9005,     140       1.6348       3.8692,     140       1.3504       5.5191,     140       2.1513       3.7439,     140       2.2939       2.1502,     140       1.3628       5.1387,     140       1.9729       6.1157,     140       1.5683       5.2036,     140       1.9981       4.1214
     141       2.1127       5.3673,     141       1.3591       6.0002,     141       1.6432       4.0383,     141       1.3954       6.6498,     141       1.9826       2.9970,     141       2.3258       3.4170,     141       1.2884       6.5051,     141       1.9309       4.7311,     141       1.4907       4.4217,     141       2.0562       3.3362
     142       1.7780       5.6143,     142       1.5391       5.7697,     142       1.4320       3.8107,     142       1.3718       5.5452,     142       1.9876       2.5369,     142       2.3178       2.8651,     142       1.3322       6.0186,     142       1.6342       5.2137,     142       1.8522       3.9201,     142       1.8426       3.4200
     143       1.9900       6.1598,     143       1.4600       4.6519,     143       1.6486       4.4590,     143       1.5752       5.3413,     143       2.1503       2.2093,     143       2.4723       3.5718,     143       1.2732       5.0760,     143       1.4120       5.2229,     143       1.7571       5.8139,     143       2.1862       3.9756
     144       1.9635       4.5691,     144       1.4946       4.0927,     144       1.5919       4.1716,     144       1.4554       4.9004,     144       1.8910       2.3775,     144       2.0251       3.8056,     144       1.3277       5.7927,     144       1.6839       5.1691,     144       1.7088       5.8589,     144       2.0981       4.0965
     145       1.9120       5.2386,     145       1.4193       5.3207,     145       1.6133       5.4145,     145       1.4216       4.4764,     145       1.9230       2.4871,     145       2.2415       2.9015,     145       1.3613       6.0639,     145       1.6098       4.2682,     145       1.7419       5.2185,     145       2.0854       3.8329
     146       1.7919       5.1694,     146       1.4990       4.6962,     146       1.6204       3.4452,     146       1.6270       5.2173,     146       2.0186       1.6816,     146       2.0809       2.2932,     146       1.3265       5.2065,     146       1.6653       4.3648,     146       1.7262       4.7963,     146       2.0439       4.4016
     147       1.7783       5.3977,     147       1.3543       5.4541,     147       1.7124       4.4595,     147       1.4493       4.8629,     147       2.0865       2.1068,     147       2.0853       2.8179,     147       1.4098       5.5244,     147       2.0652       4.2341,     147       1.6920       5.2942,     147       2.0459       3.6545
     148       1.6946       4.8101,     148       1.3620       4.7399,     148       1.7421       4.0547,     148       1.5393       4.3336,     148       2.0956       2.4309,     148       2.0860       2.1084,     148       1.3434       6.0619,     148       1.6541       4.9639,     148       1.7269       5.5533,     148       1.9479       4.0622
     149       2.2716       4.8091,     149       1.4132       5.9563,     149       1.5534       3.2982,     149       1.5193       3.8623,     149       2.1071       2.8852,     149       2.2994       2.4718,     149       1.4575       5.6718,     149       1.5970       4.6664,     149       1.4934       4.7512,     149       2.0912       2.8824
     150       2.0354       4.8365,     150       1.5149       5.3033,     150       1.6715       3.9475,     150       1.4441       4.5192,     150       1.8278       1.9055,     150       2.3589       2.3543,     150       1.4466       6.3043,     150       1.9886       5.5095,     150       1.7209       4.6684,     150       2.1520       3.3731
     151       2.0106       4.2383,     151       1.5516       6.0956,     151       1.5637       3.7516,     151       1.4670       4.9201,     151       2.1986       2.3652,     151       2.5232       1.8066,     151       1.6689       6.5658,     151       1.7615       5.3727,     151       1.9706       4.4603,     151       2.5099       3.6289
     152       1.8431       4.9266,     152       1.7832       6.5399,     152       1.3212       3.7463,     152       1.4647       4.5351,     152       2.3130       2.3470,     152       2.8298       1.9478,     152       1.6849       6.1150,     152       1.8982       4.4655,     152       1.7990       4.2419,     152       1.8332       3.9399
     153       1.8459       5.3339,     153       1.5034       5.0966,     153       1.5212       4.0605,     153       1.4948       5.7465,     153       2.4824       2.5488,     153       2.3944       2.1726,     153       1.4818       6.4065,     153       1.7415       4.5902,     153       1.7958       5.1125,     153       1.9815       3.0449
     154       1.8071       4.8894,     154       1.4670       5.4624,     154       1.7313       4.2872,     154       1.6432       4.2886,     154       2.0623       2.3583,     154       2.3412       2.3456,     154       1.4087       5.4899,     154       2.0857       5.8699,     154       1.8754       4.5104,     154       1.6993       4.1435
     155       2.0013       4.8440,     155       1.4940       4.8023,     155       1.3710       4.0222,     155       1.6268       4.3084,     155       1.9395       2.1310,     155       2.4166       2.6359,     155       1.5705       5.2326,     155       1.8861       3.8363,     155       1.5788       5.9953,     155       2.0780       2.5841
     156       1.9589       4.0837,     156       1.5361       4.9383,     156       1.5956       4.3934,     156       1.4005       3.9834,     156       1.9328       2.5390,     156       2.0099       2.5153,     156       1.5508       5.2475,     156       1.6913       4.9161,     156       1.8111       4.1971,     156       2.2955       2.9146
     157       2.1079       5.2196,     157       1.6240       5.6647,     157       1.6705       3.6842,     157       1.4570       4.9182,     157       2.3454       2.4475,     157       1.9952       3.2926,     157       1.4822       5.4356,     157       1.9540       3.9171,     157       1.7695       4.8851,     157       2.1032       2.3247
     158       2.0350       5.1562,     158       1.5100       5.2238,     158       1.4273       3.3366,     158       1.3576       5.7369,     158       2.4106       2.4406,     158       1.9711       2.5821,     158       1.6366       5.2093,     158       1.9728       3.9868,     158       1.5902       5.4444,     158       1.9571       3.3446
     159       2.0489       4.5365,     159       1.4120       5.6282,     159       1.7075       3.0559,     159       1.3871       4.5572,     159       2.0494       3.4300,     159       2.1224       2.7027,     159       1.6107       5.0815,     159       1.9970       4.1347,     159       1.8691       5.4096,     159       2.1387       2.6175
     160       1.9284       3.3778,     160       1.6672       6.2709,     160       1.3845       4.3814,     160       1.2522       5.2538,     160       2.2191       2.0846,     160       2.0626       3.2064,     160       1.4763       3.7787,     160       1.9591       4.2342,     160       1.7132       6.2332,     160       1.8379       2.5111
     161       1.8164       3.4434,     161       1.7762       7.4168,     161       1.4734       3.5543,     161       1.4541       4.6217,     161       2.3132       2.3228,     161       1.6876       4.6177,     161       1.6116       4.5271,     161       2.0657       4.2265,     161       1.6585       5.9932,     161       1.6634       2.7270
     162       2.1695       3.6066,     162       1.4496       4.7383,     162       1.4713       4.2821,     162       1.4753       4.1688,     162       2.2890       2.4311,     162       1.7121       3.8263,     162       1.4874       4.1736,     162       1.6741       3.7874,     162       1.6193       4.4432,     162       1.6886       2.5116
     163       1.9475       4.1617,     163       1.4228       4.4444,     163       1.5773       3.4693,     163       1.3292       5.0561,     163       2.1883       2.6518,     163       2.1890       3.4269,     163       1.4623       4.6724,     163       1.7280       3.1867,     163       1.9172       4.3388,     163       1.7285       3.3953
     164       1.5108       4.7492,     164       1.6663       6.3275,     164       1.7763       3.7547,     164       1.1891       5.6261,     164       2.1295       2.3542,     164       2.0040       4.0406,     164       1.5243       4.2779,     164       1.7323       4.2556,     164       2.1202       5.1263,     164       2.2006       2.9792
     165       1.5821       5.1042,     165       1.6543       7.1792,     165       1.5245       3.8690,     165       1.4120       5.2069,     165       1.7267       3.6418,     165       1.8932       3.1252,     165       1.4402       4.2030,     165       2.2839       3.6011,     165       1.5839       6.0670,     165       2.0254       3.4965
     166       1.9293       5.2677,     166       1.5557       7.0495,     166       1.6081       4.3141,     166       1.3338       7.1645,     166       1.8917       3.5156,     166       2.2613       3.1202,     166       1.4350       3.1502,     166       2.4419       3.7526,     166       1.6509       5.4481,     166       2.0149       4.5192
     167       2.1918       5.1392,     167       1.6745       7.5378,     167       1.8696       3.6686,     167       1.3726       4.6856,     167       1.8860       4.0435,     167       2.4982       3.0404,     167       1.4038       4.7989,     167       2.3959       3.2589,     167       1.8768       6.3242,     167       2.1785       3.5357
     168       2.1756       5.4200,     168       1.7057       5.9736,     168       1.7375       3.5159,     168       1.8262       5.0356,     168       1.9574       3.7663,     168       2.3741       2.8210,     168       1.4303       4.0981,     168       2.2643       3.4108,     168       1.7375       5.8597,     168       2.3680       2.7986
     169       2.0557       5.0396,     169       1.8071       5.2650,     169       1.6775       3.7303,     169       1.5663       5.1118,     169       1.7226       3.4744,     169       1.7639       2.4163,     169       1.3760       3.5269,     169       2.2404       3.7616,     169       1.6296       5.6887,     169       1.9594       3.6050
     170       1.9555       5.1971,     170       1.8030       5.7700,     170       1.8011       3.9512,     170       1.4030       5.0428,     170       1.9370       3.8588,     170       2.0373       3.6367,     170       1.4641       5.1435,     170       2.2795       4.2768,     170       1.5781       5.6710,     170       2.3327       2.8829
     171       2.0369       6.5354,     171       1.8243       5.8224,     171       1.9475       5.3158,     171       1.5633       4.3830,     171       1.9267       3.8196,     171       1.8504       2.3396,     171       1.5499       5.0922,     171       2.5845       3.1430,     171       1.5162       6.1354,     171       2.3250       4.1539
     172       2.0675       5.9987,     172       1.7112       5.8588,     172       2.0374       4.3267,     172       1.4535       4.8807,     172       2.2377       3.5765,     172       2.2440       2.5802,     172       1.5215       4.7409,     172       2.0187       4.5321,     172       1.4779       5.5931,     172       1.9503       4.0467
     173       2.0770       6.6051,     173       1.6843       5.2490,     173       1.9156       4.0840,     173       1.6037       4.7220,     173       2.1132       4.4179,     173       2.3189       3.2306,     173       1.4511       4.8685,     173       2.0302       3.5508,     173       1.4956       5.3844,     173       2.4177       2.6922
     174       1.8235       6.4433,     174       1.6463       6.4867,     174       2.0282       4.3879,     174       1.4147       5.8210,     174       2.1239       3.8041,     174       2.0303       3.0777,     174       1.4890       4.3203,     174       2.4587       4.8822,     174       1.4957       5.5427,     174       2.5086       2.5450
     175       2.0434       6.3960,     175       2.0997       7.0980,     175       1.6342       5.6658,     175       1.3488       5.1360,     175       2.1247       3.1036,     175       1.9403       4.0645,     175       1.6099       4.5631,     175       2.2962       4.2457,     175       1.6394       5.0816,     175       2.4317       3.2576
     176       2.0035       6.9751,     176       1.7158       5.8650,     176       1.8902       4.9772,     176       1.6327       5.1835,     176       1.8174       3.0438,     176       2.4604       3.0951,     176       1.4618       5.0472,     176       2.2567       3.7886,     176       1.9054       6.0318,     176       2.3005       3.0214
     177       1.6787       8.0647,     177       1.9540       5.5960,     177       1.7730       5.0331,     177       1.4404       6.0850,     177       1.8126       3.4163,     177       2.1747       2.1260,     177       1.6986       4.9472,     177       2.4694       4.0580,     177       1.4762       5.4437,     177       2.3573       3.2586
     178       1.9371       6.8821,     178       2.0269       5.8830,     178       1.6298       6.7237,     178       1.6989       4.9523,     178       2.1767       4.2310,     178       2.3648       2.3337,     178       1.5424       5.0867,     178       2.2208       3.5473,     178       1.7585       5.4780,     178       2.3032       3.2627
     179       2.2168       6.7272,     179       1.9394       5.9328,     179       1.8136       5.6124,     179       1.4233       4.9532,     179       2.2623       3.4389,     179       2.1939       1.9238,     179       1.8135       5.9497,     179       2.3047       2.9517,     179       1.4975       5.4540,     179       1.9937       3.0984
     180       1.9077       7.0989,     180       1.9447       5.8165,     180       1.8181       6.6669,     180       1.6308       5.2641,     180       1.8300       3.7258,     180       1.7475       2.5297,     180       1.4539       6.7020,     180       2.8636       3.0476,     180       1.6112       4.7184,     180       2.4276       2.6658
     181       2.2616       5.7586,     181       1.7756       6.8689,     181       2.1631       3.7287,     181       1.4987       5.2833,     181       2.1885       3.7527,     181       1.9598       2.5468,     181       1.4465       6.1966,     181       2.4839       4.3362,     181       1.9008       4.7089,     181       2.6698       2.4730
     182       1.7813       5.9968,     182       1.5720       6.1156,     182       1.6332       3.8395,     182       1.3385       4.8676,     182       2.0124       4.3988,     182       2.3779       2.7221,     182       1.5015       5.4462,     182       2.6730       3.6009,     182       1.9178       5.1036,     182       2.8118       3.4715
     183       2.1872       6.5502,     183       1.6267       6.3554,     183       1.8421       3.1280,     183       1.5452       5.2252,     183       1.9914       3.8790,     183       2.2184       2.9691,     183       1.4217       5.5770,     183       2.4688       3.6302,     183       1.7672       4.7275,     183       2.7495       2.8883
     184       1.7280       6.1844,     184       2.0358       6.9418,     184       1.6261       3.8651,     184       1.5169       4.8147,     184       1.8427       4.7762,     184       2.3384       3.0099,     184       1.5945       5.8687,     184       2.6952       3.0644,     184       1.8679       5.0628,     184       2.8489       2.7102
     185       1.9286       5.6243,     185       1.9339       6.2747,     185       1.5158       3.6493,     185       1.6837       5.7595,     185       2.1913       4.8686,     185       2.2861       2.3109,     185       1.4459       5.6056,     185       2.6531       3.6797,     185       1.8662       4.9299,     185       2.4944       2.9847
     186       1.9653       6.1542,     186       1.8027       6.6696,     186       1.5503       3.0250,     186       1.7027       5.5951,     186       1.9900       4.4019,     186       2.1038       2.7266,     186       1.4312       5.5012,     186       2.3778       3.1404,     186       1.5112       5.2736,     186       2.5028       3.5255
     187       2.1077       6.0797,     187       1.8035       6.1654,     187       1.9803       3.9380,     187       1.4033       5.3213,     187       2.2305       3.4567,     187       2.1761       2.4420,     187       1.6800       5.8204,     187       2.2279       3.6702,     187       1.8358       4.6229,     187       2.8519       3.4632
     188       2.2278       5.4365,     188       1.8349       6.0027,     188       1.4966       3.4788,     188       1.4280       5.6832,     188       2.1001       3.3595,     188       2.4588       1.8944,     188       1.6202       6.2107,     188       2.3029       4.3677,     188       1.6910       5.0743,     188       2.8596       3.7837
     189       1.6529       6.0793,     189       1.8719       6.2816,     189       1.5468       3.3325,     189       1.7657       5.6431,     189       1.9977       3.5293,     189       2.3928       1.4891,     189       1.6130       5.5166,     189       2.4277       3.2887,     189       1.6449       4.4401,     189       2.7796       4.0469
     190       1.5881       4.8744,     190       1.6978       5.2275,     190       1.8010       3.3281,     190       1.5656       4.6265,     190       2.5563       2.7905,     190       1.8773       2.6015,     190       1.5777       5.4403,     190       2.1088       4.1582,     190       1.7531       4.6936,     190       2.7279       4.6233
     191       1.6782       5.1829,     191       1.6609       5.4015,     191       1.6321       4.1174,     191       1.5205       6.1002,     191       2.3465       2.3925,     191       2.1894       3.0875,     191       1.4831       4.9744,     191       2.1841       4.3693,     191       1.9084       5.0983,     191       2.8513       4.7257
     192       1.6472       5.0170,     192       1.6656       5.1264,     192       1.7623       2.6976,     192       1.3679       6.1572,     192       2.0528       2.8654,     192       1.9464       3.0128,     192       1.6042       4.6749,     192       2.2770       3.7072,     192       1.7575       5.0381,     192       2.3936       4.4079
     193       1.6815       4.7412,     193       1.5294       6.5503,     193       1.7093       2.4218,     193       1.4995       7.0747,     193       2.0394       3.3038,     193       2.0788       2.8213,     193       1.6079       5.0033,     193       2.0577       3.4149,     193       1.8677       5.3762,     193       2.7569       3.3018
     194       1.5581       5.7256,     194       1.5060       7.6469,     194       1.8651       2.8149,     194       1.6015       6.3490,     194       2.2820       2.9371,     194       2.0331       3.3562,     194       1.5681       5.2022,     194       2.2105       2.9450,     194       1.8500       4.1178,     194       2.4947       4.2315
     195       1.6328       5.1397,     195       1.7178       7.5084,     195       1.9471       2.5495,     195       1.7204       6.0891,     195       2.1756       3.1918,     195       2.5370       3.4539,     195       1.3663       5.3705,     195       2.2502       4.0576,     195       1.7018       5.2834,     195       2.7112       3.2074
     196       1.8608       5.3733,     196       1.6842       7.4976,     196       1.9669       2.9543,     196       1.5561       6.8223,     196       2.1928       4.0903,     196       2.1933       2.9984,     196       1.5019       7.0226,     196       2.4150       3.4183,     196       1.7381       5.8641,     196       2.0447       3.4314
     197       1.5019       5.5252,     197       1.7820       8.2448,     197       1.9199       3.7745,     197       1.5450       6.1584,     197       1.9484       3.8807,     197       2.7252       2.8048,     197       1.5182       5.9638,     197       2.3331       3.5065,     197       2.0575       6.2059,     197       1.9458       3.1862
     198       1.5086       6.3985,     198       1.7084       7.4122,     198       1.9722       3.1028,     198       1.7527       6.2232,     198       1.7778       4.8991,     198       2.3827       2.8686,     198       1.4197       5.5575,     198       2.1033       4.3503,     198       1.4964       5.5918,     198       2.5351       3.0106
     199       1.5192       5.6683,     199       1.8180       8.1276,     199       1.7168       2.8998,     199       1.7212       6.0411,     199       1.9426       4.0368,     199       2.8307       1.7552,     199       1.4756       6.1868,     199       1.9899       4.6166,     199       1.4403       6.0985,     199       2.3148       2.8871
     200       1.5496       5.4136,     200       1.9208       8.2688,     200       1.8609       3.4217,     200       1.8394       6.4356,     200       2.0790       4.4239,     200       2.9846       2.7229,     200       1.4784       6.8388,     200       2.0991       3.9222,     200       1.7089       5.6636,     200       2.2449       3.9631
     201       1.3903       5.9957,     201       1.7571       7.8547,     201       1.8590       3.3437,     201       1.7122       5.7156,     201       2.0144       4.4259,     201       2.4725       2.9476,     201       1.6208       6.8829,     201       1.8631       4.5794,     201       1.5498       6.1629,     201       2.2453       4.9986
     202       1.3506       5.7739,     202       2.5144       8.7973,     202       1.8125       3.6890,     202       1.7170       5.5731,     202       1.8704       4.9269,     202       2.6355       4.4091,     202       1.6587       6.5516,     202       2.1212       4.3940,     202       1.5300       4.7078,     202       2.4181       4.1511
     203       1.5613       5.7068,     203       2.1685       8.8050,     203       1.5602       3.8462,     203       1.5445       6.7764,     203       1.9710       4.7326,     203       2.3661       3.8276,     203       1.4405       6.7592,     203       2.3363       4.0444,     203       1.7325       4.8357,     203       1.9618       4.0207
     204       1.4949       6.4031,     204       1.8498       8.3253,     204       2.0487       4.2632,     204       1.5814       5.7782,     204       2.0608       3.8643,     204       2.2189       4.3837,     204       1.8110       6.2653,     204       2.2452       3.8606,     204       1.7215       5.5731,     204       1.9904       5.5791
     205       1.6483       5.5705,     205       1.5849       8.6014,     205       1.8351       5.6780,     205       1.4877       6.2777,     205       1.8336       5.0223,     205       2.4524       4.8537,     205       1.6448       6.1626,     205       2.0747       4.7036,     205       1.8410       5.1840,     205       2.1709       4.8596
     206       1.6507       6.0158,     206       2.0385       8.6046,     206       2.2294       4.0292,     206       1.7886       7.5476,     206       2.1966       4.3933,     206       2.2877       4.4436,     206       1.7531       6.7729,     206       2.2555       3.7932,     206       1.7167       5.4038,     206       2.1881       4.0557
     207       1.5665       6.0298,     207       1.7741       9.4277,     207       1.8233       4.1663,     207       1.5037       7.7960,     207       2.1672       4.9236,     207       2.1392       4.4256,     207       1.7331       6.5032,     207       2.0064       5.3786,     207       1.8782       5.3953,     207       2.2750       3.2712
     208       1.6414       6.9739,     208       1.9238       8.2302,     208       1.8109       3.6009,     208       1.5692       7.1728,     208       2.4008       4.9693,     208       2.2171       3.4951,     208       1.4881       5.2131,     208       2.0335       3.8190,     208       1.5544       5.2665,     208       2.0177       4.4455
     209       1.5674       7.0649,     209       1.8917       8.6112,     209       1.7796       3.1109,     209       1.7000       5.4051,     209       2.0563       4.3201,     209       2.0659       4.5255,     209       1.7339       4.8627,     209       2.2960       3.2583,     209       1.8044       4.9064,     209       2.2715       5.0000
     210       1.5270       6.9609,     210       1.9698       9.1706,     210       1.8209       3.4431,     210       1.4238       6.9171,     210       2.0147       4.2297,     210       2.2673       3.5634,     210       1.6861       5.2589,     210       2.1575       4.3048,     210       1.6173       5.0433,     210       2.5742       4.3821
     211       1.5748       8.7627,     211       1.7553       7.5760,     211       1.9816       2.3620,     211       1.5578       7.3506,     211       2.0670       4.4225,     211       2.1948       4.0236,     211       1.8394       5.2055,     211       2.2879       4.0942,     211       1.8145       5.0813,     211       2.3979       3.8925
     212       1.4373       8.0703,     212       2.0283       6.7900,     212       1.9670       2.5151,     212       1.5212       6.1672,     212       2.2623       4.1708,     212       2.3608       3.6975,     212       1.5393       3.7109,     212       1.9722       4.0785,     212       1.7056       3.9695,     212       2.0209       5.2059
     213       1.5594       7.6138,     213       2.1180       6.9778,     213       1.9692       3.1551,     213       1.5280       6.4046,     213       2.3771       4.7309,     213       2.3025       3.4821,     213       1.5825       5.0173,     213       2.1428       4.3389,     213       1.6966       4.6567,     213       2.0659       4.3337
     214       2.0351      10.6856,     214       1.9626       6.8255,     214       1.8921       3.7373,     214       1.5667       6.1800,     214       2.2482       4.6036,     214       2.4854       4.0514,     214       1.6411       5.7676,     214       1.9117       3.3603,     214       1.7161       6.0339,     214       2.3389       4.9858
     215       1.7601       9.6246,     215       2.1739       7.2235,     215       1.5761       3.2212,     215       1.6351       5.6979,     215       2.7343       4.8285,     215       2.2773       4.2220,     215       1.6747       5.6816,     215       2.0470       2.9585,     215       1.8923       5.1082,     215       1.8441       5.1255
     216       1.7098       8.4758,     216       2.0833       6.9376,     216       1.7623       3.4392,     216       1.6818       5.1608,     216       2.3854       4.3564,     216       2.4493       5.1721,     216       1.7307       5.8807,     216       2.1272       4.0682,     216       1.7565       6.1428,     216       2.0058       4.0795
     217       1.8215       8.4780,     217       2.0919       7.9543,     217       1.7276       3.3479,     217       1.5462       5.5986,     217       2.1229       4.9141,     217       2.1475       3.6384,     217       1.6706       6.2677,     217       2.1536       4.4427,     217       1.9881       5.0251,     217       2.2963       4.2962
     218       1.9516       6.6098,     218       1.8578       7.5706,     218       1.7306       3.4258,     218       1.7510       5.0771,     218       2.3261       3.6877,     218       2.3002       3.2208,     218       1.5216       5.0849,     218       2.1370       4.6382,     218       1.7594       3.8827,     218       1.9549       3.7437
     219       1.8581       6.9288,     219       2.0985       8.6736,     219       2.0677       3.1726,     219       1.6541       5.7558,     219       1.8233       3.8388,     219       2.3286       2.7608,     219       1.5819       6.1260,     219       2.3020       4.5572,     219       1.8245       4.7246,     219       2.2703       4.9149
     220       1.7638       7.5901,     220       2.3920       9.4734,     220       1.8857       3.2227,     220       1.6817       5.5707,     220       2.0398       4.4865,     220       2.7737       3.0993,     220       1.5764       6.5296,     220       2.1565       4.8109,     220       1.8150       4.7356,     220       1.8205       6.6932
     221       1.9621       8.7107,     221       2.2599       8.4338,     221       1.8171       3.9149,     221       1.5513       5.6093,     221       1.9496       3.9587,     221       2.6559       2.6637,     221       1.5495       7.0762,     221       1.9963       4.8909,     221       2.1004       5.2554,     221       1.6053       7.3180
     222       1.6952       8.7284,     222       2.1846       6.2030,     222       2.1711       3.3797,     222       1.6782       5.8384,     222       2.1440       3.1624,     222       2.5603       2.6795,     222       1.4803       7.4342,     222       2.2786       4.2226,     222       2.1030       5.0012,     222       2.0282       6.4959
     223       1.6268       7.9545,     223       2.0051       7.4044,     223       1.9623       3.0731,     223       1.6030       5.1600,     223       1.8771       3.5807,     223       2.8953       2.4270,     223       1.6345       7.3248,     223       2.3408       4.7329,     223       2.2555       5.4343,     223       1.9501       6.6502
     224       1.6347       6.8282,     224       2.1530       8.2236,     224       1.6318       3.7535,     224       1.7032       6.2213,     224       2.1341       3.7585,     224       2.9397       1.8507,     224       1.8143       6.9828,     224       2.0688       3.7424,     224       2.2168       5.5282,     224       1.7922       5.6511
     225       1.9676       7.1976,     225       2.2867       8.9001,     225       1.7822       3.7348,     225       1.5846       5.0150,     225       2.1016       3.9242,     225       2.6420       2.2681,     225       1.6730       7.5801,     225       2.1590       4.0120,     225       1.9597       5.8713,     225       2.0402       4.3989
     226       1.6076       8.7207,     226       1.9824       7.9363,     226       2.0689       3.4466,     226       1.7807       5.5301,     226       1.9390       4.8168,     226       2.9311       1.7720,     226       1.5700       6.0920,     226       2.1326       4.1857,     226       2.1738       5.0727,     226       1.8082       4.7856
     227       1.4790       8.7288,     227       2.0459       8.8124,     227       1.7890       3.7482,     227       1.4745       5.8544,     227       2.0139       5.2007,     227       2.5896       2.5102,     227       1.7432       6.9490,     227       2.3100       3.9647,     227       1.6329       5.4737,     227       1.6880       4.5114
     228       1.7655       8.5813,     228       2.0078       7.9906,     228       1.8307       4.0681,     228       1.4047       6.3309,     228       2.1998       4.3984,     228       2.2305       2.9727,     228       1.5330       8.3210,     228       2.2754       4.2110,     228       2.0554       5.3621,     228       1.8563       4.6323
     229       1.9141       8.0339,     229       1.8437       7.5945,     229       1.7520       3.6433,     229       1.4771       7.0966,     229       1.9918       5.2719,     229       2.5989       2.1881,     229       1.8802       8.1955,     229       1.9926       4.5648,     229       2.0452       5.6266,     229       1.9016       4.9987
     230       1.7827       9.9730,     230       2.1606       8.1070,     230       1.6540       3.9613,     230       1.6151       6.5123,     230       2.1802       4.6148,     230       2.4934       2.3195,     230       2.0374       7.9026,     230       2.0988       3.5119,     230       1.8939       5.3802,     230       2.2017       5.8938
     231       1.8927       8.7026,     231       2.1802       9.5404,     231       1.8551       3.3206,     231       1.5592       5.5946,     231       1.8029       4.6938,     231       2.5899       1.8077,     231       1.5502       7.8635,     231       2.2707       4.8550,     231       1.8700       5.5071,     231       2.1244       5.0059
     232       1.8819       9.6908,     232       2.2773      10.1745,     232       1.8728       3.8273,     232       1.7129       6.0533,     232       1.8382       3.4698,     232       2.2610       2.2758,     232       1.5699       7.5187,     232       2.2361       4.5715,     232       1.9204       5.3041,     232       2.0448       5.0273
     233       1.8699       9.9892,     233       2.0460       9.1989,     233       1.9257       3.6198,     233       1.6252       6.2751,     233       1.7775       4.4099,     233       2.2494       1.7718,     233       1.4640       7.4006,     233       2.1388       5.4214,     233       1.5708       6.0708,     233       2.2102       5.0435
     234       1.8220      10.3465,     234       2.1162       9.7305,     234       2.0691       3.8534,     234       1.6378       6.2697,     234       1.5959       4.9503,     234       2.7046       2.2434,     234       1.5748       7.2162,     234       2.2229       5.5799,     234       1.6524       5.8543,     234       2.1696       4.2608
     235       1.8730      11.3878,     235       1.8581       8.3632,     235       2.0385       4.0545,     235       1.6594       5.8834,     235       1.7607       4.1034,     235       2.8432       2.0632,     235       1.7776       7.3349,     235       2.1276       4.6233,     235       1.7902       6.5652,     235       2.1201       4.8020
     236       1.7891       8.8026,     236       1.7897       9.9083,     236       1.7478       3.4342,     236       1.5169       5.5916,     236       1.9400       5.6034,     236       2.9524       2.0351,     236       1.6768       6.1336,     236       2.1995       4.0861,     236       1.9411       5.6871,     236       2.2707       5.3105
