#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1
      24       1.5459       1.3601,      24       1.2332       1.4675,      24       1.3833       1.3136,      24       1.3601       1.6293,      24       1.7396       1.3347,      24       1.4265       1.1472,      24       1.3922       0.9350,      24       1.5706       1.3628,      24       1.2173       1.2545,      24       1.6494       1.9664
      25       1.1273       1.8370,      25       1.0896       0.9382,      25       1.3927       1.5739,      25       1.6375       1.9847,      25       1.1784       1.2496,      25       1.4224       1.4523,      25       1.3470       0.8600,      25       1.1160       1.0078,      25       1.3379       1.1292,      25       1.3305       1.4317
      26       1.2625       1.4805,      26       1.1168       1.6274,      26       1.2400       1.3618,      26       1.4737       2.2585,      26       1.1623       1.4136,      26       1.6118       0.9074,      26       1.4468       1.0486,      26       1.4337       1.2601,      26       1.2716       1.0655,      26       1.5631       1.2610
      27       1.3451       1.6072,      27       1.1582       1.0485,      27       1.7717       1.3102,      27       1.2990       2.1294,      27       1.2192       1.2234,      27       1.2725       1.1995,      27       1.4364       0.9948,      27       1.3831       0.8896,      27       1.4351       1.0489,      27       1.6963       1.3158
      28       1.4090       1.3465,      28       1.1024       1.5446,      28       1.1052       1.6119,      28       1.2768       1.8955,      28       1.3424       0.9766,      28       1.3217       1.4556,      28       1.3748       1.3253,      28       1.4535       0.9622,      28       1.3066       1.2079,      28       1.4925       2.0838
      29       1.3318       1.6615,      29       1.3857       1.5313,      29       1.1458       1.8470,      29       1.6556       1.5773,      29       1.5411       0.9494,      29       1.4317       1.4770,      29       1.4943       1.1598,      29       1.4530       1.0591,      29       1.2001       1.7292,      29       1.6418       2.4161
      30       1.3390       2.1445,      30       1.5344       1.2584,      30       1.3812       1.3617,      30       1.3840       1.6746,      30       1.3455       0.9140,      30       1.5955       1.5668,      30       1.3906       1.5429,      30       1.3144       1.4274,      30       1.0397       1.6443,      30       1.7549       2.3188
      31       1.2232       2.4909,      31       1.3277       1.3325,      31       1.0710       1.7613,      31       1.6071       2.3590,      31       1.2252       1.0052,      31       1.6074       1.0836,      31       1.2260       0.9883,      31       1.4093       1.4260,      31       1.3581       1.3810,      31       1.8807       2.4679
      32       1.2167       2.0480,      32       1.1825       1.6356,      32       1.1834       2.1702,      32       1.7417       1.8299,      32       1.2384       1.5695,      32       1.4282       1.6599,      32       1.3753       1.1772,      32       1.6654       1.6847,      32       1.2633       1.1578,      32       1.6786       2.5751
      33       1.5545       1.3086,      33       1.3050       1.9411,      33       1.3553       2.5674,      33       1.9860       1.3554,      33       1.3467       1.1072,      33       1.6535       1.6516,      33       1.1538       1.2700,      33       1.4976       2.2806,      33       1.0849       1.4323,      33       2.0023       2.0874
