#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker
       1       0.0000       0.0000       0.0000       0.0000       0.0000
       2       1.5146       0.2252       1.0390       0.9390       0.8911
       3       1.6464       0.2161       1.1103       1.0620       0.9724
       4       1.7456       0.2323       1.2000       0.9805       0.9782
       5       1.7175       0.2215       1.2701       0.9285       0.9041
       6       1.7460       0.2197       1.2095       0.9987       0.9343
       7       1.7561       0.3574       1.5700       0.7852       1.0824
       8       1.7594       0.3727       1.3712       0.7896       1.0476
       9       1.7474       0.3755       1.4099       0.7792       1.0275
      10       1.7828       0.3577       1.3858       0.9314       1.0379
      11       1.7281       0.3416       1.2937       0.6430       0.8863
      12       1.4311       0.8055       2.6026       0.7926       1.3526
      13       1.6944       0.8094       2.0281       0.7206       1.1913
      14       1.5546       0.9915       2.3254       0.7421       1.4087
      15       1.7055       0.8583       2.8193       0.9151       1.8563
      16       1.8237       0.9942       2.5798       0.9100       1.5852
      17       2.2991       1.4455       2.1347       0.9229       1.8760
      18       2.1268       1.5321       3.5997       0.9447       1.8619
      19       2.9494       1.7461       2.2992       0.9645       1.7406
      20       2.7117       1.6609       2.6478       0.9442       1.7433
      21       3.1576       1.6639       2.2017       1.0036       1.9448
      22       2.2321       1.6011       2.1391       0.9009       1.6718
      23       2.3977       1.5909       2.1046       0.8065       1.3393
      24       1.5091       1.6034       3.5881       0.2687       1.3236
      25       1.5592       1.4715       4.8939       0.8068       1.3099
      26       1.2179       1.7642       4.1567       0.6087       1.1977
      27       1.7854       1.8273       4.4991       0.6832       1.5583
      28       1.9944       1.5203       4.5043       0.7274       1.5660
      29       2.6125       1.5504       4.6552       0.7386       1.6082
      30       2.7761       1.5061       4.2133       0.8940       1.6739
      31       2.5979       1.3999       5.3437       0.7669       1.9177
      32       2.5869       1.4623       4.3743       0.8459       1.7285
      33       1.9516       1.4818       4.2458       0.6477       1.5869
      34       2.0295       1.9178       4.8139       0.9345       1.9082
      35       2.6322       1.6286       5.6343       0.9471       1.6689
      36       2.3133       1.8364       5.3729       0.8294       1.5952
      37       2.0341       1.7290       5.5397       0.8471       1.6040
      38       1.9665       1.7057       6.1895       1.2371       2.0959
      39       2.0184       1.7347       6.2059       0.9980       1.8938
      40       1.9282       1.6412       6.2656       0.5527       1.8378
      41       1.6659       1.4266       5.7618       0.6846       1.2774
      42       2.2107       1.5507       5.5230       0.7923       1.8712
      43       1.2550       1.8419       5.6495       0.9825       1.5599
      44       0.9655       1.6566       5.5915       0.4221       1.2472
      45       1.3584       1.6412       5.8056       0.9708       1.6401
      46       1.4946       1.4263       5.2209       0.6817       1.0097
      47       1.3315       1.5374       5.3423       0.7566       1.4228
      48       1.1931       1.6774       5.9460       0.9092       1.6745
      49       1.2512       1.7670       6.2073       0.6775       1.5256
      50       1.1744       1.5813       5.8763       0.6024       1.5512
      51       1.0923       1.5728       6.1893       0.5986       1.6923
      52       1.4090       2.0001       6.7050       0.8269       1.6924
      53       1.3990       1.8835       6.0479       0.7021       1.7870
      54       1.7153       2.3361       5.3800       0.7005       1.2544
      55       1.5116       1.8561       5.8695       0.5947       1.4878
      56       1.6176       1.8563       6.4610       0.3614       1.3129
