#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker
       1       0.0000       0.0000       0.0000       0.0000       0.0000
       2       1.5330       0.1907       0.8707       0.7746       0.7920
       3       1.6826       0.1850       0.9456       0.8564       0.8559
       4       1.7417       0.1855       0.9803       0.8692       0.7533
       5       1.7409       0.1881       0.9655       0.8829       0.8920
       6       1.7887       0.1964       0.8979       0.8921       0.8425
       7       1.7012       0.2878       0.8314       0.7270       0.7422
       8       1.6915       0.3061       0.8548       0.5789       0.6790
       9       1.7938       0.3071       0.8526       0.7466       0.8366
      10       1.7288       0.3257       0.8070       0.6440       0.7675
      11       1.6890       0.3546       0.9426       0.6697       0.7862
      12       1.4914       0.8199       1.2562       0.8146       0.9708
      13       1.5283       0.7461       1.1150       0.5330       0.4379
      14       1.4208       0.8382       0.9363       0.5169       0.4917
      15       1.3940       0.8074       1.2379       0.5399       0.5937
      16       1.4913       0.8223       1.3714       0.6128       0.8542
      17       1.1830       1.5969       0.8794       0.9171       0.6117
      18       1.8109       1.3781       1.0544       0.5143       0.8808
      19       1.2677       1.5409       1.7895       0.6993       1.2850
      20       2.4976       1.6815       2.0511       0.3349       0.4743
      21       1.6448       1.4881       2.3952       0.8035       0.9122
      22       3.4738       1.7820       2.2017       0.3241       0.5868
      23       2.2053       1.5915       2.1379       0.4831       0.8123
      24       3.4878       1.4559       2.3043       0.4439       0.7194
      25       2.8483       1.8635       2.4664       0.4843       1.0205
      26       3.1563       1.8112       2.6342       0.4396       0.8289
      27       2.8273       1.5226       2.1232       0.4033       0.4319
      28       3.3306       1.6791       2.1137       0.5173       0.7406
      29       3.4612       1.8874       2.3384       0.4067       0.5989
      30       2.5289       1.5975       2.4795       0.2417       0.4342
      31       2.7738       1.9064       2.5202       0.3098       0.3469
      32       3.4071       1.9194       2.6919       0.5526       0.7615
      33       2.8998       1.8113       2.6788       0.6363       1.1051
      34       2.3736       1.6144       2.6752       0.7563       0.6577
      35       1.6012       1.4449       2.6634       0.5648       0.9511
      36       1.5730       1.4040       2.5499       0.2351       0.4621
      37       1.2531       1.6486       2.4690       0.3023       0.7544
      38       2.1799       1.4303       2.9875       0.6791       1.5591
      39       2.9163       1.8736       2.5234       0.3670       0.9266
      40       3.5842       1.7153       2.8406       0.4800       0.7927
      41       2.5278       1.5442       2.5093       0.4102       0.3920
      42       2.3284       2.3597       2.4615       0.3650       0.7898
      43       1.5847       2.0540       2.5836       0.4354       0.6254
      44       2.5522       1.9490       2.5625       0.5703       0.8017
      45       2.3717       2.0230       2.3968       0.3988       0.5061
      46       2.7588       1.9853       2.6071       0.5479       0.6923
      47       2.6487       2.3777       2.7180       0.4454       0.9690
      48       2.4503       2.3719       3.0215       0.4554       1.2338
      49       3.6006       2.4251       2.8213       0.7202       1.1616
      50       2.4422       2.4414       2.8513       0.3971       1.2982
      51       1.2791       2.2323       2.6221       0.4988       0.9790
      52       2.0712       2.1719       2.7107       0.9766       1.2199
      53       2.0130       1.9739       2.4405       0.9175       0.7770
      54       1.6963       1.8518       2.5934       0.4141       1.0953
      55       1.8543       1.9427       2.1680       0.3502       0.3209
      56       1.9191       1.9261       2.5240       0.5490       0.8485
      57       2.2377       2.4628       2.7177       0.4463       1.4171
      58       2.4680       2.3371       2.4134       0.6134       0.7091
      59       1.9432       2.1896       2.3054       0.4951       0.9067
      60       2.3633       2.4933       2.5130       0.3892       1.0040
      61       2.0717       2.4316       2.4292       0.4155       0.8546
      62       2.5856       2.6425       2.7909       0.4713       0.5772
      63       2.4526       2.9694       3.1561       0.6343       1.5430
      64       2.3296       2.6673       2.1278       0.5885       0.7317
      65       1.5715       2.6234       2.8182       0.5078       0.5800
      66       1.8525       2.5772       2.6044       0.5533       0.7643
      67       2.6058       2.1787       2.4749       0.6619       0.8348
      68       2.1496       2.2710       2.4753       0.3476       0.8921
      69       1.9040       2.6101       2.6755       0.3854       0.5818
      70       2.2684       2.1701       2.5797       0.5535       0.6065
      71       2.6791       1.7965       2.4915       0.5008       1.1154
