#Frame           CRBN        GSPT1
       1       0.0000       0.0000
       2       0.2352       1.5959
       3       0.2216       1.6715
       4       0.2179       1.7626
       5       0.2299       1.7937
       6       0.2114       1.7797
       7       0.3269       1.6948
       8       0.3481       1.8135
       9       0.3066       1.7636
      10       0.3250       1.7754
      11       0.3526       1.6862
      12       0.8261       1.8893
      13       0.7155       1.9201
      14       0.7685       1.9517
      15       0.8058       1.7331
      16       0.7879       1.6944
      17       1.1686       2.1857
      18       1.6687       2.0940
      19       1.2627       1.6978
      20       1.4600       2.3578
      21       1.3379       2.6060
      22       1.5134       2.3722
      23       1.4031       2.6901
      24       1.4676       2.4850
      25       1.3648       1.5554
      26       1.4059       1.7292
      27       1.6952       2.1676
      28       1.5008       1.6873
      29       1.6600       2.0626
      30       1.5544       1.7530
      31       1.5882       1.6278
      32       1.7357       1.9364
      33       1.5612       2.0288
      34       2.0325       3.3353
      35       1.5996       3.7054
      36       1.4133       2.4618
      37       1.5030       2.0563
      38       1.4520       1.6097
      39       1.4722       1.7645
      40       1.4537       2.5296
      41       1.3527       1.6968
      42       1.4701       2.2389
      43       1.4200       1.9990
      44       1.3721       2.9316
      45       1.3655       3.1198
      46       1.8640       3.1153
      47       1.4702       2.2608
      48       1.3850       2.9389
      49       1.5666       3.2823
      50       1.3827       2.5109
      51       1.6766       3.0232
      52       1.3862       2.9523
      53       1.6326       2.8501
      54       1.3575       1.8790
      55       1.4214       2.2240
      56       1.4396       2.5479
