#Frame           CRBN        GSPT1
       1       0.0000       0.0000
       2       0.1686       1.4251
       3       0.1738       1.5514
       4       0.1814       1.6613
       5       0.1921       1.6786
       6       0.1772       1.6660
       7       0.3314       1.6355
       8       0.3093       1.6655
       9       0.3255       1.7045
      10       0.3014       1.6947
      11       0.3117       1.6809
      12       0.8927       1.5599
      13       1.0430       1.4537
      14       1.0478       1.4143
      15       0.9868       1.3733
      16       1.0093       1.8849
      17       1.3444       1.7314
      18       1.0393       1.1978
      19       1.3027       1.5786
      20       1.4633       1.3136
      21       1.2275       1.9440
      22       1.4077       1.6546
      23       1.5165       1.1216
      24       1.4265       1.1472
      25       1.4224       1.4523
      26       1.6118       0.9074
      27       1.2725       1.1995
      28       1.3217       1.4556
      29       1.4317       1.4770
      30       1.5955       1.5668
      31       1.6074       1.0836
      32       1.4282       1.6599
      33       1.6535       1.6516
      34       1.5348       1.8332
      35       1.3509       2.1416
      36       1.2813       3.1405
      37       1.3449       2.5498
      38       1.4997       2.0347
      39       1.4317       2.3953
      40       1.5463       2.1224
      41       1.4777       2.3014
      42       1.5240       1.7375
      43       1.7561       2.2412
      44       1.2807       2.7423
      45       1.7946       1.6350
      46       1.6173       1.4328
      47       1.4843       2.0471
      48       1.6639       1.8215
      49       1.5586       1.7296
      50       1.8507       1.8537
      51       1.6969       2.6596
      52       1.8491       2.9315
      53       1.6340       2.2381
      54       1.8885       1.8088
      55       1.6528       1.4963
      56       2.0645       1.2221
      57       1.7668       2.0631
      58       1.9129       1.7729
      59       2.2883       1.2934
      60       2.2285       1.5027
      61       1.9125       1.6320
      62       1.9133       1.8285
      63       1.6247       2.0209
      64       1.7648       2.0676
      65       1.8668       1.6268
      66       1.7970       1.9705
      67       1.9490       1.5382
      68       1.7057       1.4867
      69       1.5830       1.6742
      70       1.4906       1.7575
      71       1.5769       1.7766
      72       1.7916       1.9505
      73       1.7410       2.3768
      74       1.6506       2.7260
      75       2.1459       2.3040
      76       1.8727       2.0871
      77       1.9310       2.5854
      78       2.1678       2.7822
      79       2.1762       2.1533
      80       2.0260       1.7228
      81       1.8827       1.2969
      82       1.6574       2.2684
      83       1.9129       2.7201
      84       1.8491       2.4097
      85       1.6398       2.3135
      86       1.6734       2.1288
      87       1.8237       3.4181
      88       1.8561       2.2627
      89       1.5643       3.4432
      90       1.6129       2.5343
      91       1.7865       2.4125
      92       1.9784       2.7365
      93       1.7524       2.1371
      94       1.7634       1.9250
      95       1.6860       2.4149
      96       1.7035       2.0226
      97       1.6488       1.9034
      98       1.6792       2.6120
      99       1.6807       2.2539
     100       1.6726       2.2018
     101       1.4146       2.4886
     102       1.8176       1.9670
     103       1.6391       1.9355
     104       1.6714       2.1969
     105       1.7994       2.3888
     106       1.4941       2.4495
     107       1.4839       2.3507
     108       1.7399       3.1495
     109       1.6999       2.3696
     110       1.4878       2.5005
     111       1.9920       2.2909
     112       1.6537       1.9555
     113       1.7355       2.3490
     114       1.9401       2.0522
     115       2.0847       2.3394
     116       1.9031       2.7342
     117       1.9726       2.9535
     118       1.7537       2.6891
     119       1.8703       3.7022
     120       1.7095       2.0186
     121       1.9172       2.3299
     122       1.6343       2.8489
     123       1.8259       3.6679
     124       1.6703       2.0059
     125       1.6390       1.6047
     126       1.7900       2.3185
     127       1.8105       2.2610
     128       1.7003       2.6617
     129       1.8438       2.7080
     130       1.8264       2.5801
     131       2.0777       1.8447
     132       2.2256       2.0245
     133       1.9716       2.1315
     134       1.9311       3.1294
     135       2.0451       3.0011
     136       2.0010       2.3538
     137       2.0697       2.2138
     138       2.0456       3.8146
     139       2.1982       3.2428
     140       2.2939       2.1502
     141       2.3258       3.4170
     142       2.3178       2.8651
     143       2.4723       3.5718
     144       2.0251       3.8056
     145       2.2415       2.9015
     146       2.0809       2.2932
     147       2.0853       2.8179
     148       2.0860       2.1084
     149       2.2994       2.4718
     150       2.3589       2.3543
     151       2.5232       1.8066
     152       2.8298       1.9478
     153       2.3944       2.1726
     154       2.3412       2.3456
     155       2.4166       2.6359
     156       2.0099       2.5153
     157       1.9952       3.2926
     158       1.9711       2.5821
     159       2.1224       2.7027
     160       2.0626       3.2064
     161       1.6876       4.6177
     162       1.7121       3.8263
     163       2.1890       3.4269
     164       2.0040       4.0406
     165       1.8932       3.1252
     166       2.2613       3.1202
     167       2.4982       3.0404
     168       2.3741       2.8210
     169       1.7639       2.4163
     170       2.0373       3.6367
     171       1.8504       2.3396
     172       2.2440       2.5802
     173       2.3189       3.2306
     174       2.0303       3.0777
     175       1.9403       4.0645
     176       2.4604       3.0951
     177       2.1747       2.1260
     178       2.3648       2.3337
     179       2.1939       1.9238
     180       1.7475       2.5297
     181       1.9598       2.5468
     182       2.3779       2.7221
     183       2.2184       2.9691
     184       2.3384       3.0099
     185       2.2861       2.3109
     186       2.1038       2.7266
     187       2.1761       2.4420
     188       2.4588       1.8944
     189       2.3928       1.4891
     190       1.8773       2.6015
     191       2.1894       3.0875
     192       1.9464       3.0128
     193       2.0788       2.8213
     194       2.0331       3.3562
     195       2.5370       3.4539
     196       2.1933       2.9984
     197       2.7252       2.8048
     198       2.3827       2.8686
     199       2.8307       1.7552
     200       2.9846       2.7229
     201       2.4725       2.9476
     202       2.6355       4.4091
     203       2.3661       3.8276
     204       2.2189       4.3837
     205       2.4524       4.8537
     206       2.2877       4.4436
     207       2.1392       4.4256
     208       2.2171       3.4951
     209       2.0659       4.5255
     210       2.2673       3.5634
     211       2.1948       4.0236
     212       2.3608       3.6975
     213       2.3025       3.4821
     214       2.4854       4.0514
     215       2.2773       4.2220
     216       2.4493       5.1721
     217       2.1475       3.6384
     218       2.3002       3.2208
     219       2.3286       2.7608
     220       2.7737       3.0993
     221       2.6559       2.6637
     222       2.5603       2.6795
     223       2.8953       2.4270
     224       2.9397       1.8507
     225       2.6420       2.2681
     226       2.9311       1.7720
     227       2.5896       2.5102
     228       2.2305       2.9727
     229       2.5989       2.1881
     230       2.4934       2.3195
     231       2.5899       1.8077
     232       2.2610       2.2758
     233       2.2494       1.7718
     234       2.7046       2.2434
     235       2.8432       2.0632
     236       2.9524       2.0351
     237       2.6734       1.8468
     238       2.9510       3.5646
     239       3.1533       3.6676
     240       2.2240       4.4802
     241       2.6453       5.2492
     242       2.3865       5.1752
     243       2.4025       4.1675
     244       2.4230       5.7678
     245       2.3347       5.1969
     246       2.0180       4.9957
     247       2.4861       4.1849
     248       2.0737       5.4330
     249       2.1091       5.1330
     250       2.1485       5.8387
     251       2.1578       5.5550
     252       1.8842       6.4590
     253       2.1354       5.0012
     254       2.3677       3.7943
     255       2.2611       4.0738
     256       2.2501       4.8089
     257       1.9569       4.5857
     258       2.1362       4.8200
     259       2.2465       5.0622
     260       2.3414       4.3793
     261       2.2831       4.7760
     262       2.3261       5.1081
     263       2.2720       4.9307
     264       1.7629       5.5411
     265       1.9149       4.9641
     266       2.0972       4.5322
     267       1.8929       7.0803
     268       1.9078       5.4132
     269       2.0636       6.1195
     270       1.9663       6.3003
     271       2.0637       7.1364
     272       1.9894       6.9588
     273       2.1864       5.4210
     274       2.3623       6.7046
     275       2.3450       5.7716
     276       2.0045       6.4261
     277       2.1464       5.0292
     278       2.0602       4.8369
