#Frame           CRBN        GSPT1
       1       0.0000       0.0000
       2       0.1800       1.5866
       3       0.1798       1.6835
       4       0.1764       1.7297
       5       0.1874       1.6717
       6       0.1711       1.7152
       7       0.3029       1.6782
       8       0.3097       1.6327
       9       0.3177       1.7018
      10       0.2849       1.6465
      11       0.2805       1.6341
      12       0.6291       1.7256
      13       0.8429       1.5241
      14       0.8837       1.4779
      15       0.9546       1.3577
      16       1.1161       1.2873
      17       1.1905       1.3361
      18       1.1683       1.1278
      19       1.1880       1.5939
      20       1.3927       1.9056
      21       1.3999       1.6744
      22       1.5543       1.6672
      23       1.5368       1.7952
      24       1.3601       1.6293
      25       1.6375       1.9847
      26       1.4737       2.2585
      27       1.2990       2.1294
      28       1.2768       1.8955
      29       1.6556       1.5773
      30       1.3840       1.6746
      31       1.6071       2.3590
      32       1.7417       1.8299
      33       1.9860       1.3554
      34       1.5779       1.2983
      35       1.4600       1.4882
      36       1.2809       1.8935
      37       1.6043       1.5645
      38       1.1317       2.4131
      39       1.7051       1.8418
      40       1.7408       1.9675
      41       1.7786       1.9927
      42       1.6815       1.6650
      43       1.8024       1.4539
      44       1.5292       2.1667
      45       1.6845       1.9849
      46       1.4202       2.4339
      47       1.5251       2.3660
      48       1.6642       2.7106
      49       1.7600       2.7651
      50       1.6861       3.6532
      51       1.4437       3.3569
      52       1.3267       2.6990
      53       1.2788       2.2420
      54       1.5050       1.9187
      55       1.3910       2.3529
      56       1.3822       1.9461
      57       1.7412       2.1837
      58       1.3152       1.8790
      59       1.4980       2.2727
      60       1.2770       2.0886
      61       1.2159       1.7723
      62       1.4298       2.1342
      63       1.2390       1.7880
      64       1.3808       1.5158
      65       1.3462       1.7909
      66       1.4982       2.2846
      67       1.3803       1.6701
      68       1.3145       2.3644
      69       1.2777       1.9508
      70       1.2774       2.1806
      71       1.5695       2.3601
      72       1.3767       1.7006
      73       1.6817       1.9706
      74       1.6028       2.1984
      75       1.3684       1.9266
      76       1.4247       1.9964
      77       1.4330       2.1890
      78       1.6520       2.1677
      79       1.2830       2.3431
      80       1.5857       2.1431
      81       1.5044       2.2957
      82       1.5753       2.5597
      83       1.3545       2.3345
      84       1.4279       2.3215
      85       1.3605       1.9659
      86       1.2803       1.7395
      87       1.2166       2.0156
      88       1.2402       2.0870
      89       1.1963       2.4314
      90       1.2767       3.6059
      91       1.2704       2.8604
      92       1.3566       2.4833
      93       1.2249       3.2682
      94       1.3329       2.0396
      95       1.3392       1.5959
      96       1.3592       1.7321
      97       1.4492       1.5311
      98       1.5388       1.9727
      99       1.8667       2.5275
     100       1.5941       2.6835
     101       1.2463       3.9900
     102       1.0453       3.0256
     103       1.4730       3.4502
     104       1.2679       4.4314
     105       1.3610       2.5602
     106       1.6597       2.6904
     107       1.4668       3.1787
     108       1.4873       3.1555
     109       1.3400       3.6614
     110       1.6961       3.6114
     111       1.4663       2.8194
     112       1.4496       3.4660
     113       1.3035       4.2947
     114       1.5709       3.9600
     115       1.5082       5.1103
     116       1.4069       4.4401
     117       1.4951       4.5482
     118       1.4185       5.4619
     119       1.2790       5.6169
     120       1.2462       6.1012
     121       1.5750       5.3391
     122       1.4145       6.3175
     123       1.5364       6.4419
     124       1.3698       6.1781
     125       1.5231       6.3632
     126       1.3280       5.9522
     127       1.1196       6.5199
     128       1.1173       5.4575
     129       1.4246       5.8507
     130       1.3182       5.9377
     131       1.4449       5.9576
     132       1.2486       6.3404
     133       1.4116       5.9356
     134       1.3879       5.6024
     135       1.6584       4.5631
     136       1.3578       5.8589
     137       1.4907       5.9903
     138       1.4104       5.5106
     139       1.3957       4.5691
     140       1.3504       5.5191
     141       1.3954       6.6498
     142       1.3718       5.5452
     143       1.5752       5.3413
     144       1.4554       4.9004
     145       1.4216       4.4764
     146       1.6270       5.2173
     147       1.4493       4.8629
     148       1.5393       4.3336
     149       1.5193       3.8623
