#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker
       1       0.0000       0.0000       0.0000       0.0000       0.0000
       2       1.4611       0.2305       1.2917       0.7547       0.8729
       3       1.6418       0.2432       1.3201       1.0293       1.0469
       4       1.6538       0.2531       1.2795       0.8628       0.8879
       5       1.7173       0.2561       1.3164       0.9506       1.0139
       6       1.7134       0.2354       1.3736       0.9402       0.9119
       7       1.6720       0.4070       1.7157       0.7779       0.9897
       8       1.6343       0.3740       1.8026       0.9051       1.0313
       9       1.6848       0.3763       1.6187       0.7229       0.9101
      10       1.6981       0.3734       1.6122       0.6018       0.9851
      11       1.6862       0.4012       1.6974       0.7721       0.9971
      12       1.4287       0.8133       3.0302       0.4941       1.0659
      13       1.8475       0.8778       3.9614       0.6917       1.1451
      14       1.3701       0.8907       4.1207       0.7878       1.2226
      15       1.5571       0.9933       4.6674       0.7147       1.1278
      16       1.5870       0.9116       4.6415       0.7265       1.7951
      17       1.9477       1.5551       3.8545       1.1155       1.9417
      18       2.6160       1.7058       3.6608       0.5519       0.9891
      19       3.1387       1.9613       3.6929       0.7414       0.9191
      20       2.9392       1.8616       3.5381       0.6064       1.0194
      21       2.6594       1.6675       3.3491       0.7590       1.2343
      22       2.3013       1.6116       3.0242       0.4817       1.1055
      23       2.9331       1.7944       3.1947       0.4207       1.0819
      24       1.7305       1.4813       2.7068       0.5864       1.1419
      25       2.9910       1.7056       3.1703       0.5900       1.3325
      26       4.2308       1.4458       3.3979       1.0105       2.2054
      27       4.7160       1.4785       3.1988       0.8244       1.9326
      28       2.8422       1.6735       3.0301       0.6114       1.5289
      29       3.6469       2.0285       3.0486       0.6814       1.6535
      30       3.9228       1.8945       3.0686       0.5085       1.6383
      31       2.5787       2.0182       3.0112       0.3743       1.0226
      32       2.1486       1.8088       2.8444       0.6509       1.6391
      33       3.2215       1.8955       3.0232       0.5874       0.9681
      34       3.0057       2.0241       2.9505       0.6120       1.3573
      35       4.1095       2.1059       3.1439       0.4758       1.3258
      36       3.8683       2.2227       3.4946       0.8489       1.7618
      37       4.8267       1.7477       3.4149       0.7356       2.0978
      38       6.2939       2.0722       3.4249       0.7211       1.6507
      39       4.9069       1.9737       3.4998       0.4921       1.7960
      40       5.5485       1.8778       3.4035       1.1667       2.2651
      41       4.3020       1.7784       2.9665       0.7295       1.9144
      42       3.2594       2.1769       3.3935       0.4371       1.2850
      43       2.0217       1.9325       3.4035       1.2749       2.5404
      44       2.6966       1.9394       2.5978       0.9770       2.0910
      45       3.2745       2.1636       2.9516       1.1565       2.2576
      46       3.4160       1.8345       3.0445       1.0914       2.5770
      47       2.3388       2.2956       3.2146       1.0394       2.2032
      48       1.7463       1.9381       3.3471       0.8717       1.9513
      49       1.6473       2.0046       2.8018       0.9205       1.4448
      50       1.2650       2.0316       3.2466       0.7232       1.5513
      51       1.4355       1.9145       3.1556       0.4211       1.2895
      52       1.3819       2.0629       3.1334       0.8685       1.2326
      53       1.9896       1.8254       3.3133       0.6506       1.0549
      54       1.5321       1.9142       3.2161       0.6631       1.5811
      55       1.7782       2.0692       3.6948       0.5773       1.2576
      56       1.3160       2.0376       3.4954       0.7112       1.5379
