#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker
      11       1.7266       0.3081       0.9364       0.8597       0.7370,      11       1.6520       0.3102       0.9330       0.7575       0.7291,      11       1.7102       0.3009       0.9095       0.9381       0.8746,      11       1.7052       0.3139       0.9480       0.8761       0.8742,      11       1.6292       0.3081       0.7674       0.8016       0.6880,      11       1.7084       0.3115       0.9319       0.9820       0.9906,      11       1.6483       0.3366       0.8546       0.9612       0.9134,      11       1.6652       0.2976       0.8224       0.9579       0.9405,      11       1.6910       0.2981       0.9761       0.9629       0.9806,      11       1.6992       0.3011       0.9286       0.9463       1.0018
      12       1.6245       0.7750       2.0190       0.8334       0.8823,      12       1.4560       0.7813       1.4079       0.7336       0.9135,      12       1.3000       0.7989       0.9949       0.9695       1.0857,      12       1.4051       1.3835       1.5256       0.6134       0.4315,      12       1.3785       1.0138       0.8804       0.9267       0.9820,      12       1.5396       0.7279       2.6847       0.8154       0.8512,      12       1.5979       0.7395       0.9091       0.8905       0.8605,      12       1.2516       0.8525       1.8413       1.0347       1.1563,      12       1.5110       1.2834       1.5450       0.6376       1.0170,      12       1.6005       0.8955       1.3472       0.9204       0.9884
      13       1.5731       1.1681       1.5169       1.0324       1.0196,      13       1.5940       1.0763       1.4489       1.0802       1.1312,      13       1.2442       0.7068       0.9769       0.7163       0.5583,      13       1.4321       1.1092       1.8816       0.7779       1.2967,      13       1.3889       0.8935       1.5168       1.1765       1.0343,      13       1.9357       0.8466       2.5301       0.8320       0.6270,      13       1.1303       1.0533       1.1099       0.4651       0.7985,      13       1.2845       0.9899       1.6224       1.0466       1.0655,      13       1.4991       0.9151       2.4884       0.8421       0.7235,      13       1.6047       0.7414       1.3575       1.1770       1.6769
      14       1.6297       1.2419       2.1361       0.7927       1.3859,      14       1.5993       1.0346       1.1567       0.5972       0.5583,      14       1.0477       0.9926       2.3093       0.6330       0.4361,      14       1.3178       1.0763       1.8200       0.6741       0.7593,      14       1.4484       0.8831       1.9698       1.1265       0.9019,      14       1.6568       0.8528       1.7891       0.5353       0.4649,      14       1.4451       0.9966       1.0753       0.9544       0.7719,      14       1.4691       0.8849       1.0433       0.7053       0.5906,      14       1.4421       1.0727       2.2571       0.9791       1.4461,      14       1.5139       0.9553       2.1899       0.6888       1.2248
      15       1.6853       1.1912       2.0284       1.1662       1.1494,      15       1.9252       1.2742       1.1916       0.6954       0.5961,      15       1.2560       0.7988       1.3057       0.6597       0.5523,      15       1.4100       1.2028       2.0023       0.6402       0.8800,      15       1.3283       1.0166       1.6492       0.9487       0.9766,      15       1.9172       0.9208       2.3689       0.4451       0.4539,      15       1.2951       1.2711       0.9491       0.7695       0.5730,      15       1.4099       0.9549       1.0778       0.6124       0.7883,      15       1.3288       1.2294       2.0894       0.7268       0.6874,      15       1.4597       1.1214       1.9782       0.5548       0.7240
      16       1.5261       1.1034       2.1246       0.8091       1.0680,      16       1.7958       1.3832       2.2472       0.6474       0.5842,      16       1.2771       0.8799       1.3455       0.5038       0.2837,      16       1.5038       1.2710       1.3025       0.5125       0.5822,      16       1.4014       0.9675       0.9702       0.9927       0.8288,      16       2.0052       0.8684       2.3306       0.5481       0.4401,      16       1.2214       1.3350       1.1210       0.8015       0.7848,      16       1.2534       0.9892       1.5238       0.9259       1.2138,      16       1.6690       1.2100       1.4255       0.7343       0.6932,      16       1.7566       1.1283       2.1665       0.4971       0.8353
      17       2.1901       1.7297       1.6688       0.7255       0.7204,      17       1.5181       1.3002       2.1972       0.4328       0.3381,      17       0.8193       1.0249       0.9817       0.5371       0.7170,      17       1.3308       1.0755       0.6920       0.5039       0.1948,      17       1.4045       1.5253       1.3054       0.8078       1.0595,      17       2.4884       1.3813       2.4463       0.7655       0.7302,      17       1.4530       1.1824       1.2813       0.7660       0.6221,      17       1.2312       1.6367       0.8993       0.6563       0.6247,      17       1.5393       1.5260       0.6679       0.6159       0.5475,      17       1.1500       1.3102       1.1639       0.6063       0.6608
      18       1.8143       1.7585       1.4084       0.5750       0.5149,      18       2.3037       1.8237       1.0026       0.3859       0.5591,      18       1.2496       1.0017       1.0699       0.4409       0.4025,      18       2.0365       1.3559       0.7428       0.4144       0.5605,      18       1.6675       1.6182       0.7840       0.4579       0.5000,      18       3.2041       1.3793       1.5598       0.6445       0.3470,      18       1.5001       1.3530       1.3369       0.7206       0.8821,      18       1.2596       1.6001       0.5984       0.5948       0.6481,      18       1.4299       1.7388       1.3369       0.6247       0.8301,      18       1.6351       1.5429       1.2090       0.8671       0.8050
      19       1.1282       1.5076       1.3492       0.5699       0.8603,      19       2.7388       2.0925       1.3700       0.8385       1.3185,      19       1.5526       1.2342       0.5116       0.7297       0.4227,      19       1.8158       1.1302       0.4632       0.4220       0.3038,      19       1.1728       1.5374       0.8340       0.5451       0.3534,      19       2.5499       1.3109       1.8396       0.5929       0.4696,      19       1.3856       1.3429       1.5285       0.6907       0.6511,      19       1.5092       1.3603       0.5750       0.7067       0.5182,      19       1.2138       1.4939       1.0738       0.3871       0.8494,      19       1.6943       2.1736       0.6154       0.7653       0.6491
      20       0.9659       1.8602       1.6852       0.7298       0.6215,      20       2.7069       2.0622       0.6307       0.6154       0.4714,      20       1.7346       1.1882       1.1545       0.5784       0.4992,      20       1.2323       1.2141       0.9001       0.5532       0.7741,      20       1.2365       1.3224       0.7996       0.8032       0.5431,      20       2.3383       1.4489       1.2252       0.7672       0.7301,      20       1.1749       1.5265       1.3009       0.4630       0.5301,      20       1.5340       1.2413       0.9222       0.5465       0.6081,      20       1.1583       1.1605       0.9193       0.5783       0.8500,      20       1.5319       2.0144       0.5254       0.5629       0.3593
