#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker
       1       0.0000       0.0000       0.0000       0.0000       0.0000
       2       1.5968       0.2414       1.2943       0.8119       1.0469
       3       1.6647       0.2349       1.3437       0.9405       1.0760
       4       1.6728       0.2409       1.4302       1.0074       1.0410
       5       1.7092       0.2270       1.4141       0.8773       0.9649
       6       1.7662       0.2370       1.3937       0.9763       1.0063
       7       1.7393       0.3488       1.7553       0.8404       0.9963
       8       1.7837       0.3443       1.5153       0.6992       0.9527
       9       1.7734       0.3828       1.5623       0.7046       0.9764
      10       1.7380       0.3550       1.5272       0.7285       1.0315
      11       1.7350       0.3737       1.3085       0.9307       1.1849
      12       1.5461       0.9208       2.6696       0.7897       1.3397
      13       1.6727       0.9747       3.2388       0.8670       1.7765
      14       1.7521       0.9836       2.7868       0.7292       1.7832
      15       1.7766       1.0462       2.4837       0.7652       1.8625
      16       2.0260       1.1644       3.7130       0.8258       1.9906
      17       2.5268       1.3925       3.8111       0.7476       1.7533
      18       2.3973       1.3627       3.7761       0.5162       1.5645
      19       3.8808       1.5513       3.5771       0.8048       2.2702
      20       3.2291       1.6302       4.1466       0.5943       1.3363
      21       3.4985       1.5248       4.5346       0.4624       1.3429
      22       3.2358       1.6371       3.8348       0.6087       1.6726
      23       3.7551       1.6070       3.9591       0.5642       1.3281
      24       3.4134       1.6163       3.8828       0.5564       1.5493
      25       3.2098       1.6481       3.8149       0.8149       1.6515
      26       3.2365       1.3773       3.7616       0.8449       1.6925
      27       3.1059       1.5262       4.2432       0.8014       1.5992
      28       3.0873       1.5140       4.2008       0.6781       1.3278
      29       5.0521       1.4192       4.7745       0.6849       2.1295
      30       4.2381       1.5464       5.1287       1.1077       1.9166
      31       3.5324       1.4341       4.7472       0.5723       1.5280
      32       3.6041       1.4341       5.3103       0.7729       1.9709
      33       2.8276       1.3791       4.2568       0.8154       1.7211
      34       3.3134       1.4310       4.9962       0.8110       1.9564
      35       3.3911       1.6066       3.8993       0.7210       1.5497
      36       4.5533       1.5491       5.2104       0.8603       2.1257
      37       4.6882       1.5672       5.6440       1.0068       2.3950
      38       5.3005       1.6361       5.2317       0.5622       1.9110
      39       4.1365       1.6073       4.6570       0.6488       1.8646
      40       4.1526       1.5681       4.9844       0.6717       1.5211
      41       3.4582       1.6856       4.5286       0.7259       1.6131
      42       2.3244       1.6215       4.8240       0.9027       2.3330
      43       3.3594       1.6581       4.2081       0.6351       1.4834
      44       3.6931       1.8406       4.1793       0.5968       1.4469
      45       4.3935       1.4728       5.1232       0.5969       1.5557
      46       4.4192       1.8716       5.1431       0.7319       1.9251
      47       3.2841       1.6036       4.7835       0.7722       1.6829
      48       3.5587       1.8323       4.6305       0.6749       1.4906
      49       2.9116       1.6202       4.5148       0.7337       1.7033
      50       4.6513       1.8301       4.8789       0.5435       1.4750
      51       4.3611       1.8535       4.6505       0.4869       1.2342
      52       4.5215       1.6862       4.3402       0.6211       1.5231
      53       3.6498       1.8154       4.6538       0.8161       1.5501
      54       4.1118       1.7408       5.0880       0.8450       1.9392
      55       4.0766       1.8329       5.4640       0.5882       1.9152
      56       4.8280       1.7110       4.5122       0.5811       1.6083
