#Frame           CRBN        GSPT1
       1       0.0000       0.0000
       2       0.2228       1.4986
       3       0.2309       1.6386
       4       0.2309       1.7625
       5       0.2318       1.7019
       6       0.2463       1.8152
       7       0.3565       1.8186
       8       0.3551       1.8228
       9       0.3530       1.8209
      10       0.3506       1.8597
      11       0.3794       1.8169
      12       0.7165       1.8323
      13       0.7350       1.8123
      14       0.7955       1.6228
      15       1.0006       2.1708
      16       0.9250       1.7989
      17       1.4443       1.7334
      18       1.9542       2.5060
      19       1.8510       2.8481
      20       2.1161       3.2750
      21       1.8102       3.1902
      22       2.1375       3.3396
      23       1.9450       2.9086
      24       2.4650       3.8550
      25       2.5465       3.3283
      26       2.0257       1.9990
      27       2.0211       2.5221
      28       2.0432       2.8646
      29       2.3178       1.9540
      30       2.6470       2.8997
      31       2.3776       2.7525
      32       2.0005       2.4231
      33       2.1794       2.9678
      34       2.3629       3.0885
      35       2.2361       3.0371
      36       2.7053       3.1896
      37       2.4935       2.5089
      38       2.5010       2.6885
      39       2.6726       2.8294
      40       2.4263       2.4037
      41       2.3253       2.6365
      42       2.3228       2.4725
      43       2.5152       3.1205
      44       2.4395       2.7876
      45       2.2451       2.7692
      46       2.5313       1.9188
      47       2.8609       2.9088
      48       2.4663       2.6793
      49       2.6731       2.7548
      50       2.9263       1.8472
      51       2.6809       1.8939
      52       2.7995       3.8444
      53       2.4914       3.1082
      54       2.3356       2.1719
      55       2.7347       2.3570
      56       2.7490       2.4685
