#Frame           CRBN        GSPT1
       1       0.0000       0.0000
       2       0.1751       1.5273
       3       0.1902       1.6167
       4       0.1731       1.6669
       5       0.1826       1.6715
       6       0.1797       1.7054
       7       0.2974       1.6843
       8       0.3077       1.6490
       9       0.2817       1.7535
      10       0.2982       1.6889
      11       0.3301       1.6929
      12       0.6677       1.6029
      13       0.7573       1.5347
      14       0.7692       1.6020
      15       0.8141       1.9110
      16       0.8086       1.6936
      17       1.0365       1.9893
      18       1.0428       1.9968
      19       1.2100       1.7111
      20       1.1605       1.6650
      21       1.3679       1.6740
      22       1.2472       1.4695
      23       1.4813       1.4739
      24       1.5459       1.3601
      25       1.1273       1.8370
      26       1.2625       1.4805
      27       1.3451       1.6072
      28       1.4090       1.3465
      29       1.3318       1.6615
      30       1.3390       2.1445
      31       1.2232       2.4909
      32       1.2167       2.0480
      33       1.5545       1.3086
      34       1.7912       1.3919
      35       1.5123       1.2287
      36       1.5094       1.4326
      37       1.5338       1.4086
      38       1.5348       0.9383
      39       1.5151       1.4857
      40       1.6897       1.3166
      41       1.6479       1.5041
      42       1.6284       1.5467
      43       1.4876       1.2976
      44       1.7735       1.6304
      45       1.9652       1.5119
      46       1.7850       1.9083
      47       1.5780       1.8495
      48       1.2499       1.8219
      49       1.5285       1.9572
      50       1.4013       1.6828
      51       1.6609       1.5577
      52       1.5123       1.9633
      53       1.5456       1.6563
      54       1.4574       1.9173
      55       1.6469       1.9802
      56       1.6640       1.8424
      57       1.6542       1.8472
      58       1.6761       1.8628
      59       1.6162       2.1669
      60       1.8287       2.2471
      61       1.4389       1.6239
      62       1.7785       1.2687
      63       1.8555       1.2584
      64       1.7192       1.9340
      65       1.8648       1.3354
      66       1.7427       1.7152
      67       1.6259       1.4315
      68       1.5510       1.7990
      69       1.7147       1.2204
      70       1.5799       1.7740
      71       1.9366       1.2127
      72       1.5860       1.8621
      73       1.9994       2.1818
      74       1.9568       1.7816
      75       1.8551       2.3065
      76       2.1590       1.6484
      77       2.2146       1.8237
      78       1.9012       1.8183
      79       2.1796       2.1495
      80       1.8933       2.2514
      81       2.2434       2.8278
      82       1.8428       3.2113
      83       1.6811       3.2477
      84       2.0442       3.0682
      85       1.8330       3.1574
      86       1.7995       2.5628
      87       2.0345       2.2557
      88       2.2661       2.5256
      89       1.7138       2.8295
      90       1.7998       1.9857
      91       1.7739       2.2311
      92       2.0240       2.2073
      93       2.2320       3.0079
      94       1.7004       3.1632
      95       1.7867       3.4703
      96       1.9503       2.7509
      97       1.7176       3.5573
      98       1.8796       2.7409
      99       1.7871       2.4400
     100       2.1637       1.6551
     101       2.1712       2.3064
