#Frame           CRBN        GSPT1
       1       0.0000       0.0000
       2       0.2265       1.5519
       3       0.2199       1.6929
       4       0.2267       1.7152
       5       0.2231       1.7939
       6       0.2176       1.7972
       7       0.3211       1.7624
       8       0.3688       1.8379
       9       0.3256       1.7863
      10       0.3331       1.8682
      11       0.3138       1.8144
      12       0.8622       1.6746
      13       0.8048       1.6968
      14       1.0202       1.8990
      15       0.9189       2.0127
      16       0.9040       1.9718
      17       1.4562       3.5574
      18       1.5183       3.5991
      19       1.5390       3.9543
      20       1.4827       3.8456
      21       1.5650       3.8332
      22       1.5746       3.2963
      23       1.4181       2.8574
      24       1.4556       2.9433
      25       1.4653       3.2637
      26       1.5256       3.0858
      27       1.4764       3.6063
      28       1.6494       2.6236
      29       1.7102       2.8928
      30       1.6439       2.4506
      31       1.6343       2.9681
      32       1.6419       2.6519
      33       1.7405       2.9362
      34       1.6211       4.4423
      35       1.6376       3.9732
      36       1.5567       3.0219
      37       1.6386       3.6536
      38       1.5664       3.8806
      39       1.7113       2.4761
      40       1.7470       3.5297
      41       1.7126       3.4208
      42       1.7357       5.1072
      43       1.6475       2.9178
      44       1.5995       3.5438
      45       1.7479       2.8749
      46       1.7466       1.8665
      47       1.8218       1.0248
      48       1.6933       1.3791
      49       1.7102       1.8880
      50       1.7408       1.5054
      51       1.7189       2.2600
      52       1.6808       1.5591
      53       1.5269       3.2849
      54       1.6685       3.0058
      55       1.7076       3.5462
      56       1.7890       3.8219
