#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker
       1       0.0000       0.0000       0.0000       0.0000       0.0000
       2       1.6135       0.1754       1.1962       0.6844       1.0099
       3       1.7985       0.1767       1.2524       0.8642       1.1275
       4       1.7943       0.1692       1.1859       0.8949       1.2112
       5       1.8320       0.1813       1.1753       0.8085       1.0482
       6       1.8503       0.1747       1.1708       0.9703       1.1591
       7       1.9030       0.2882       1.4954       0.7886       1.1856
       8       1.8339       0.3087       1.4392       0.8660       1.1684
       9       1.9017       0.3072       1.2475       1.0506       1.4292
      10       1.8489       0.2859       1.4602       0.7261       1.1253
      11       1.8059       0.2847       1.3778       0.7569       1.1737
      12       2.0372       0.7508       2.1108       0.7865       1.4473
      13       2.2480       0.8758       1.7806       0.5169       1.3450
      14       2.3881       0.9774       2.2491       0.8932       1.4654
      15       2.4342       0.9452       1.9612       0.4760       1.1736
      16       2.1667       1.0181       1.7829       0.5328       1.4277
      17       1.6363       1.0892       2.0089       0.6979       1.2694
      18       1.6825       1.1026       2.0361       0.4609       0.6760
      19       1.8377       1.0620       0.8420       0.5021       0.6662
      20       2.1145       1.0801       2.1285       0.3683       0.5575
      21       3.2823       1.1251       1.7587       0.4740       0.6214
      22       3.0423       1.0790       1.7469       0.5561       0.6941
      23       3.7160       1.3151       2.2015       0.4336       0.6898
      24       3.2064       1.0865       1.9885       0.7855       1.0182
      25       3.4432       1.0470       2.1915       0.3088       0.6579
      26       3.8897       1.1390       2.0190       0.5440       0.8811
      27       2.6402       1.0376       2.0597       0.5777       0.7694
      28       3.0622       1.0189       1.7693       0.4557       0.8921
      29       3.2732       1.0930       2.5886       0.4772       0.9881
      30       3.0188       1.2400       2.5149       0.3860       0.6107
      31       3.3032       1.5002       2.0666       0.7755       0.8969
      32       2.6101       1.2928       2.1229       0.4139       0.6538
      33       2.4455       1.2084       1.4622       0.6952       0.7807
      34       3.2697       1.4114       2.0081       0.4751       0.6250
      35       2.5756       1.3121       2.0641       0.6405       0.8632
      36       2.8700       1.2961       1.9529       0.6712       0.7502
      37       2.8228       1.2835       2.5510       0.6732       0.9823
      38       2.4049       1.2276       2.7228       0.6852       1.2868
      39       2.4189       1.4008       2.5019       0.2449       0.6007
      40       2.2996       1.2187       2.6087       0.6681       0.9427
      41       2.7566       1.2898       2.6900       0.6902       1.0694
      42       2.6046       1.3198       2.6573       0.7301       0.8624
      43       2.6395       1.3643       2.6044       0.6985       0.7887
      44       3.6734       1.5350       2.7430       0.7722       0.9268
      45       3.0611       1.3986       2.6884       0.6575       0.8029
      46       2.6028       1.3216       2.8297       0.6924       1.0871
      47       2.5741       1.4854       2.6916       0.4993       0.6041
      48       3.2442       1.4993       2.8475       0.6220       0.8249
      49       2.4715       1.4608       2.5760       0.5335       0.7389
      50       2.2362       1.4483       2.2906       0.6379       0.6882
      51       2.1470       1.4383       2.4193       0.5688       0.7589
      52       2.3429       1.4085       3.3800       0.4536       0.7196
      53       2.1063       1.7380       2.8554       0.3897       0.5768
      54       1.4656       1.7254       2.4933       0.4181       0.5366
      55       2.2400       1.5717       2.6184       0.4234       0.6551
      56       1.8057       1.5537       2.9136       0.3414       0.9118
      57       2.8053       1.5229       2.9187       0.3033       0.6235
      58       2.2475       1.5619       2.7001       0.4222       0.9169
      59       2.6658       1.5391       3.1083       0.4388       0.4832
      60       3.3225       1.8001       2.9674       0.1856       0.5333
      61       2.6438       1.9119       3.2873       0.3888       0.7391
      62       3.2269       2.0162       3.4247       0.5246       0.9026
      63       2.4954       1.8547       2.9941       0.3997       0.4651
      64       1.9925       1.7867       2.9288       0.3092       0.4938
      65       2.4951       1.6390       2.7139       0.3696       0.7039
      66       2.4201       1.7395       2.4932       0.4273       0.8334
      67       3.5732       1.6951       2.7602       0.2771       0.4141
      68       3.3644       1.7640       2.7986       0.4155       0.7061
      69       3.1587       1.9046       3.0365       0.6290       1.3916
      70       2.2455       1.9813       2.8380       0.1757       0.7772
