#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker
       1       0.0000       0.0000       0.0000       0.0000       0.0000
       2       1.4509       0.2304       1.0771       0.8308       0.9582
       3       1.6249       0.2344       1.1872       0.9628       1.0059
       4       1.7024       0.2388       1.0986       0.9316       0.9856
       5       1.7141       0.2222       1.1796       0.9080       1.0296
       6       1.7127       0.2393       1.1324       0.9133       1.0386
       7       1.6907       0.4208       1.3935       0.7311       1.1371
       8       1.7427       0.3486       1.5939       0.7552       1.1457
       9       1.7322       0.3715       1.4937       0.5420       1.1120
      10       1.6557       0.3818       1.3649       0.6363       0.9939
      11       1.6510       0.3528       1.3408       0.6437       1.1128
      12       1.4370       0.7531       1.9173       0.8431       1.2679
      13       1.5023       0.8591       2.4430       0.7159       1.3854
      14       1.5966       0.9573       2.3093       0.6536       1.0712
      15       1.5275       0.9684       2.3058       0.5918       1.1070
      16       1.5503       1.0537       2.2905       0.9657       1.2479
      17       1.5381       1.5151       2.6513       1.3282       2.2603
      18       2.2734       1.9630       2.4775       1.2549       1.0847
      19       1.7155       1.7104       2.4284       0.9530       1.3530
      20       2.0162       1.3649       2.5709       0.8324       1.0208
      21       2.1791       1.5844       3.2736       0.8163       1.5331
      22       2.2006       1.3284       2.9664       0.8667       1.1982
      23       2.5841       1.5702       2.5971       0.9483       1.2221
      24       2.7263       1.5325       3.4914       0.6997       1.1726
      25       3.0963       1.6994       3.9802       0.9515       1.2995
      26       2.9632       1.5402       4.1954       0.8634       1.0432
      27       3.4107       1.5028       4.2189       0.9957       1.3149
      28       3.2074       1.5763       4.3707       0.9128       1.0321
      29       3.6753       1.4592       4.1691       0.7575       1.7481
      30       3.3285       1.5046       5.0767       0.9731       2.0195
      31       3.9534       1.3862       4.7104       0.6394       1.8521
      32       3.1990       1.6115       4.9209       0.5925       1.7322
      33       3.8841       1.6574       5.3912       0.8493       2.0765
      34       3.8260       1.4483       5.6363       0.6370       1.4645
      35       2.9952       1.5038       5.4092       0.7094       2.1682
      36       2.5228       1.7365       4.3381       0.9606       2.1190
      37       3.2924       1.5363       5.8629       0.8670       1.7117
      38       3.6439       1.4856       5.4086       0.6724       1.9463
      39       2.6269       1.5494       4.9424       0.7693       1.9383
      40       2.5925       1.6290       4.9338       1.0034       1.9786
      41       3.4177       1.6523       5.2969       0.7815       2.3611
      42       3.4665       1.9925       4.5400       1.1094       2.2648
      43       4.0227       1.6069       4.3270       0.7510       2.1640
      44       3.3853       1.6688       4.2661       0.6702       2.3712
      45       3.2787       1.7735       4.4444       0.8914       2.3323
      46       3.8942       1.7348       4.7297       0.7853       2.5630
      47       3.0624       1.3974       5.3894       0.4442       2.2128
      48       3.0101       1.5351       5.3321       0.6991       1.9793
      49       2.8709       1.6824       5.2646       0.9112       2.1933
      50       4.2248       1.7198       5.5027       0.5850       2.6827
      51       3.9316       1.7119       5.1835       0.5597       2.1839
      52       3.9497       1.8270       5.4333       0.5919       2.0811
      53       3.9030       1.3712       5.1048       0.5480       2.0401
      54       3.1020       1.8637       4.7119       0.6511       2.2972
      55       3.5352       1.9248       5.6084       0.6035       2.2654
      56       3.0545       1.6681       5.3726       0.6222       2.0255
