#Frame           CRBN        GSPT1
       1       0.0000       0.0000
       2       0.2137       1.5001
       3       0.2227       1.6291
       4       0.2240       1.7613
       5       0.2304       1.8075
       6       0.2189       1.7725
       7       0.3493       1.8056
       8       0.3542       1.6604
       9       0.3436       1.7959
      10       0.3460       1.7293
      11       0.3310       1.8288
      12       0.6891       1.5902
      13       0.9722       1.8418
      14       0.8995       1.7240
      15       1.1171       1.6676
      16       1.0394       1.6335
      17       1.4507       1.8224
      18       1.2577       2.3957
      19       1.5319       1.8327
      20       1.6066       1.8530
      21       1.6969       1.8361
      22       1.4951       2.0898
      23       1.5597       2.4427
      24       1.6278       1.3495
      25       1.5234       1.7803
      26       1.3861       1.9752
      27       1.3813       2.9002
      28       1.4304       2.2744
      29       1.6554       3.3019
      30       1.4042       3.1100
      31       1.3729       1.8416
      32       1.7613       1.1237
      33       1.8543       1.3314
      34       1.7524       1.7953
      35       1.7816       1.2646
      36       1.8626       1.3378
      37       1.6797       2.8259
      38       1.5323       2.3774
      39       1.6893       2.7183
      40       1.9479       1.6475
      41       1.8909       1.6785
      42       1.8236       1.5828
      43       1.9774       2.5901
      44       1.8253       1.7635
      45       1.9111       1.2740
      46       2.1237       2.3240
      47       2.2649       1.8213
      48       2.2039       1.6458
      49       2.2211       1.4654
      50       2.1060       2.1521
      51       1.9799       3.0566
      52       2.0195       2.1356
      53       1.9679       2.4115
      54       2.0673       1.9980
      55       2.1000       2.6675
      56       2.3429       2.7553
