#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker
       1       0.0000       0.0000       0.0000       0.0000       0.0000
       2       1.5784       0.1787       1.0850       0.8596       0.9764
       3       1.7445       0.1712       1.1358       0.8668       1.0026
       4       1.7661       0.1796       1.2509       0.8159       1.1312
       5       1.8363       0.1786       1.2246       0.8498       1.1053
       6       1.8793       0.1798       1.2528       0.8542       1.2406
       7       1.8499       0.3083       1.3606       0.7960       1.1421
       8       1.8430       0.2877       1.2808       0.7080       1.2220
       9       1.8661       0.2880       1.5659       0.8443       1.2076
      10       1.8748       0.2776       1.4482       0.7759       1.1203
      11       1.8356       0.2969       1.5380       0.7189       1.1692
      12       2.0148       0.6967       1.9146       0.8432       1.6652
      13       1.9657       0.6248       1.6996       0.6368       1.2490
      14       1.8278       0.6019       1.4544       0.8228       1.4152
      15       1.5962       0.7262       1.5549       0.7586       1.0444
      16       2.0931       0.6668       2.0605       0.8172       1.2667
      17       2.5134       1.0964       1.9564       0.6636       1.1709
      18       3.1548       1.0507       2.2176       0.3622       0.7276
      19       3.1404       1.0276       2.1717       0.6419       0.8785
      20       3.7287       1.2844       2.2759       0.4703       0.7368
      21       3.2659       1.0529       2.1780       0.6735       0.8467
      22       3.4622       1.0212       2.3373       0.3686       0.7921
      23       4.3517       1.1272       1.9808       0.7755       1.0062
      24       3.9164       1.2172       2.8630       0.9263       1.5774
      25       4.1414       1.2724       2.7633       0.6956       0.9497
      26       3.9836       1.2176       1.9457       0.9114       1.2410
      27       4.1598       1.3549       2.5844       0.6617       1.0312
      28       4.0763       1.5103       2.4495       0.9515       1.4846
      29       3.4447       1.6302       2.1474       0.4105       0.7812
      30       4.4880       1.6037       2.7714       0.6594       1.0878
      31       4.1371       1.6866       1.8868       0.2427       0.6566
      32       4.7045       1.4265       3.0695       0.4465       1.1928
      33       4.3597       1.5299       2.0609       0.7391       0.9498
      34       4.1137       1.8543       1.9795       0.4065       0.4556
      35       4.2818       1.8276       2.4556       0.5014       0.9996
      36       4.1986       1.9650       2.1375       0.5655       0.7174
      37       3.8235       1.3283       2.0615       0.2955       0.3670
      38       3.4265       1.4842       2.0673       0.3185       0.5033
      39       3.0833       1.5353       1.7159       0.3457       0.4188
      40       3.6071       1.5489       2.6774       0.5486       0.4724
      41       3.0644       1.5174       3.0422       0.4739       0.4747
      42       2.7212       1.5609       2.1683       0.4757       0.6481
      43       2.7304       1.8032       1.9640       0.2307       0.2987
      44       3.1736       1.8019       1.8409       0.5085       0.4737
      45       3.5513       1.6540       2.5802       0.2866       0.5332
      46       2.8118       1.6673       2.5796       0.2939       0.5713
      47       2.7142       1.5679       2.1723       0.3141       0.4518
      48       3.1920       1.8565       2.3515       0.3906       0.6887
      49       1.7761       1.4994       1.2482       0.4324       0.3659
      50       3.1992       1.7590       2.7139       0.3804       0.6344
      51       2.9727       1.7602       2.3866       0.2066       0.2951
      52       3.3374       1.9782       2.6824       0.3327       0.3993
      53       3.0470       1.6405       1.9309       0.4502       0.4854
      54       2.4145       1.4870       1.8325       0.3659       0.3683
      55       2.3945       1.5672       2.4186       0.3463       0.8387
      56       2.3219       1.5963       1.8658       0.5185       0.4486
      57       2.9204       1.7903       2.4775       0.3217       0.4471
      58       2.3743       1.5005       1.7558       0.3836       0.4468
      59       2.4513       1.6345       1.8481       0.5406       0.7437
      60       2.3557       1.7813       1.7604       0.4945       0.4304
      61       2.7635       1.8197       1.7468       0.4186       0.5283
      62       1.9425       1.7761       1.5615       0.3244       0.4964
      63       3.0332       1.9265       2.2621       0.2797       0.4167
      64       2.7296       1.7313       2.3031       0.4647       0.5393
      65       2.0603       1.5493       1.7337       0.4021       0.5237
      66       2.3775       1.7933       1.5086       0.4954       0.3403
      67       3.1269       1.7607       2.3154       0.6567       1.0476
      68       2.6342       1.8389       1.9391       0.4103       0.4269
      69       3.2485       1.7658       2.1688       0.3483       0.5943
      70       2.7848       1.7009       1.4636       0.3278       0.4404
      71       2.5154       1.7642       1.8830       0.4817       0.3739
      72       2.2019       1.6220       1.4137       0.2898       0.4731
      73       2.2956       2.3639       1.7145       0.5626       0.8187
      74       3.3712       1.9022       1.8230       0.5904       0.6555
      75       2.7061       1.8980       2.1127       0.3719       0.5524
      76       2.7643       1.7957       1.1208       0.3525       0.4501
      77       3.4456       1.8730       1.5011       0.5879       0.7380
      78       3.2844       1.7223       1.5062       0.5212       0.4558
      79       2.2806       2.1734       1.6366       0.3886       0.3920
      80       2.0995       2.0877       1.3321       0.4147       0.2551
      81       2.6528       2.0333       1.2533       0.3398       0.7381
      82       3.2161       1.8253       2.2792       0.5940       0.8887
      83       2.3166       1.9731       2.4269       0.5784       0.9274
      84       1.8561       1.6961       2.1333       0.3975       0.5665
      85       1.8978       1.8507       1.9197       0.4842       0.7458
      86       1.2662       1.8387       2.3533       0.3399       0.2702
      87       1.5345       1.7112       2.5099       0.4610       0.5014
      88       1.2226       2.0169       2.0812       0.3003       0.4537
      89       1.9626       1.8147       2.6322       0.4168       0.5435
      90       2.1369       1.7311       2.5142       0.2725       0.5570
      91       2.0007       1.7470       2.4120       0.4556       0.2913
      92       1.7805       1.4697       2.6346       0.3050       0.4210
      93       2.4443       1.6326       2.9547       0.6198       0.5539
      94       2.6300       1.5351       2.8755       0.3077       0.3223
      95       2.3876       1.6303       2.6517       0.4261       0.3953
      96       2.1694       1.4896       2.7357       0.3210       0.4032
      97       2.5236       1.4719       2.3338       0.3941       0.4795
      98       1.7727       1.4745       2.1069       0.5570       0.6019
      99       1.8025       1.8484       2.1553       0.4726       0.7243
     100       2.4500       1.6239       2.2885       0.3983       0.5795
     101       1.5367       1.6799       2.4679       0.5040       0.7239
     102       1.9311       1.6806       2.4448       0.4249       0.6362
     103       1.8102       1.4605       2.7533       0.5423       0.3607
     104       1.3641       1.6208       2.3912       0.2981       0.3214
     105       1.3990       1.6188       1.2699       0.3904       0.4532
     106       3.3516       1.6328       2.0467       0.4031       0.6231
     107       2.0863       1.8375       1.3841       0.4856       0.3268
     108       2.4234       1.7261       1.8018       0.6613       0.6138
