#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker
       1       0.0000       0.0000       0.0000       0.0000       0.0000
       2       1.5206       0.2163       1.0450       0.9216       0.8911
       3       1.7157       0.2144       1.2311       0.9650       0.9689
       4       1.6917       0.2178       1.1704       0.9243       0.9585
       5       1.7136       0.2191       1.1581       0.9677       0.9500
       6       1.7038       0.2116       1.2396       0.9964       1.0048
       7       1.6622       0.3265       1.2027       0.8964       0.9725
       8       1.7794       0.3495       1.4403       0.7589       1.0591
       9       1.7152       0.3450       1.4228       0.7390       1.0145
      10       1.6657       0.3457       1.2958       0.7066       0.9391
      11       1.7100       0.3440       1.3894       0.7427       1.0243
      12       1.6471       0.8247       1.4776       0.7216       1.0553
      13       1.8185       0.8385       1.7515       0.8226       1.5251
      14       2.0837       1.0023       2.1124       0.8327       1.5191
      15       1.9004       1.0104       1.5490       0.8469       1.2813
      16       1.9195       0.9445       1.7580       0.7234       1.2718
      17       3.1844       1.5535       2.1926       0.7181       1.5528
      18       4.5527       1.4717       2.9225       0.5809       1.7208
      19       3.9709       1.6002       2.2363       0.9414       1.4277
      20       3.9589       1.7123       2.4096       0.9861       1.8451
      21       4.3455       1.7476       2.7151       0.9122       1.5313
      22       4.7311       1.9847       3.4658       0.8483       2.0513
      23       6.8298       1.0935       4.7718       0.8593       1.8682
      24       5.7424       1.6753       3.5589       0.6547       1.6879
      25       4.6417       1.7422       2.4166       0.7087       1.2767
      26       5.0403       1.6898       3.8857       0.6235       1.6019
      27       5.8305       1.8766       5.2325       0.9343       1.7799
      28       6.6930       1.7653       4.9777       0.8693       1.8649
      29       7.3946       2.0164       6.2431       1.1170       2.5733
      30       6.5114       1.9100       4.6867       0.6675       2.0710
      31       5.6513       1.8058       3.9039       0.9676       1.6975
      32       5.6628       1.5908       4.1375       0.7089       1.7703
      33       5.1758       1.5548       4.9017       0.8913       2.3849
      34       6.1634       1.5501       5.1316       1.2684       2.6014
      35       6.6740       1.4624       4.9369       1.0463       2.1422
      36       6.9649       1.4982       4.9566       0.9482       2.3045
      37       7.2850       1.5797       4.4384       0.7425       2.0471
      38       6.1165       1.7226       4.7066       1.0103       2.2553
      39       6.3708       1.6283       4.4533       1.0103       2.3420
      40       6.7952       1.7435       4.8803       0.9007       1.7677
      41       7.5643       1.5381       5.0695       0.9397       2.1042
      42       7.3609       1.4148       5.3953       0.7423       2.0701
      43       7.2153       1.6046       5.3730       0.7770       2.1329
      44       6.6750       1.7226       4.9170       0.7345       2.0040
      45       5.9580       1.7484       4.7462       0.8990       2.0247
      46       7.8429       1.5473       6.4160       0.8204       2.7415
      47       6.1144       1.7348       4.9881       1.0296       2.1587
      48       6.5477       1.6940       5.9187       1.0028       2.6641
      49       6.9654       1.5937       5.7054       1.0723       2.4039
      50       7.3264       1.7496       4.9285       0.7291       1.5783
      51       7.0163       1.4512       6.0785       0.7791       2.5184
      52       6.4265       1.7207       4.8953       0.8927       2.2423
      53       6.7112       1.6458       5.6230       0.8962       2.5569
      54       6.5801       1.5321       5.0404       0.7663       1.6667
      55       6.8760       1.5991       5.6787       0.8487       2.1743
      56       6.7786       1.4342       4.5862       0.4657       1.3381
