#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker
       1       0.0000       0.0000       0.0000       0.0000       0.0000
       2       1.4316       0.1843       0.7428       0.6649       0.7066
       3       1.6431       0.1845       0.7742       0.8050       0.8521
       4       1.7263       0.1822       0.8586       0.8928       0.8614
       5       1.7145       0.1909       0.8420       0.8943       0.9107
       6       1.7577       0.1838       0.8023       0.9092       0.9561
       7       1.7040       0.3275       0.6404       0.5926       0.9438
       8       1.6598       0.3478       0.8178       0.8773       0.9435
       9       1.7274       0.3180       0.7845       0.6979       0.8984
      10       1.6350       0.3614       0.7656       0.7009       0.7321
      11       1.7002       0.3267       0.8710       0.7683       0.8296
      12       1.6247       0.7331       1.9006       0.4586       1.5648
      13       1.5770       0.7355       1.1957       0.4937       1.7104
      14       1.7288       0.8510       1.7339       0.9153       2.3579
      15       1.6323       0.8163       1.8755       0.6542       2.1084
      16       1.7032       0.6785       2.4325       0.9651       3.2983
      17       1.2212       0.8481       2.4523       0.8676       2.5719
      18       1.6978       1.1023       1.7724       1.0884       2.3569
      19       1.5753       0.8640       1.6783       0.6813       2.2838
      20       1.2444       0.9744       2.4916       0.6106       2.7287
      21       0.9242       0.8519       2.3042       0.8712       2.5257
      22       1.3123       0.9675       2.0015       0.7457       2.4410
      23       1.1799       0.9676       2.2797       0.5656       2.0662
      24       1.6921       1.1356       2.2802       1.0736       1.8816
      25       1.4326       0.9684       2.3225       0.7201       1.9179
      26       1.4535       1.1760       1.9313       0.8304       2.0565
      27       1.3776       1.1474       2.2577       0.7822       2.5983
      28       2.1526       1.0325       2.0592       1.0305       2.2670
      29       1.6269       0.8935       2.1301       0.7792       2.0548
      30       2.0173       0.8433       2.0922       0.9870       2.3834
      31       1.5272       0.9128       2.1529       0.7604       2.3074
      32       1.2892       0.9132       1.8067       0.7105       2.0024
      33       1.4487       0.9712       2.1845       0.6659       2.3800
      34       2.6928       0.9242       2.1055       0.5407       2.4709
      35       3.0280       1.1453       2.6035       0.8465       2.5659
      36       3.4564       0.9283       1.9800       0.8141       2.5156
      37       2.5785       1.2934       1.9933       0.7504       2.2631
      38       1.9437       1.1333       2.7386       0.8636       2.3158
      39       2.5879       1.0409       2.7187       0.5045       2.3656
      40       2.3340       0.9839       2.7406       0.6129       2.1662
      41       3.4196       0.9386       2.7702       1.1049       2.1999
      42       2.6386       0.9851       2.6044       0.8098       2.2577
      43       2.6136       1.0935       2.9334       0.7316       2.4817
      44       3.3693       1.0113       2.8293       0.6178       2.4099
      45       3.3523       1.2958       2.6981       0.9744       2.6309
      46       3.7570       1.0218       2.8385       0.9443       2.8502
      47       3.4471       1.4125       3.4015       1.0553       2.7482
      48       3.8322       1.7106       3.3807       0.7718       2.5122
      49       4.0630       1.6371       3.1414       1.1520       2.5413
      50       3.7774       1.4646       3.5216       0.8017       2.3271
      51       3.2612       1.5963       3.2682       0.8246       2.4487
      52       3.6540       1.3281       3.1856       1.0944       2.5378
      53       4.3939       1.3060       3.6129       0.9737       2.8161
      54       3.6055       1.3028       3.4909       0.7071       2.5517
      55       3.2009       1.5438       2.7821       0.6641       2.6099
      56       3.3027       1.5501       3.0805       0.9008       2.3313
      57       3.6406       1.4811       2.6394       0.7762       2.5317
      58       4.1531       1.8246       2.5445       0.9021       2.3141
      59       3.9669       1.6402       2.7375       0.8277       2.2821
      60       3.7162       1.6479       2.7480       1.2294       2.4950
      61       4.3384       1.7378       2.7960       0.8024       2.3791
      62       4.0638       1.7922       2.5305       1.3336       2.5728
      63       3.1258       1.8497       2.8421       0.6371       2.3678
      64       4.1793       1.8477       3.1652       1.1159       2.5878
      65       4.4165       1.5732       3.1036       0.7805       2.7481
      66       3.3573       1.8120       2.8678       0.8572       2.5081
      67       3.5933       1.5815       2.7756       0.8826       2.9152
      68       4.0246       1.6461       3.5171       1.0298       3.0693
      69       3.3705       1.6094       3.2730       0.8786       3.0567
      70       3.8237       1.4084       3.0600       1.0316       2.7985
      71       4.2528       1.7218       2.8396       1.0786       3.2559
      72       3.6036       1.6291       2.3683       1.0610       2.5577
      73       4.2397       1.5990       2.4298       1.2266       2.9453
      74       5.1048       1.7007       3.0119       1.3910       2.9585
      75       5.1744       1.4366       1.9971       0.9945       2.6825
      76       3.8447       1.3365       2.4080       0.9633       2.8792
      77       4.0275       1.3572       2.8495       0.9578       2.7553
      78       3.0792       1.5207       2.9238       0.8456       2.5939
      79       2.8919       1.6328       2.8601       0.9835       2.8297
      80       3.0256       1.8346       2.5816       0.7359       2.3555
      81       3.5963       1.6295       3.6059       0.9709       2.6499
      82       3.4756       1.7771       3.5414       0.7227       2.9369
      83       3.1295       1.7417       2.5722       0.9832       2.9058
      84       3.2249       1.6011       2.9825       0.9321       2.8180
      85       3.0547       1.4977       2.8333       0.8672       2.7200
      86       2.9249       1.3150       2.9812       0.9382       2.8580
      87       3.4908       1.4407       3.0995       0.8194       2.7101
      88       3.0623       1.3369       3.2440       0.7390       2.4497
      89       4.1670       1.4215       2.6851       1.3530       2.9388
      90       3.9152       1.5861       2.9019       0.9417       2.7241
      91       3.5745       1.4186       2.7761       0.8948       2.7549
      92       3.4425       1.5324       2.7170       1.0827       2.7098
      93       3.5422       1.4475       2.9581       1.1264       2.6460
      94       3.1626       1.4553       3.2554       1.0646       2.3523
      95       3.7867       1.8322       2.8694       1.4783       2.9492
      96       3.8393       1.7008       3.1471       1.0483       2.6873
      97       3.8962       1.8637       3.3857       0.9578       2.7272
      98       3.8241       1.5941       3.4902       0.6322       2.3178
      99       4.4830       1.4603       3.0563       0.8764       2.6271
     100       3.7425       1.5397       3.2727       0.8536       2.5086
     101       3.8438       1.7169       3.1799       1.0512       2.2555
     102       3.6057       1.6193       3.4528       0.9069       2.5360
     103       3.2574       1.7147       2.7095       0.7815       2.4944
     104       3.1341       1.5789       3.1146       0.5996       2.5879
     105       3.6837       1.9744       2.7243       1.1514       2.4235
     106       3.6530       1.9005       3.2851       1.0852       2.5144
     107       3.1816       1.8449       3.0188       0.7537       1.7840
     108       3.3378       1.6517       2.8149       0.9999       2.2452
     109       3.1185       1.5677       2.8948       0.8552       2.0470
     110       2.9204       1.6044       3.1276       0.7652       1.8775
     111       4.0307       1.3401       3.5214       0.8652       2.1378
     112       2.3237       1.5564       3.4582       0.9933       2.4547
     113       3.0696       1.3626       3.4717       0.7326       2.3275
     114       2.7917       1.5764       3.2929       0.8966       2.5251
     115       2.7152       1.3837       3.0390       0.8786       2.7047
     116       1.8779       1.5992       3.3459       0.6626       2.1144
     117       1.8844       1.2882       2.9907       0.8739       2.3954
     118       2.0114       1.4047       2.7662       0.7206       2.4704
     119       2.1033       1.6720       3.1238       0.7811       2.2340
     120       1.9765       1.4850       2.9167       1.0306       2.3485
     121       2.1382       1.4596       3.4360       0.9085       2.8594
     122       1.8184       1.3081       3.5501       0.6235       2.5365
     123       2.0156       1.3888       3.0857       0.7253       2.6314
     124       1.7139       1.4155       2.7920       0.9038       2.9410
     125       1.5990       1.4309       2.7190       0.8017       2.4319
     126       1.7265       1.4655       2.9133       0.8477       2.5712
     127       2.3112       1.3729       3.6167       0.8274       2.3361
     128       3.0862       1.4093       3.2834       0.7254       2.8710
     129       2.6102       1.3545       3.0938       1.0119       2.4658
     130       2.7166       1.3790       3.7975       0.7699       2.8737
     131       2.2847       1.5318       3.5237       0.6772       2.7447
     132       1.5682       1.4947       3.5963       0.7934       2.6119
     133       1.7138       1.4514       3.4707       0.6904       2.4319
     134       2.6140       1.5404       3.5105       0.8991       2.7097
     135       3.1280       1.3617       3.6273       1.2922       2.9972
     136       3.1191       1.5383       3.2153       0.7363       3.0621
     137       3.7847       1.5436       3.0790       0.7984       2.7220
     138       2.4307       1.5448       3.5281       0.7122       2.2777
     139       2.6973       1.6219       3.5007       0.8811       2.6545
     140       3.6644       1.4509       3.6792       0.7172       2.8370
     141       3.2769       1.4514       3.4826       0.9245       2.4963
     142       4.1558       1.4034       3.7228       1.0501       2.7573
     143       4.6671       1.4222       3.4913       0.9447       2.9398
     144       4.2615       1.5518       3.6108       0.9622       2.8536
     145       3.7331       1.7396       3.4555       1.0636       2.9078
     146       2.6870       1.3987       3.4371       0.8644       2.5512
     147       3.4095       1.6267       2.7240       1.1391       2.9225
     148       3.0559       1.4345       3.3542       1.2187       2.8549
     149       3.5706       1.5041       3.5774       0.7997       2.5906
     150       3.5872       1.4226       3.4140       0.8770       2.4720
     151       3.5821       1.4412       3.6925       0.9223       2.7377
     152       4.1797       1.4504       4.1577       0.7801       2.8608
     153       4.4451       1.6288       3.8140       0.9543       3.1153
     154       4.2166       1.6042       3.7166       0.6866       3.2442
