#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker
       1       0.0000       0.0000       0.0000       0.0000       0.0000
       2       1.4736       0.1882       0.8494       0.8543       0.8168
       3       1.6063       0.2016       0.9136       1.0001       1.0443
       4       1.6799       0.1822       0.8916       0.9167       0.8638
       5       1.6933       0.1842       0.8149       0.9844       0.9327
       6       1.6981       0.1847       0.9709       1.0532       1.0383
       7       1.6988       0.2915       0.9881       0.9667       1.0010
       8       1.6591       0.3247       0.9273       1.1003       1.1428
       9       1.6284       0.3439       1.0058       1.0295       1.1216
      10       1.6439       0.3006       0.9138       0.9800       0.8695
      11       1.7052       0.3139       0.9480       0.8761       0.8742
      12       1.4051       1.3835       1.5256       0.6134       0.4315
      13       1.4321       1.1092       1.8816       0.7779       1.2967
      14       1.3178       1.0763       1.8200       0.6741       0.7593
      15       1.4100       1.2028       2.0023       0.6402       0.8800
      16       1.5038       1.2710       1.3025       0.5125       0.5822
      17       1.3308       1.0755       0.6920       0.5039       0.1948
      18       2.0365       1.3559       0.7428       0.4144       0.5605
      19       1.8158       1.1302       0.4632       0.4220       0.3038
      20       1.2323       1.2141       0.9001       0.5532       0.7741
      21       1.5412       1.1235       0.6035       0.2820       0.2609
      22       1.4559       1.5140       0.7272       0.3661       0.5165
      23       1.4343       1.4671       0.4322       0.4365       0.4211
      24       1.3534       1.3176       0.4673       0.4067       0.1231
      25       1.9224       1.4893       0.8698       0.7447       0.5228
      26       1.7221       1.5508       0.7685       0.5458       0.5268
      27       1.3780       1.2117       0.6126       0.7693       0.8190
      28       1.4440       1.0460       0.6296       0.6331       0.5024
      29       1.7187       1.1313       0.6776       0.6101       0.3941
      30       2.2076       1.3675       0.5094       0.5384       0.2902
      31       1.8350       1.4905       0.5642       0.5767       0.5345
      32       2.7184       1.3382       0.4662       0.6189       0.7274
      33       2.8928       1.0950       0.8072       0.6478       1.0540
      34       2.8135       0.9454       0.7868       0.4347       0.4855
      35       2.7131       1.0621       0.8188       0.7439       1.1956
      36       3.7387       1.1155       1.5419       0.6599       0.9688
      37       4.6325       1.3927       1.2528       0.7308       1.0229
      38       3.9376       1.1279       1.2632       0.7215       0.9013
      39       4.2319       1.1785       1.4594       0.9878       1.2228
      40       4.7716       1.2929       0.8438       0.5426       0.5384
      41       5.1372       1.1504       0.8768       0.7347       0.9517
      42       4.7475       1.2129       0.8455       0.4253       0.4691
      43       3.9487       1.5700       1.6374       0.6329       1.0108
      44       4.6414       1.5977       0.9175       0.3554       0.7731
      45       3.8061       1.4261       2.0368       0.4286       1.0347
      46       5.5866       1.4687       1.0492       0.5812       0.7065
      47       5.4124       1.7003       1.1776       0.7769       0.7990
      48       5.0690       1.6669       0.8280       0.7377       0.9279
      49       4.9827       1.7209       0.9069       0.6163       0.5724
      50       5.5247       1.7868       1.1591       0.2675       0.4902
      51       4.8082       1.8398       1.1111       0.7162       1.0684
      52       4.9734       1.9600       0.8071       0.4545       0.9870
      53       5.7708       1.4760       1.0493       0.4918       0.4585
      54       5.8695       1.5158       1.8258       0.6831       1.5751
      55       5.0162       1.6132       1.1957       0.6981       1.1588
      56       5.0161       1.7402       1.3412       0.9505       1.2762
      57       4.0297       1.4899       1.0746       0.4427       0.6167
      58       3.7909       1.7927       1.0627       0.6857       1.0987
      59       3.5569       1.8550       0.5823       0.5908       0.5002
      60       3.3389       1.5174       1.1648       0.5115       0.4475
      61       3.8391       1.5952       1.4558       1.1437       1.0495
      62       3.6350       1.5676       1.0460       0.8200       1.0577
      63       3.4428       1.7737       2.1116       0.7982       0.9719
      64       3.7506       1.6830       1.5757       1.0936       0.9728
      65       3.7839       1.5948       2.0545       0.5714       1.2761
      66       3.4627       1.6671       1.2628       0.8023       0.6607
      67       3.8544       1.7100       2.1496       0.6572       0.9165
      68       3.4506       1.6011       1.6806       1.1344       0.7597
      69       3.1925       1.4460       1.8585       0.4683       0.4352
      70       3.2489       1.9516       2.0932       0.7398       0.8371
      71       2.8826       1.5889       2.3616       0.2854       0.7040
      72       3.4451       1.6726       1.5970       0.6776       1.0620
      73       3.7534       1.7561       2.1450       0.5893       0.7993
      74       3.5188       1.6561       1.8360       0.4923       0.8401
      75       3.8475       1.5527       2.1932       1.0047       1.1448
      76       3.5631       1.6187       1.8984       0.7199       0.8272
      77       2.8205       1.4517       2.0084       0.9283       0.7022
      78       3.4471       1.7327       1.5338       0.6039       0.8381
      79       3.9019       1.5396       2.0001       0.6469       1.1956
      80       4.5687       1.6063       2.0372       0.3808       1.2046
      81       4.3456       1.5056       1.8240       1.1612       1.0217
      82       4.9662       1.4563       1.6995       0.3202       0.6934
      83       5.0455       1.6941       2.4680       0.7611       0.9762
      84       4.6645       1.7057       2.1805       0.6108       1.0570
      85       4.8191       1.4755       2.0844       1.0789       1.3725
      86       4.9680       1.7458       1.7797       0.8518       0.8326
      87       4.5624       1.7367       1.8832       0.7312       0.9228
      88       4.5820       1.8774       1.9081       1.0454       1.1574
      89       4.9280       1.8862       2.0380       0.7063       1.1522
      90       4.2894       2.0883       1.8832       0.7088       0.6123
      91       5.0358       2.3103       1.9202       0.8613       0.6441
      92       3.9920       1.6348       1.9222       0.8753       1.7474
      93       4.6757       1.7533       1.2743       0.8287       0.7981
      94       5.0106       1.9936       2.0927       0.8288       1.8466
      95       4.3042       1.8214       2.0752       0.7655       1.1587
      96       4.2681       1.8601       1.2588       0.9284       0.5920
      97       3.6537       1.7812       2.3730       0.7785       1.0384
      98       3.8034       1.8316       1.9248       0.4943       0.5380
      99       3.4896       1.7697       1.7594       0.5784       0.7728
     100       3.4635       1.7268       1.4654       0.5256       0.3721
     101       3.2023       1.7798       1.7239       0.9816       0.9677
     102       3.8490       1.5742       1.2059       0.7837       0.4274
     103       4.6099       1.7712       2.0073       1.3686       1.5569
     104       4.4515       1.9078       1.8880       1.3765       1.3527
     105       4.5703       1.8167       2.1867       1.0648       1.3207
     106       3.6621       1.7746       1.8481       1.2359       1.7363
     107       3.6796       1.6873       1.3444       0.7202       0.5298
     108       4.3154       1.7816       1.9229       0.6121       0.8256
     109       3.9723       1.8894       2.5181       1.0560       1.9240
     110       3.5449       1.8909       1.8335       0.5565       0.9082
     111       3.6275       1.7164       1.6169       0.6780       0.6138
     112       4.2038       1.8397       1.9852       0.5995       0.7629
     113       4.8613       1.9455       2.4065       0.6235       0.7630
