#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker
       1       0.0000       0.0000       0.0000       0.0000       0.0000
       2       1.5510       0.1753       1.1170       0.7049       0.9861
       3       1.7691       0.1831       1.1692       0.8692       1.1293
       4       1.7726       0.1874       1.2323       0.9330       1.0670
       5       1.7725       0.1899       1.2690       0.7674       1.1853
       6       1.8069       0.1735       1.2121       0.9340       1.0465
       7       1.9304       0.3276       1.4439       0.8904       1.2148
       8       1.8005       0.3062       1.3455       0.6915       1.0815
       9       1.8317       0.2926       1.4160       0.8613       1.2198
      10       1.8122       0.3201       1.3391       0.7656       0.9960
      11       1.8253       0.2825       1.4285       0.9024       1.1362
      12       1.7410       0.6456       1.7807       0.6985       1.1103
      13       2.0661       0.6793       2.1319       0.6736       1.5824
      14       2.3101       0.8227       2.2287       0.6405       1.5475
      15       2.1687       0.8336       2.2632       1.1049       1.7541
      16       2.0276       0.7749       2.2569       0.4493       1.3746
      17       2.0661       1.0777       1.7203       0.6560       1.1838
      18       2.6890       1.1694       1.6024       0.3035       0.5407
      19       1.9153       1.3186       0.9599       0.4095       0.5106
      20       2.2092       1.1301       1.0034       0.3880       0.5613
      21       1.6060       1.1769       0.9322       0.5445       0.8634
      22       1.6319       1.3014       1.1172       0.7488       0.6255
      23       1.8707       1.2063       0.7515       0.4015       0.5253
      24       2.0214       1.1694       0.9594       0.3539       0.4305
      25       2.6954       1.2424       1.1381       0.2812       0.4648
      26       1.8348       1.3466       1.1591       0.5143       0.6263
      27       2.0438       1.1295       0.7407       0.4774       0.4649
      28       2.3738       1.2956       1.2277       0.2633       0.4847
      29       1.4659       1.1555       0.6625       0.4350       0.3605
      30       1.2669       1.2449       0.8632       0.4865       0.7721
      31       1.1227       1.2494       1.0635       0.3393       0.4338
      32       1.5371       1.3247       0.9953       0.3320       0.4826
      33       1.9952       1.2703       1.2815       0.3915       0.6619
      34       1.7198       1.2795       0.9946       0.3659       0.5901
      35       1.5769       1.2279       0.7893       0.4244       0.4100
      36       1.9186       1.3403       1.2743       0.7641       0.8742
      37       1.3450       1.2900       2.2466       0.3507       0.3702
      38       1.7830       1.4101       1.5531       0.2604       0.5640
      39       2.1730       1.4402       2.1445       0.4098       0.4441
      40       2.0865       1.4284       1.4271       0.6210       0.5789
      41       1.8292       1.4457       1.5360       0.3300       0.6531
      42       2.0918       1.3278       1.8142       0.7724       0.9020
      43       1.9506       1.5557       1.7820       0.5252       0.6721
      44       1.6699       1.3219       2.2157       0.5783       0.4914
      45       2.2241       1.2545       1.7148       0.3991       0.3747
      46       3.0200       1.2950       1.3318       0.4056       0.3987
      47       3.2092       1.3427       1.8936       0.3397       0.3381
      48       2.8264       1.3212       1.7691       0.3877       0.6559
      49       2.4137       1.4675       1.4153       0.3910       0.5049
      50       2.0475       1.4250       1.7096       0.3663       0.5101
      51       1.6276       1.4200       1.4877       0.5426       0.4506
      52       3.3171       1.4352       2.3477       0.5756       0.6222
      53       2.3513       1.3348       1.9033       0.5645       0.8074
      54       1.4448       1.3772       1.8408       0.5133       0.8380
      55       2.0250       1.4547       2.0797       0.3737       0.4987
      56       1.6372       1.3044       2.7524       0.4553       0.7247
      57       1.3154       1.1755       3.3031       0.4270       0.4612
      58       1.2739       1.1915       2.3966       0.5382       0.8026
      59       1.4323       1.2982       2.9329       0.4101       0.5593
      60       1.7519       1.4840       2.7901       0.2528       0.5168
      61       1.5954       1.5691       2.8256       0.3343       0.4018
      62       1.5939       1.4987       2.8343       0.4133       0.4033
      63       1.4988       1.2768       2.4482       0.3667       0.5960
      64       1.5713       1.4103       2.2689       0.3634       0.6193
      65       1.6691       1.3215       1.8732       0.6253       0.6979
      66       1.9782       1.7426       1.4696       0.3728       0.4933
      67       2.3751       1.4840       2.1273       0.5509       0.7052
      68       2.1871       1.4971       2.1697       0.3640       0.5574
      69       2.3969       1.4986       1.7493       0.1765       0.3735
      70       2.5135       1.5755       1.8691       0.2462       0.3012
      71       2.4592       1.6574       1.4868       0.2852       0.4050
      72       1.8922       1.6629       2.3380       0.6376       0.4082
      73       2.5686       1.8666       2.9774       0.3945       0.4873
      74       1.4589       1.5036       2.8647       0.3751       0.5681
      75       2.0224       1.5167       2.4095       0.2117       0.3949
      76       1.3965       1.3366       2.5804       0.2255       0.3100
      77       1.8108       1.5956       2.4756       0.5476       0.9064
      78       1.4941       1.7252       1.6465       0.3553       0.4299
      79       1.8321       1.6687       1.7833       0.4628       0.9283
      80       2.7925       1.6202       2.7864       0.5347       0.9166
      81       2.0650       1.7722       3.0574       0.5334       0.7420
      82       1.6771       1.8862       2.9217       0.4303       0.3755
      83       2.0860       1.6684       2.7010       0.6678       0.8942
      84       1.1468       1.6832       2.7043       0.6322       0.4294
      85       1.4497       2.0033       2.3416       0.4846       0.5861
      86       1.6912       1.6983       2.2788       0.6971       0.5256
      87       1.5738       1.8367       1.6432       0.4533       0.4102
      88       2.1711       1.8555       2.8478       0.5286       0.5853
      89       2.7467       1.6143       2.7961       0.6172       0.8599
      90       2.3993       1.5130       2.5975       0.6283       0.8859
      91       1.9609       1.5242       2.9554       0.6202       0.9748
      92       2.8630       1.6440       2.9960       0.4925       1.2079
      93       2.3293       1.7798       2.2458       0.5842       0.5733
      94       2.8805       1.9215       2.5214       0.5831       0.8908
      95       2.1402       1.8963       2.3037       0.5107       0.7890
      96       2.8211       1.8506       3.1960       0.6162       0.9970
      97       2.8128       1.6028       3.1097       0.6436       0.9129
      98       2.6167       1.8409       3.0129       0.3426       0.9349
      99       3.5515       1.4824       3.0509       0.5626       1.3759
     100       2.1702       1.6624       1.8523       0.5734       0.5983
     101       2.7914       1.5251       2.0583       0.3509       0.4903
     102       2.6881       1.5020       2.4432       0.6456       1.1769
     103       2.3045       1.5918       1.7983       0.3040       0.4702
     104       2.2692       1.6238       2.6908       0.4397       0.7298
     105       1.5070       1.8709       2.8265       0.5197       0.7478
     106       2.9907       1.5456       3.1856       0.6363       1.0741
     107       1.6714       2.1837       1.6086       0.5472       0.5083
     108       1.8168       1.9140       2.3909       0.4508       0.7892
     109       1.3327       1.6910       2.0526       0.7224       0.2542
     110       1.9231       1.6642       2.5072       0.3510       0.4493
     111       2.6518       2.0740       2.4488       0.5285       0.8748
     112       2.9896       1.6918       2.3703       0.5411       0.7210
     113       2.4188       1.9040       2.9224       0.3991       0.5981
     114       2.8433       1.7751       2.3529       0.4538       0.6075
     115       1.8944       2.0920       1.5699       0.4417       0.4925
     116       2.2678       1.8863       2.0272       0.4623       0.6645
     117       1.9759       1.9534       2.2362       0.3423       0.8676
     118       2.7930       1.8717       3.0050       0.3831       1.2393
     119       1.8720       1.7303       2.9531       0.5223       0.2545
     120       1.5194       1.8411       2.4551       0.5430       0.9340
     121       2.3590       1.7186       2.4404       0.4591       0.7501
     122       2.0014       1.6765       2.0864       0.4667       0.5756
     123       2.2248       1.9213       2.7399       0.3224       0.7374
     124       2.3683       1.5059       3.0883       0.4206       0.6315
     125       2.2118       1.6259       2.8655       0.4452       0.8499
     126       1.4629       1.6484       2.5892       0.4045       0.8601
     127       2.7155       1.7891       2.6310       0.3194       0.8662
     128       2.8367       1.6617       3.1898       0.3101       0.9187
     129       2.1192       1.5413       2.5089       0.3787       1.0160
     130       2.5864       1.6327       2.3574       0.4382       0.2530
     131       1.8868       1.6257       1.8586       0.5549       0.3484
     132       1.8327       1.8539       2.8718       0.3551       0.5833
     133       1.3030       1.6975       2.7794       0.9340       0.9324
     134       1.5558       1.5232       2.4104       0.3515       0.5493
     135       2.0735       1.4436       2.1527       0.5847       0.6763
     136       1.4936       1.8852       2.1852       0.3226       0.7948
     137       1.3643       1.6272       2.4808       0.3651       0.4835
     138       1.7986       1.6852       1.4965       0.3544       0.2782
     139       3.0157       1.8262       2.6071       0.3348       0.4580
     140       1.3710       1.6159       2.3250       0.8189       0.3666
     141       1.7149       1.7253       3.0472       0.6573       0.9468
     142       2.0403       1.6797       2.5053       0.3959       0.4352
     143       1.4859       1.4119       2.7751       0.5564       0.5545
     144       2.3325       1.6433       2.7172       0.3753       0.4118
     145       1.8693       1.5322       2.2647       0.4382       0.6833
     146       2.1515       1.6099       2.2284       0.5128       0.5502
     147       2.0552       1.4514       2.2172       0.5779       0.5636
     148       2.1389       1.6637       2.4454       0.5058       0.6353
     149       2.4359       1.6288       2.6634       0.6285       0.8332
     150       2.6230       1.6501       2.3257       0.3806       0.3059
     151       2.1488       1.7236       2.4842       0.7025       0.5443
     152       2.1022       1.8449       2.2214       0.5359       0.4020
     153       2.8930       1.8678       2.8067       0.6748       0.7731
     154       3.2076       1.7673       1.5187       0.5725       0.9670
     155       3.0154       1.8953       2.9079       0.8685       1.0167
     156       2.0271       2.0669       2.3877       0.3022       0.5457
     157       2.2491       1.9786       3.7701       0.4378       0.7559
     158       2.9056       2.1473       3.9724       0.4519       0.4064
     159       2.8022       2.1785       3.5349       0.5422       0.6082
     160       3.5720       2.0649       3.3192       0.4315       0.5064
     161       3.0783       1.7642       2.6292       0.3711       0.8026
     162       2.6226       1.8304       2.1863       0.6481       0.9244
     163       3.9194       2.0929       2.8924       0.3725       0.7605
     164       2.6693       1.9648       3.0459       0.9817       1.0478
     165       3.0851       2.0279       3.1081       0.4142       1.0398
     166       3.4070       2.2053       3.0818       0.9624       1.1978
     167       4.1318       1.9445       2.5463       0.3872       0.5237
     168       2.9875       1.8586       2.7001       0.9538       1.2254
     169       2.6695       1.8570       2.9243       0.9986       0.7981
     170       2.9528       1.6909       2.9655       0.5619       0.6270
     171       3.3842       1.9614       3.2441       0.8388       0.8809
     172       3.7671       1.7121       5.2712       0.9249       1.0748
     173       3.5175       1.6779       6.5771       0.9774       1.0117
     174       3.0315       1.6326       4.2158       0.5236       0.6641
     175       3.1640       1.6767       3.1738       0.4597       0.4774
     176       2.0057       1.5386       5.1064       0.6361       0.3076
     177       2.2319       1.7382       5.3502       0.4133       0.6776
     178       2.9187       1.7457       6.2500       1.0121       1.8677
     179       2.9799       1.8154       4.2958       0.2654       0.4193
     180       2.9514       2.0156       4.8362       0.7145       0.8309
     181       2.8776       1.9209       4.2888       0.6470       0.5032
     182       4.4346       1.8376       5.3244       0.7522       1.3735
     183       3.3955       1.7282       5.4709       0.4298       0.4520
     184       2.9629       2.0126       4.8095       0.5789       0.4122
     185       2.8158       1.9381       3.4044       0.6080       0.4155
     186       3.5131       1.8065       5.7889       0.3665       0.4456
     187       3.0313       2.0744       4.6295       0.6938       0.7517
     188       1.9632       1.9296       3.4462       0.6883       0.5989
     189       1.9255       1.9821       3.2034       0.6540       0.7974
     190       1.6749       2.0775       4.2554       0.5751       0.5988
     191       1.3268       1.9708       5.0932       0.5012       0.5007
     192       1.3396       1.9732       3.9472       0.3168       0.2103
     193       2.0047       1.9448       5.5195       0.5134       0.3670
     194       1.9868       2.1878       4.1797       0.5603       0.3195
     195       1.8878       2.0619       4.7402       0.7975       0.4587
     196       1.8801       1.9348       5.6691       0.4073       0.4062
     197       2.2311       2.2901       4.9806       0.6045       0.5746
     198       2.8131       2.2443       3.9487       0.5451       0.3871
     199       3.1745       2.1126       3.7393       0.4562       0.8525
     200       3.4185       2.3961       5.1339       0.6320       0.8425
     201       2.0320       2.3318       5.4675       0.4828       0.9728
     202       1.9290       2.0136       4.9066       0.5686       0.6131
     203       2.0920       2.0977       5.8772       0.2859       1.0306
     204       3.1330       1.9753       6.4329       0.2636       0.6494
     205       3.3670       1.8108       7.0315       0.6083       1.2929
     206       3.8895       1.9992       6.3827       0.4246       1.1829
     207       3.5614       2.0582       5.7361       0.5594       1.0221
     208       4.5107       1.7292       7.8155       0.4258       0.7125
     209       2.7779       1.9529       6.4324       0.5378       0.6103
     210       3.8531       1.7373       6.7012       0.5690       0.7274
     211       3.6356       1.6745       5.9054       0.6790       0.5750
     212       4.1067       1.5897       6.6248       0.2877       0.9290
     213       3.7089       1.9450       6.1671       0.5782       0.5503
     214       2.3490       1.8983       3.6143       0.6040       0.6593
     215       3.0854       1.6508       3.1140       0.5191       0.7192
     216       2.5139       1.8481       2.4745       0.4535       0.4269
     217       2.4882       1.8956       2.7093       0.5758       0.4972
     218       2.8864       1.8530       4.1774       0.4890       0.8642
     219       3.4663       1.7452       4.5168       0.4441       0.5522
     220       2.6175       1.9774       5.9486       0.4309       0.9640
     221       3.2973       2.0567       6.1357       0.4680       0.8795
     222       1.8804       2.1924       4.6599       0.3714       0.5865
     223       3.7285       1.9698       6.1031       0.6267       0.9414
     224       3.5344       2.0562       7.2698       0.6363       0.5918
     225       2.3642       2.1558       4.7879       0.4762       0.4754
     226       2.7770       2.3097       5.9630       0.4120       0.5551
     227       2.6572       2.3967       5.5573       0.2863       0.6675
     228       2.3475       2.0791       4.9191       0.4586       0.6107
     229       2.9160       2.2735       6.8705       0.4733       0.6067
     230       1.6250       2.1978       4.9462       0.3084       0.5989
     231       2.5468       2.1012       5.8898       0.1905       0.7725
     232       4.0700       2.2139       6.3497       0.4278       0.6108
     233       3.5562       2.0787       6.1757       0.7267       0.5167
     234       3.3276       2.0796       5.3767       0.3753       0.5034
     235       3.3924       2.2182       4.3477       0.2591       0.4505
     236       3.2094       2.0987       4.9061       0.2538       0.7938
     237       2.1347       1.8938       3.9638       0.4124       0.2975
     238       2.9343       1.8090       3.4472       0.3635       0.4275
     239       2.6898       2.0233       2.9030       0.4608       0.4888
     240       1.7682       1.8333       2.1616       0.2465       0.5553
     241       1.3004       2.1873       1.6610       0.2759       0.4176
     242       1.3019       2.0330       2.6133       0.3865       0.6780
     243       2.4383       2.0367       3.3281       0.6261       0.9459
     244       2.0078       2.0692       2.9789       0.5147       1.0856
     245       1.9497       1.7368       2.8501       0.5215       0.7394
     246       1.9913       2.0512       3.4104       0.3400       0.5638
     247       1.9173       2.4098       4.0028       0.2978       0.6351
     248       2.6722       2.4527       3.3928       0.6692       0.4313
     249       2.7354       2.2141       4.3876       0.4838       0.2673
     250       3.6362       2.1010       4.6215       0.4561       0.7492
     251       2.9523       1.9274       3.9422       0.5475       0.8872
     252       3.1653       2.1041       3.5789       0.3769       0.9635
     253       4.1508       2.5249       4.8028       0.4765       0.6605
     254       4.0237       2.0755       4.2793       0.4087       0.7801
     255       2.9725       2.4033       3.6059       0.6242       0.8099
     256       1.8206       2.5085       4.2876       0.2871       0.4931
     257       2.2072       2.3652       2.5320       0.3780       0.4766
     258       2.2353       2.3088       2.9554       0.8850       1.0676
     259       2.8594       2.2928       3.9256       0.3824       0.5332
     260       1.2362       2.1243       5.2786       0.5129       1.0521
     261       1.6059       2.8825       5.4264       0.1838       0.6131
     262       1.5764       2.3624       4.4198       0.3371       0.4381
     263       2.6234       2.6428       6.7394       0.5530       0.8498
     264       1.4042       2.7547       2.8716       0.3223       0.6388
     265       1.4117       2.3202       4.6504       0.5994       0.8147
     266       1.6604       2.4755       3.4654       0.3021       0.7802
     267       2.3266       2.1902       3.5223       0.3340       0.7371
     268       1.9167       1.9641       3.2197       0.5769       0.8296
     269       1.4930       2.1400       1.9482       0.2719       0.4563
     270       1.4031       2.3482       1.4645       0.5251       0.5574
     271       2.1174       2.4681       1.9929       0.4136       0.6590
     272       2.3541       2.0070       2.2572       0.4671       0.8456
     273       2.2663       2.3477       2.6997       0.6331       0.9270
     274       2.2753       2.6899       1.9066       0.5375       0.5276
     275       1.8480       2.5949       3.7288       0.5502       0.9401
     276       1.3467       2.2758       3.2698       0.6249       0.9436
     277       1.2207       2.0556       2.6725       0.4590       0.7262
     278       2.0455       2.1383       3.2262       0.6582       0.7487
     279       2.0053       2.5288       3.0038       0.4676       0.5736
     280       2.8310       2.3397       3.1060       0.4396       0.3372
     281       1.9960       2.3308       3.7477       0.6425       0.8661
     282       1.8584       1.9923       3.6714       0.4408       0.7605
     283       2.9209       2.1763       3.2378       0.8014       1.0243
     284       1.5163       2.2697       3.8770       0.6316       0.9905
     285       1.8814       2.6929       1.6845       0.3487       0.5623
     286       2.9911       2.5838       3.1385       0.4966       0.9750
     287       3.3390       2.1665       2.2677       0.5008       0.8389
     288       3.1899       2.9055       3.4512       0.2929       0.3894
     289       3.8715       2.5154       2.8608       0.5107       0.7399
     290       3.9649       2.4351       3.1923       0.4040       0.3986
     291       3.6694       2.2870       3.0934       0.3668       0.4553
     292       2.6464       2.5200       3.4179       0.3837       0.6271
     293       3.3271       2.4254       2.7911       0.4073       0.3757
     294       4.7746       2.5816       2.6653       0.7831       1.3074
     295       4.2035       2.9111       3.3532       0.3373       0.3634
     296       6.1036       3.3412       4.4419       0.3652       0.9198
     297       4.5860       3.0579       1.7267       0.3561       0.6371
     298       6.4756       2.7616       3.4879       0.4482       0.8198
     299       5.8044       2.4732       2.7359       0.4414       0.6774
     300       4.9506       3.1402       3.2115       0.5846       1.1138
     301       3.5763       2.9739       1.7795       0.6576       0.8303
     302       4.4634       3.0661       3.1223       0.4709       0.9276
     303       3.6586       2.1240       1.7002       0.3868       0.4771
     304       3.9990       2.9729       1.8525       0.3208       0.4983
     305       5.3657       2.7183       2.6886       0.7186       1.3643
     306       4.8555       2.4961       2.6925       0.4779       0.7295
     307       3.2930       2.6280       2.0590       0.4420       0.9087
     308       3.7571       2.7757       2.3160       0.3095       0.7865
     309       5.8614       2.4381       3.6302       0.6266       1.3486
     310       3.7569       2.5897       1.4802       0.4627       0.6022
     311       5.1856       2.9084       4.5817       0.6138       1.0558
     312       4.5975       3.3893       4.8364       0.3343       0.5292
     313       6.7014       3.1148       5.8838       0.5300       0.7733
     314       6.7195       3.3440       4.4220       0.4919       0.8718
     315       6.4690       2.9837       4.6057       0.3664       0.8698
     316       5.8574       2.6573       6.0235       0.5737       0.8726
     317       5.7091       2.5715       5.4479       0.6451       0.7616
     318       4.7370       2.9441       4.7976       0.4477       0.6857
     319       6.3777       2.6343       6.5408       0.5523       1.4162
     320       5.2251       2.7242       5.4318       0.8797       0.8644
     321       5.4557       3.1526       5.8421       0.6676       0.8252
     322       5.1229       2.6262       6.2182       0.5103       0.5229
     323       6.5710       2.3067       7.4910       0.6120       1.0520
     324       7.2154       2.4875       7.1012       0.7750       1.4826
     325       6.0365       2.5488       6.5851       0.5954       1.1582
     326       6.6947       3.1916       6.4611       0.4355       1.0453
     327       5.3556       2.4898       6.4200       0.6621       0.9503
     328       7.2288       3.0064       5.0341       0.5773       1.1452
     329       5.1023       2.7466       5.8712       0.6432       0.6123
     330       5.9174       2.3781       6.5198       0.4629       1.1223
