#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker
       1       0.0000       0.0000       0.0000       0.0000       0.0000
       2       1.4873       0.1769       0.7301       0.7065       0.7676
       3       1.6193       0.1821       0.8297       0.7571       0.8636
       4       1.7043       0.1842       0.8235       0.8298       0.9752
       5       1.6620       0.1961       0.7891       0.8175       0.9415
       6       1.7201       0.1903       0.8746       0.8429       0.9652
       7       1.7239       0.3032       0.8366       0.6888       0.7084
       8       1.6693       0.3338       0.8741       0.8793       1.0237
       9       1.7524       0.2876       0.8415       0.6035       0.7567
      10       1.6373       0.3306       0.7598       0.5591       0.7336
      11       1.7038       0.3177       0.7290       0.8871       0.8712
      12       1.1634       0.7676       0.9159       0.5896       1.4933
      13       1.2737       0.7543       0.8143       0.4311       1.0519
      14       1.2131       0.8677       0.8322       0.6171       1.3498
      15       1.2834       0.9108       0.9460       0.2954       0.7579
      16       1.4360       0.8988       1.5372       0.6183       2.4407
      17       1.0344       0.8708       0.6745       0.5496       1.5619
      18       1.8698       0.9037       1.3415       0.3796       0.5159
      19       1.4374       1.0849       0.9364       0.6602       0.8771
      20       1.8048       0.9760       1.0673       0.3206       0.6533
      21       1.5813       1.1080       0.6376       0.3340       0.4555
      22       1.9789       1.1638       1.6182       0.6105       0.6913
      23       1.6542       1.2574       1.9068       0.5455       0.6866
      24       1.8954       1.5752       1.9273       0.7403       1.4225
      25       2.1634       1.6542       2.1784       0.6491       0.8616
      26       1.1038       1.3239       1.6508       0.4741       0.4230
      27       1.3877       1.4176       1.3241       0.5511       0.5941
      28       1.3470       1.3914       1.5758       0.3190       0.7405
      29       1.4911       1.3495       2.5496       0.4486       0.7344
      30       2.0034       1.1123       1.8262       0.2833       0.8229
      31       2.8934       1.2524       2.1652       0.4801       0.5891
      32       1.5500       1.5045       1.9428       0.5190       0.4218
      33       1.9431       1.2473       2.0770       0.3346       0.3998
      34       2.5564       1.3502       1.7225       0.4956       0.9461
      35       1.9225       1.2324       1.6566       0.2592       0.6894
      36       1.7594       1.3841       2.9055       0.5791       0.7677
      37       2.3220       1.3633       2.8467       0.4379       0.5403
      38       2.2102       1.2356       2.4746       0.3401       0.7429
      39       1.1615       1.1877       1.8613       0.4407       0.2555
      40       1.6681       1.2384       1.8868       0.6014       1.8989
      41       1.9091       1.2811       2.4847       0.3974       0.5508
      42       1.8974       1.5015       2.3334       0.5059       0.5370
      43       2.1052       1.6130       2.0449       0.5333       0.5379
      44       1.8020       1.5019       2.4705       0.4845       0.4995
      45       2.1222       1.4396       2.7394       0.4967       0.5182
      46       1.5848       1.4112       2.0054       0.3284       0.4892
      47       1.7631       1.6829       2.1619       0.4823       1.0169
      48       1.6680       1.5933       1.8677       0.3330       0.7638
      49       1.7075       1.4786       1.9851       0.4715       0.2238
      50       2.7772       1.4837       2.9175       0.3441       0.7675
      51       1.8890       1.7163       2.6059       0.8658       2.2539
      52       2.9208       1.8134       3.2826       1.1699       2.1005
      53       2.5833       1.7843       2.6848       0.9558       2.0552
      54       2.2815       1.5387       2.4332       0.7798       1.7862
      55       2.8788       1.5836       2.5275       0.8853       1.7048
      56       1.5492       1.6820       1.8043       0.9480       1.8723
      57       2.2562       1.6324       1.9626       0.9827       1.4403
      58       2.1538       1.4662       1.9951       0.8626       1.5654
      59       2.0736       1.5783       2.0203       0.9168       1.8828
      60       2.1040       1.4287       1.6951       1.1439       2.0519
