#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker
       1       0.0000       0.0000       0.0000       0.0000       0.0000
       2       1.5257       0.1879       0.7846       0.9286       0.9005
       3       1.6654       0.1880       0.9089       1.0776       0.9686
       4       1.7111       0.1918       0.8915       0.9650       0.9321
       5       1.7309       0.1891       0.8204       0.9830       0.9516
       6       1.7685       0.1931       0.9078       0.9870       0.9667
       7       1.7020       0.3299       1.0688       1.0442       1.0344
       8       1.7403       0.3021       0.7879       1.0052       0.8945
       9       1.7415       0.2910       0.9411       0.8757       0.9207
      10       1.7313       0.2968       0.8821       0.9976       1.0029
      11       1.6992       0.3011       0.9286       0.9463       1.0018
      12       1.6005       0.8955       1.3472       0.9204       0.9884
      13       1.6047       0.7414       1.3575       1.1770       1.6769
      14       1.5139       0.9553       2.1899       0.6888       1.2248
      15       1.4597       1.1214       1.9782       0.5548       0.7240
      16       1.7566       1.1283       2.1665       0.4971       0.8353
      17       1.1500       1.3102       1.1639       0.6063       0.6608
      18       1.6351       1.5429       1.2090       0.8671       0.8050
      19       1.6943       2.1736       0.6154       0.7653       0.6491
      20       1.5319       2.0144       0.5254       0.5629       0.3593
      21       1.1487       2.0839       0.9072       0.5726       1.1299
      22       1.8285       2.0682       1.1206       0.7588       0.9499
      23       1.8551       1.9947       0.8234       0.6470       0.6914
      24       2.1348       2.1146       0.9391       0.8880       0.8823
      25       1.7389       1.7934       0.7153       0.8015       0.6436
      26       1.7622       2.0842       0.5861       0.4206       0.4763
      27       2.1403       2.3930       0.9667       0.5465       0.4516
      28       1.7308       2.0372       0.7081       0.4990       0.1908
      29       1.0147       1.9724       0.7762       0.8065       0.3736
      30       1.4634       2.0025       1.1472       0.6081       0.6018
      31       1.2713       1.7550       0.7567       0.4526       0.6134
      32       1.7489       1.3540       2.1760       0.7650       0.7430
      33       1.5320       1.3850       2.0476       0.7240       0.8009
      34       1.4387       1.5628       2.3253       0.6608       0.7369
      35       2.1266       2.0780       2.1993       0.4038       0.3825
      36       1.9910       2.0334       1.7869       0.7292       0.7213
      37       1.2577       1.6465       0.8880       0.6862       0.8325
      38       3.0945       1.8263       1.1524       1.0743       1.2266
      39       1.9482       1.5904       1.9098       0.8323       0.9521
      40       2.4719       1.6529       0.9031       0.6487       0.5568
      41       2.3203       1.2893       1.0121       0.5487       0.5433
      42       1.8298       1.5066       0.7169       0.7647       0.7137
      43       1.7532       1.6931       0.9454       0.6646       0.6746
      44       1.9322       1.8078       0.6079       0.6086       0.6428
      45       2.3238       1.2468       0.6325       0.6694       0.6285
      46       2.5135       1.5104       0.8996       0.6046       0.7653
      47       2.5682       1.3325       0.6599       0.4989       0.4462
      48       3.1630       1.4379       0.8634       1.0665       0.9476
      49       2.9702       1.3311       0.6807       0.5093       0.3458
      50       2.2787       1.4291       1.0787       0.9397       1.0633
      51       2.1889       1.3872       1.4266       0.5477       0.2636
      52       2.3883       1.1373       0.8741       0.5388       0.7730
      53       2.9788       1.2738       0.9508       0.8077       0.8681
      54       2.4350       1.2052       0.8219       0.8774       0.8818
      55       1.9718       1.4667       0.8274       0.7787       0.5232
      56       2.3410       1.7141       0.4745       0.3839       0.4247
      57       3.1807       1.5186       0.9161       0.6550       0.9873
      58       2.5099       1.4744       0.5440       0.3820       0.4285
      59       2.0099       1.4954       2.0540       0.5263       0.2249
      60       1.6457       1.4298       0.5960       0.6547       0.6585
      61       1.8716       1.5801       0.5492       0.4558       0.3759
      62       1.8320       2.2722       0.6021       0.4878       0.5352
      63       2.0971       1.7272       1.0539       0.6894       1.1452
      64       2.1341       2.0235       0.5588       0.4239       0.2839
      65       2.6566       2.4776       1.2111       0.6755       0.6232
      66       2.0451       2.2203       0.8445       0.6880       0.5168
      67       2.0768       2.2718       0.7801       0.4672       0.2409
      68       2.5175       1.7598       1.8730       0.9291       1.0365
      69       2.5147       1.5823       0.4574       0.4827       0.4830
