#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker
       1       0.0000       0.0000       0.0000       0.0000       0.0000,       1       0.0000       0.0000       0.0000       0.0000       0.0000,       1       0.0000       0.0000       0.0000       0.0000       0.0000,       1       0.0000       0.0000       0.0000       0.0000       0.0000,       1       0.0000       0.0000       0.0000       0.0000       0.0000,       1       0.0000       0.0000       0.0000       0.0000       0.0000,       1       0.0000       0.0000       0.0000       0.0000       0.0000,       1       0.0000       0.0000       0.0000       0.0000       0.0000,       1       0.0000       0.0000       0.0000       0.0000       0.0000,       1       0.0000       0.0000       0.0000       0.0000       0.0000
       2       1.6135       0.1754       1.1962       0.6844       1.0099,       2       1.5784       0.1787       1.0850       0.8596       0.9764,       2       1.5510       0.1753       1.1170       0.7049       0.9861,       2       1.6063       0.1777       1.1235       0.8303       0.9781,       2       1.6264       0.1674       1.0850       0.8548       1.0183,       2       1.5882       0.1864       1.1088       0.8839       1.0635,       2       1.6843       0.1846       1.1659       0.9410       1.0942,       2       1.6355       0.1940       1.1267       0.8039       1.0352,       2       1.6059       0.1744       1.1227       0.8215       0.9296,       2       1.6100       0.1878       1.1811       0.8802       1.0975
       3       1.7985       0.1767       1.2524       0.8642       1.1275,       3       1.7445       0.1712       1.1358       0.8668       1.0026,       3       1.7691       0.1831       1.1692       0.8692       1.1293,       3       1.7532       0.1795       1.2115       0.8627       1.0967,       3       1.8075       0.1853       1.2205       0.9084       1.1404,       3       1.6764       0.1833       1.1890       0.8319       1.0843,       3       1.7807       0.1728       1.2148       0.9025       1.1308,       3       1.7081       0.1775       1.1799       0.7923       1.0749,       3       1.6753       0.1844       1.1884       0.8978       1.1226,       3       1.7621       0.1756       1.1585       0.8289       1.0815
       4       1.7943       0.1692       1.1859       0.8949       1.2112,       4       1.7661       0.1796       1.2509       0.8159       1.1312,       4       1.7726       0.1874       1.2323       0.9330       1.0670,       4       1.8203       0.1907       1.2359       0.8300       1.0537,       4       1.8328       0.1810       1.2672       0.9134       1.1518,       4       1.7302       0.1771       1.1573       0.9326       1.1181,       4       1.8069       0.1859       1.2446       0.8327       1.0971,       4       1.7666       0.1714       1.1441       0.8342       1.0518,       4       1.7850       0.1722       1.1085       0.8716       1.0367,       4       1.7858       0.1752       1.2331       0.9449       1.1738
       5       1.8320       0.1813       1.1753       0.8085       1.0482,       5       1.8363       0.1786       1.2246       0.8498       1.1053,       5       1.7725       0.1899       1.2690       0.7674       1.1853,       5       1.8421       0.1845       1.2018       0.9695       1.1827,       5       1.8448       0.1788       1.3324       0.9030       1.2034,       5       1.7805       0.1728       1.2367       0.9140       1.1708,       5       1.8522       0.1801       1.2437       0.9389       1.1320,       5       1.7804       0.1756       1.1647       0.8273       1.1221,       5       1.8503       0.1801       1.3263       0.9300       1.1969,       5       1.8418       0.1794       1.1982       0.8599       1.1951
       6       1.8503       0.1747       1.1708       0.9703       1.1591,       6       1.8793       0.1798       1.2528       0.8542       1.2406,       6       1.8069       0.1735       1.2121       0.9340       1.0465,       6       1.8228       0.1854       1.2843       0.8361       1.0580,       6       1.8362       0.1814       1.3125       0.9260       1.1713,       6       1.8022       0.1702       1.2106       0.8231       1.0294,       6       1.8308       0.1788       1.3045       0.8277       1.1696,       6       1.8428       0.1682       1.2509       0.9082       1.2200,       6       1.8058       0.1798       1.2765       0.8456       1.1135,       6       1.8075       0.1796       1.2867       0.8342       1.0964
       7       1.9030       0.2882       1.4954       0.7886       1.1856,       7       1.8499       0.3083       1.3606       0.7960       1.1421,       7       1.9304       0.3276       1.4439       0.8904       1.2148,       7       1.9080       0.2925       1.5494       0.7612       1.2840,       7       1.8299       0.2808       1.4860       0.8911       1.3129,       7       1.7886       0.2984       1.2150       0.6737       1.0437,       7       1.7939       0.2819       1.6052       0.8602       1.2043,       7       1.8412       0.2750       1.4323       0.7906       1.1806,       7       1.8252       0.2883       1.4183       0.7941       1.1157,       7       1.8328       0.2782       1.6530       0.8052       1.1405
       8       1.8339       0.3087       1.4392       0.8660       1.1684,       8       1.8430       0.2877       1.2808       0.7080       1.2220,       8       1.8005       0.3062       1.3455       0.6915       1.0815,       8       1.9271       0.3064       1.5368       0.8130       1.1327,       8       1.8253       0.3122       1.5225       0.7628       1.1945,       8       1.8399       0.3060       1.4806       0.7989       1.1795,       8       1.7674       0.2791       1.4937       0.7406       1.1228,       8       1.8791       0.2909       1.7118       0.7696       1.2540,       8       1.7925       0.2818       1.2633       0.7847       1.0312,       8       1.8010       0.2963       1.5345       0.7007       1.1007
       9       1.9017       0.3072       1.2475       1.0506       1.4292,       9       1.8661       0.2880       1.5659       0.8443       1.2076,       9       1.8317       0.2926       1.4160       0.8613       1.2198,       9       1.8812       0.2878       1.5679       0.7889       1.1365,       9       1.7811       0.3031       1.5800       0.8337       1.1615,       9       1.7959       0.2742       1.3264       0.7801       1.0652,       9       1.7793       0.2946       1.4692       0.7828       1.1780,       9       1.8999       0.3127       1.7412       0.9136       1.4968,       9       1.8494       0.2924       1.3540       0.6143       1.1432,       9       1.8154       0.3189       1.5484       0.7255       1.1221
      10       1.8489       0.2859       1.4602       0.7261       1.1253,      10       1.8748       0.2776       1.4482       0.7759       1.1203,      10       1.8122       0.3201       1.3391       0.7656       0.9960,      10       1.8430       0.2944       1.4387       0.7371       1.2363,      10       1.8621       0.2840       1.6197       0.7925       1.2952,      10       1.8544       0.3120       1.4601       0.7047       1.0871,      10       1.8144       0.2747       1.4821       0.8516       1.2475,      10       1.8758       0.2731       1.5692       0.8551       1.3740,      10       1.8685       0.2838       1.3908       0.8659       1.2628,      10       1.8370       0.3038       1.5113       0.7112       1.2041
