#Frame           CRBN        GSPT1
     245       1.8636       4.3712
     246       1.9886       4.3709
     247       1.8116       4.1253
     248       1.7691       4.0576
     249       2.0482       3.9352
     250       2.1317       4.6739
     251       2.2754       3.5732
     252       2.1662       3.2872
     253       1.8595       3.9180
     254       1.9874       4.1145
     255       1.7366       3.7865
     256       1.9789       3.7152
     257       1.6604       4.0850
     258       1.6589       4.0681
     259       1.5308       4.0052
     260       1.5995       4.2726
     261       1.8283       4.6627
     262       1.6270       4.6882
     263       1.7298       4.7408
     264       1.8848       4.3376
     265       1.8299       4.3731
     266       1.9260       5.0040
     267       1.7812       3.9391
     268       1.6855       3.8583
     269       1.6780       3.1572
     270       1.7187       3.6945
     271       1.7240       3.2288
     272       1.6774       3.6839
     273       1.5999       4.5899
     274       1.6614       4.0361
     275       1.6626       3.9142
     276       1.7417       3.0376
     277       1.8924       3.2945
     278       1.5901       3.7442
     279       2.0116       4.0493
     280       1.9594       2.8544
     281       2.0893       3.3546
     282       2.0307       3.2849
     283       2.0382       3.4560
     284       1.9683       3.5453
     285       2.0640       3.7329
     286       1.9985       3.8760
     287       1.9870       3.9422
     288       2.0918       4.3030
     289       2.3261       4.5976
     290       2.0279       4.1842
     291       2.0809       3.7514
     292       2.1949       3.2315
     293       2.2081       2.7928
     294       2.0690       3.2110
     295       1.8789       3.7009
     296       1.8085       3.9567
     297       1.7325       3.1875
     298       2.0504       2.9430
     299       1.8741       3.2702
     300       1.9697       3.3183
     301       2.2174       3.1111
     302       1.8425       3.7976
     303       1.9067       4.2425
     304       1.8060       3.6110
     305       1.9631       4.1206
     306       2.0367       3.5365
     307       1.8605       3.9256
     308       2.2033       3.4303
     309       1.8872       3.7956
     310       1.9214       4.6705
     311       1.9331       3.8718
     312       2.2786       4.5582
     313       2.1201       3.0048
     314       2.2520       3.0311
     315       2.0072       3.5808
     316       2.1192       4.3419
     317       2.2041       3.7584
     318       2.0842       3.2243
     319       2.1663       3.3180
     320       2.0145       3.7376
     321       2.4223       4.7219
     322       2.0783       4.4784
     323       2.0041       3.7474
     324       2.1485       3.6977
     325       2.2172       3.5180
     326       2.1428       4.3326
     327       2.6310       3.7214
     328       2.4908       4.7863
     329       2.6377       4.3985
     330       2.3211       4.7316
     331       2.4723       4.1477
     332       2.3854       3.7292
     333       2.4636       4.2448
     334       3.0759       4.0527
     335       2.7981       4.1567
     336       2.5705       3.9145
     337       2.8010       3.8269
     338       2.6521       4.7038
     339       2.5147       4.3781
     340       2.2382       4.2476
     341       2.3193       4.5153
     342       2.2039       4.1949
     343       2.1774       4.8193
     344       2.0679       3.7602
     345       2.1911       5.2402
     346       2.1198       5.3002
     347       2.3168       5.1970
     348       2.0988       3.9471
     349       2.0352       4.3408
     350       2.3793       5.6150
     351       2.4786       3.8257
     352       2.2643       3.2839
     353       2.4887       3.2364
     354       2.7514       3.2667
     355       2.4459       2.9891
     356       2.8517       4.7155
     357       2.6879       4.7842
     358       2.7697       3.9695
     359       2.8422       3.3471
     360       2.4207       4.2063
     361       2.5486       3.7302
     362       2.6526       3.8700
     363       2.8059       3.9296
     364       2.3705       3.2222
     365       2.9545       4.8379
     366       2.5103       3.1554
     367       2.8220       4.3363
     368       2.9195       3.0184
     369       2.7398       4.1792
     370       2.9976       3.5695
     371       2.8449       3.8630
     372       3.0768       4.8251
     373       3.2094       4.2161
     374       2.7841       3.5130
     375       2.8528       3.7112
     376       3.1966       4.5418
     377       3.2570       3.9593
     378       3.0071       3.5918
     379       3.0662       3.4237
     380       3.3570       4.4613
     381       3.2476       3.7996
     382       2.8641       3.4790
     383       2.6250       3.9660
     384       2.8550       4.1638
     385       3.1927       3.5955
     386       3.1516       4.2076
     387       2.7686       4.6297
     388       2.2387       5.1028
     389       2.6090       4.2451
     390       2.4592       4.3669
     391       2.2076       2.9524
     392       2.3550       4.4362
     393       2.6947       4.2119
     394       2.5349       4.6470
     395       2.5332       5.2477
     396       3.0555       4.9073
     397       2.6326       4.8271
     398       2.7095       5.9528
     399       2.7537       5.7046
     400       2.3877       3.6395
     401       2.8077       3.3898
     402       2.5612       4.1388
     403       2.7022       3.2330
     404       2.5108       4.5443
     405       2.5909       4.0880
     406       2.9389       3.4222
     407       2.5875       4.0464
     408       2.7411       5.5807
     409       2.4032       4.9819
     410       2.5579       4.5297
     411       2.3723       5.8521
     412       2.5453       5.8065
     413       2.5833       5.1250
     414       2.9036       5.3604
     415       3.1747       6.2392
     416       3.3788       5.7891
     417       3.5349       7.8455
     418       3.4065       5.9440
     419       3.3776       4.8057
     420       3.1453       6.2835
     421       2.7167       5.2664
     422       2.5603       6.5948
     423       3.0728       7.3139
     424       3.1440       7.6233
     425       3.0051       8.0586
     426       3.0238       8.4139
     427       2.7942      10.8066
     428       2.7161      10.4665
     429       2.6953      10.8043
     430       2.6018      11.6575
     431       2.5684      11.1738
     432       2.8476      11.7427
     433       2.4950      10.5314
     434       2.7942      12.3444
     435       3.0407      13.1259
     436       2.4341      13.0535
     437       2.8171      11.8333
     438       2.6203      11.3448
     439       2.7086      14.3044
     440       2.7113      11.7028
     441       3.1783      12.1153
     442       3.5371      14.5326
     443       2.8472      13.0077
     444       3.2074      13.6432
     445       2.7964      11.6933
     446       2.6877      12.2955
     447       2.9198      10.2504
     448       2.4638       9.0764
     449       2.2531       9.5146
     450       2.8967      11.7126
     451       2.7280      10.1013
     452       2.8715      11.7291
     453       2.7762      10.5801
     454       2.6124       8.3151
     455       3.0582       7.9238
     456       2.5240       8.2440
     457       2.2798       8.8045
     458       2.3165       7.3479
     459       2.5622      10.9686
     460       2.8395      12.7932
     461       2.5138      10.8169
     462       2.8321      10.8582
     463       2.9388      12.2370
     464       2.8438      11.1035
     465       2.5097       9.3255
     466       2.7822       7.4780
     467       2.6824       6.9342
     468       2.5605       6.6001
     469       2.4152       8.2334
     470       2.9980       9.0020
     471       3.3445       9.3140
     472       3.0799       8.3587
     473       3.5296       9.8928
     474       2.8295       9.1995
     475       3.0210      10.0971
     476       3.7850      10.7450
     477       3.1215      11.8027
     478       3.6690      14.1334
     479       3.1932      12.8081
     480       3.1401      10.8703
     481       2.6381      11.5959
     482       2.5875      11.4866
     483       2.4914      11.8211
     484       2.7481      12.5245
     485       2.8165      14.1339
     486       3.1144      14.0716
     487       3.2047      14.0670
     488       3.4297      16.0729
     489       3.5460      14.1292
     490       3.2351      16.4951
     491       3.8483      17.2557
     492       3.3822      13.4165
     493       3.3645      13.3128
     494       2.8491      12.6609
     495       2.6182      11.6126
     496       2.8042      12.5538
     497       2.5973      13.0278
     498       3.6675      13.9412
     499       3.7124      12.1296
     500       3.1063      11.1888
     501       2.8747      12.4102
     502       3.0409      11.3290
     503       2.6389      11.9860
     504       2.5558      15.1079
     505       2.6022      14.9851
     506       2.1884      12.6493
     507       2.7968      10.5313
     508       2.5525       8.2937
     509       3.1856       9.7884
     510       3.0902      10.7104
     511       2.4142       9.3770
     512       2.2528       9.0992
     513       2.9965      11.1806
     514       2.9088      10.4340
     515       2.6282      11.3968
     516       2.6454      12.7028
