#Frame           CRBN        GSPT1
       1       0.0000       0.0000
       2       0.1826       1.4797
       3       0.1694       1.5795
       4       0.1733       1.6596
       5       0.1777       1.7050
       6       0.1774       1.6920
       7       0.3044       1.5891
       8       0.2875       1.6607
       9       0.2999       1.7382
      10       0.3468       1.6254
      11       0.3198       1.5992
      12       0.6452       1.5060
      13       0.7727       1.2695
      14       0.7487       1.3219
      15       0.8287       1.3828
      16       1.0087       1.2554
      17       1.1685       1.1087
      18       1.2344       1.0001
      19       1.1525       1.2745
      20       1.3468       1.4990
      21       1.4180       1.4991
      22       1.4702       2.1339
      23       1.6811       1.4607
      24       1.6494       1.9664
      25       1.3305       1.4317
      26       1.5631       1.2610
      27       1.6963       1.3158
      28       1.4925       2.0838
      29       1.6418       2.4161
      30       1.7549       2.3188
      31       1.8807       2.4679
      32       1.6786       2.5751
      33       2.0023       2.0874
      34       1.6442       3.0562
      35       1.5510       2.3898
      36       1.9844       2.0934
      37       1.7919       2.0179
      38       1.4463       1.9562
      39       1.5071       2.0700
      40       1.7479       1.7340
      41       1.6820       1.6563
      42       1.6468       1.1306
      43       1.7190       1.2894
      44       2.1383       1.2793
      45       1.7712       1.3123
      46       1.8236       1.7327
      47       1.7285       1.2655
      48       1.8603       2.0119
      49       1.7808       1.1718
      50       1.7787       2.0725
      51       2.0252       2.0158
      52       1.8229       1.4190
      53       1.6351       2.0405
      54       1.6812       2.2977
      55       1.9771       2.4054
      56       1.7746       1.6503
      57       1.8846       2.4011
      58       1.9528       2.3860
      59       1.9311       2.8834
      60       2.0255       3.1324
      61       2.1312       2.6595
      62       2.4054       2.4055
      63       1.9486       3.6370
      64       1.7704       3.5217
      65       1.9289       3.1364
      66       2.1108       2.6232
      67       2.1299       3.4820
      68       1.8723       2.7384
      69       1.9016       2.8946
      70       1.5099       3.0254
      71       1.6522       2.6709
      72       1.8219       3.5147
      73       1.8553       3.1284
      74       2.1774       3.0568
      75       2.1194       2.5107
      76       2.2741       2.6179
      77       2.2046       2.6746
      78       2.0853       3.0278
      79       2.0637       2.8566
      80       1.9107       2.8419
      81       2.3088       2.9542
      82       2.2377       2.6444
      83       2.2629       2.1659
      84       2.2099       2.7888
      85       2.2550       3.3135
      86       2.5843       2.5353
      87       2.2340       2.2938
