#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker
       1       0.0000       0.0000       0.0000       0.0000       0.0000,       1       0.0000       0.0000       0.0000       0.0000       0.0000,       1       0.0000       0.0000       0.0000       0.0000       0.0000,       1       0.0000       0.0000       0.0000       0.0000       0.0000,       1       0.0000       0.0000       0.0000       0.0000       0.0000,       1       0.0000       0.0000       0.0000       0.0000       0.0000,       1       0.0000       0.0000       0.0000       0.0000       0.0000,       1       0.0000       0.0000       0.0000       0.0000       0.0000,       1       0.0000       0.0000       0.0000       0.0000       0.0000,       1       0.0000       0.0000       0.0000       0.0000       0.0000
       2       1.6158       0.1880       0.8474       0.7499       0.7260,       2       1.5049       0.1864       0.8616       0.6777       0.6442,       2       1.6794       0.1793       0.9645       0.8100       0.7872,       2       1.6005       0.1778       0.8725       0.8018       0.8056,       2       1.4444       0.1758       0.7338       0.7069       0.7856,       2       1.5330       0.1907       0.8707       0.7746       0.7920,       2       1.5932       0.1898       0.8850       0.7896       0.7936,       2       1.6658       0.1700       0.9347       0.7692       0.7670,       2       1.5302       0.1847       0.8568       0.8328       0.7818,       2       1.4968       0.1791       0.8387       0.6618       0.7531
       3       1.7448       0.1736       0.9918       0.9043       0.8898,       3       1.7264       0.1816       0.9522       0.9197       0.8097,       3       1.7489       0.1865       0.9810       0.8201       0.9211,       3       1.7267       0.1876       0.9491       0.8784       0.8364,       3       1.7002       0.1825       0.9194       0.8924       0.8361,       3       1.6826       0.1850       0.9456       0.8564       0.8559,       3       1.7125       0.1831       0.8761       0.8562       0.8922,       3       1.7320       0.1927       0.9041       0.8838       0.7524,       3       1.7565       0.1930       0.8781       0.9316       0.8205,       3       1.6584       0.1869       0.9126       0.8204       0.7825
       4       1.7629       0.1857       0.8737       0.8208       0.8296,       4       1.7657       0.1834       0.9552       0.8610       0.8980,       4       1.8096       0.1897       1.0275       0.8870       0.8725,       4       1.7771       0.1648       0.8945       0.9812       0.8297,       4       1.7038       0.1844       0.9299       0.8775       0.9000,       4       1.7417       0.1855       0.9803       0.8692       0.7533,       4       1.6945       0.2063       0.9535       0.8265       0.7945,       4       1.7557       0.1792       0.9203       0.8927       0.8775,       4       1.7914       0.1763       0.9216       0.8970       0.8472,       4       1.7143       0.1978       0.8792       0.8725       0.8766
       5       1.7661       0.1854       0.9505       0.9083       0.8026,       5       1.7554       0.1851       0.9000       0.9285       0.8924,       5       1.7886       0.1824       0.9992       0.9424       0.9516,       5       1.7819       0.1780       0.9224       0.8594       0.9115,       5       1.7541       0.1782       0.8261       0.8956       0.8351,       5       1.7409       0.1881       0.9655       0.8829       0.8920,       5       1.7526       0.1825       0.9981       0.9321       0.8636,       5       1.7862       0.1782       1.1398       0.8356       0.9278,       5       1.8090       0.1856       1.0619       0.9147       0.8596,       5       1.7417       0.1853       0.9574       0.8354       0.8719
       6       1.8077       0.1823       0.9963       1.0003       0.8295,       6       1.7999       0.1664       0.9994       0.8717       0.8306,       6       1.8534       0.1851       1.0689       0.8852       0.9321,       6       1.7902       0.1812       0.9855       0.9080       0.9578,       6       1.7574       0.1879       0.9309       0.9155       0.8390,       6       1.7887       0.1964       0.8979       0.8921       0.8425,       6       1.7518       0.1769       0.9028       0.8804       0.7959,       6       1.7677       0.1868       0.9829       0.7609       0.7354,       6       1.7415       0.1845       0.8752       0.8850       0.9071,       6       1.7257       0.1882       0.9207       0.9726       0.9264
       7       1.7418       0.3010       0.9735       0.7497       0.7191,       7       1.6723       0.3148       0.6429       0.6430       0.6525,       7       1.8119       0.2900       0.9953       0.8031       0.9876,       7       1.6781       0.3334       0.8371       0.6142       0.7472,       7       1.7344       0.3170       0.9348       0.7407       0.6490,       7       1.7012       0.2878       0.8314       0.7270       0.7422,       7       1.7244       0.3227       1.0228       0.6997       0.7423,       7       1.7136       0.3465       0.8762       0.6048       0.6119,       7       1.6832       0.3340       0.7373       0.6661       0.6048,       7       1.6687       0.3327       0.9872       0.7329       0.8397
       8       1.6851       0.3183       0.9613       0.7191       0.6959,       8       1.7683       0.2979       1.0027       0.7459       0.8512,       8       1.8054       0.3056       0.8051       0.7255       0.7873,       8       1.8045       0.2911       1.0983       0.7329       0.8101,       8       1.7262       0.2859       0.9077       0.7462       0.6356,       8       1.6915       0.3061       0.8548       0.5789       0.6790,       8       1.6709       0.3393       0.7668       0.7537       0.6303,       8       1.7072       0.3096       0.8009       0.5812       0.5544,       8       1.6718       0.3313       0.8720       0.6890       0.7368,       8       1.7204       0.3227       0.8340       0.8150       0.8835
       9       1.7235       0.3238       1.0265       0.7145       0.7787,       9       1.7393       0.3002       0.9827       0.6882       0.7100,       9       1.7202       0.3408       0.7831       0.8176       0.8616,       9       1.6386       0.3484       0.9182       0.6237       0.5911,       9       1.6958       0.3376       1.0812       0.6161       0.6439,       9       1.7938       0.3071       0.8526       0.7466       0.8366,       9       1.7352       0.3001       0.8123       0.7400       0.7376,       9       1.7928       0.2971       0.9009       0.6237       0.7190,       9       1.7459       0.2924       0.8056       0.7308       0.7393,       9       1.6893       0.3431       0.7558       0.8542       0.9195
      10       1.6956       0.3503       1.0094       0.6589       0.6799,      10       1.7587       0.2878       1.0107       0.6764       0.7197,      10       1.7610       0.3183       0.9794       0.7517       0.8084,      10       1.7394       0.3162       0.9097       0.7586       0.8894,      10       1.7061       0.3194       0.8519       0.6309       0.5945,      10       1.7288       0.3257       0.8070       0.6440       0.7675,      10       1.8416       0.2888       1.0361       0.8281       0.8316,      10       1.7259       0.3248       0.8656       0.6365       0.7595,      10       1.6491       0.3528       0.9598       0.5866       0.6847,      10       1.5942       0.3849       1.0052       0.8039       0.8777
