#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker
      11       1.7329       0.3104       1.0719       0.6195       0.8454,      11       1.7046       0.3032       1.0162       0.7507       0.7795,      11       1.7545       0.2956       1.0735       0.7186       0.8603,      11       1.7955       0.3018       0.8363       0.6544       0.7716,      11       1.7613       0.3143       1.0632       0.6463       0.6910,      11       1.6890       0.3546       0.9426       0.6697       0.7862,      11       1.7860       0.3000       0.8789       0.6870       0.7754,      11       1.7555       0.3026       0.8391       0.6353       0.7532,      11       1.6590       0.3315       0.9008       0.6788       0.8211,      11       1.7027       0.3270       0.7266       0.8569       0.9331
      12       1.3976       0.9062       0.8885       0.7435       0.8307,      12       1.7537       0.7343       0.9793       0.8766       0.8108,      12       1.4079       0.6479       0.7879       0.6831       0.4984,      12       1.4099       0.6685       0.7080       0.7649       0.7709,      12       1.5973       0.7313       1.0754       0.6472       0.7777,      12       1.4914       0.8199       1.2562       0.8146       0.9708,      12       1.4780       0.7492       0.6259       0.7194       1.0705,      12       1.8137       0.7395       0.9093       0.8793       0.8257,      12       1.3146       0.8079       0.8052       0.4150       0.5695,      12       1.6053       0.6058       0.5374       0.6738       0.7036
      13       1.7822       0.8088       0.8164       0.4921       0.7821,      13       1.4529       0.7842       0.8187       0.6670       0.6719,      13       1.6653       0.6492       1.0608       0.6216       0.3866,      13       1.4604       0.8397       0.8578       0.7075       0.7734,      13       1.5439       0.7927       1.2577       0.4870       0.7214,      13       1.5283       0.7461       1.1150       0.5330       0.4379,      13       1.6543       0.7834       0.6642       0.6991       0.7397,      13       1.5144       0.7881       0.4770       0.6063       0.4357,      13       1.4941       0.8893       0.6153       0.5178       0.4005,      13       1.4039       0.6990       0.7820       0.4191       0.5467
      14       1.6012       0.7094       1.3928       0.6535       1.0573,      14       1.5624       0.8302       0.7870       0.8546       0.9187,      14       1.5415       0.7500       0.8606       0.7886       0.5422,      14       1.5155       0.6586       0.7025       0.6790       0.4007,      14       1.7227       0.8268       0.9825       0.4074       0.3349,      14       1.4208       0.8382       0.9363       0.5169       0.4917,      14       1.7749       0.7424       0.9528       0.8069       0.6299,      14       1.3912       0.8881       0.8600       0.5492       0.5456,      14       1.4382       0.9615       0.7321       0.6697       0.6243,      14       1.4452       0.7316       0.5832       0.7315       0.4916
      15       1.5052       0.8391       0.9080       0.6571       0.7190,      15       1.4204       0.8339       1.0503       0.5085       1.2608,      15       1.6409       0.7298       1.0042       0.4391       0.3582,      15       1.4357       0.6470       0.7284       0.6901       0.3068,      15       2.0225       0.8039       1.6461       0.9832       1.4423,      15       1.3940       0.8074       1.2379       0.5399       0.5937,      15       1.8416       0.8394       0.9793       0.7795       0.9683,      15       1.5358       0.8392       1.1999       0.5058       0.8398,      15       1.2965       1.0068       0.8305       0.8450       0.9321,      15       1.4852       0.7989       0.9008       0.5339       0.7241
      16       1.6554       0.8674       1.4527       0.4488       1.5296,      16       1.2509       0.8468       0.7262       0.6294       1.1178,      16       1.6220       0.7439       0.7885       0.6288       0.6821,      16       1.1922       0.6977       0.8997       0.5775       0.5435,      16       2.1762       0.9159       1.0779       0.7371       1.2650,      16       1.4913       0.8223       1.3714       0.6128       0.8542,      16       1.7348       0.6334       0.7798       0.6015       0.6618,      16       1.8223       0.7907       1.0991       0.9588       0.9902,      16       1.4552       1.2061       1.1687       0.6461       1.0702,      16       1.4384       0.6881       0.7546       0.6133       0.4916
      17       1.1120       1.4239       1.0746       0.7790       0.4936,      17       1.4779       1.5384       0.4589       0.4829       0.8928,      17       1.2676       0.9593       1.1627       0.6750       0.6681,      17       1.5017       1.2487       1.1292       0.9787       0.8225,      17       1.1246       0.8794       0.9812       0.4958       0.8580,      17       1.1830       1.5969       0.8794       0.9171       0.6117,      17       1.0364       1.1282       0.7229       0.5072       0.6144,      17       1.4067       1.1061       0.7753       0.6172       0.4876,      17       1.5556       1.4467       1.7695       0.5974       1.3020,      17       0.8613       1.0513       0.5713       0.5590       0.3994
      18       1.1443       1.5560       0.9482       0.6862       0.5423,      18       0.8640       1.5582       0.3837       0.4829       0.8594,      18       1.6921       1.0406       1.3262       0.7092       0.5384,      18       1.5142       0.8589       1.1214       0.7377       0.6569,      18       0.7139       1.1483       0.5226       0.5312       0.5164,      18       1.8109       1.3781       1.0544       0.5143       0.8808,      18       0.8894       1.1314       0.8238       0.4768       0.4601,      18       1.2654       1.7751       0.8783       0.8007       0.4636,      18       1.2326       1.4849       1.0551       0.6254       1.1219,      18       1.3549       1.2918       0.7693       0.5132       0.5350
      19       1.6895       1.5795       1.8178       0.6809       0.7899,      19       1.6810       1.8091       0.9887       0.8031       0.7857,      19       1.3942       1.0563       0.8088       0.6905       0.5587,      19       1.1919       1.2604       2.1511       0.5497       0.7764,      19       0.9068       1.1288       0.4386       0.6588       0.4870,      19       1.2677       1.5409       1.7895       0.6993       1.2850,      19       0.8494       1.2302       0.8036       0.5198       0.3938,      19       1.2695       1.5181       1.0393       0.4765       0.4784,      19       1.1851       1.7958       1.0869       0.6893       0.9131,      19       1.1983       1.0563       0.8967       0.5116       0.6275
      20       0.8185       1.6179       2.4909       0.5047       0.6149,      20       1.4548       2.0435       1.1486       0.4192       0.6492,      20       1.3116       1.1441       1.0819       0.6193       0.8985,      20       1.4497       1.0545       1.9831       0.8701       0.7709,      20       1.5086       1.4157       1.1509       0.7321       1.1851,      20       2.4976       1.6815       2.0511       0.3349       0.4743,      20       0.9229       1.2742       0.2819       0.6608       0.5101,      20       1.3065       1.4160       1.5107       0.4029       0.6367,      20       1.0223       1.6269       0.9940       0.5294       0.9248,      20       1.6920       1.1701       1.6504       0.8978       0.6759
      21       0.9297       1.2882       2.1870       0.3640       0.7423,      21       1.3723       1.9832       1.4304       0.8830       1.0843,      21       1.5167       1.2369       0.6696       0.6758       0.5928,      21       1.1855       1.3976       2.1576       0.4569       0.8272,      21       2.4312       1.2179       1.3673       0.3567       1.1104,      21       1.6448       1.4881       2.3952       0.8035       0.9122,      21       0.8416       1.2090       0.8455       0.6717       0.6809,      21       1.7208       1.5903       1.6987       0.8959       0.8848,      21       1.5941       1.5419       1.0961       0.5977       0.4559,      21       1.7913       1.2457       1.4957       0.6448       0.5885
      22       1.2351       1.2538       2.4892       0.5241       0.7591,      22       1.5534       1.8936       0.8229       0.6740       0.9996,      22       1.0876       1.6544       1.6358       0.4993       0.4903,      22       1.5005       1.6649       0.8503       0.4918       0.7528,      22       1.7215       1.4730       1.4197       0.5712       0.5691,      22       3.4738       1.7820       2.2017       0.3241       0.5868,      22       1.6596       1.1978       1.2485       0.6624       0.5707,      22       1.6809       1.9637       1.3748       0.6888       0.7249,      22       2.1740       1.6728       1.3420       0.3148       0.6793,      22       1.5262       1.2065       1.3417       0.9973       0.4773
      23       0.9643       1.1832       2.0719       0.4855       0.6328,      23       1.7314       2.5240       1.1577       0.8268       0.8013,      23       1.5825       1.3843       0.9039       0.6066       0.7445,      23       2.2293       1.5366       1.7593       0.8057       0.5024,      23       2.3696       1.5130       1.6966       0.8305       1.0858,      23       2.2053       1.5915       2.1379       0.4831       0.8123,      23       1.7827       1.2839       0.7985       0.6425       0.5263,      23       1.8474       1.5561       0.8834       0.5185       0.6367,      23       1.0645       1.5869       1.5724       0.6953       0.9770,      23       2.0161       1.1785       0.7951       0.5941       0.4427
      24       1.0575       1.0273       2.2196       0.6988       0.4269,      24       2.3240       2.5240       0.7350       0.6087       0.6603,      24       1.6675       1.1986       1.3900       0.5492       0.8642,      24       2.5895       1.4280       1.7552       0.4601       0.2839,      24       2.0713       1.7576       0.7244       0.5504       0.7645,      24       3.4878       1.4559       2.3043       0.4439       0.7194,      24       1.3081       1.0643       0.9650       0.8408       0.9496,      24       1.4979       1.8671       1.0864       0.5241       0.3130,      24       1.3201       1.6348       0.8900       0.6297       1.0937,      24       2.0303       1.2001       1.0533       0.4782       0.5976
      25       1.8558       1.6293       2.5106       0.3963       0.6737,      25       2.6221       2.1340       1.1281       0.6618       0.8189,      25       2.2114       1.3714       1.0829       0.5902       0.9249,      25       2.5953       1.7264       2.3305       0.8465       1.5233,      25       2.4953       1.3327       1.5973       0.4582       0.6013,      25       2.8483       1.8635       2.4664       0.4843       1.0205,      25       1.8874       1.1373       0.8850       0.6879       0.7466,      25       1.0865       1.7982       0.6211       0.3146       0.4638,      25       1.5259       1.8746       0.7474       0.3371       0.8285,      25       1.8550       1.3599       1.4289       0.4943       0.7495
      26       1.3100       1.9795       2.0861       0.7213       0.6633,      26       1.6532       1.9973       0.8564       0.4461       0.4103,      26       1.5044       1.0105       0.7422       0.6264       0.6491,      26       2.5609       1.8873       2.9611       0.4982       0.7770,      26       3.3402       1.2314       1.1928       0.5002       0.5805,      26       3.1563       1.8112       2.6342       0.4396       0.8289,      26       1.3276       1.1076       1.3455       0.6163       0.6879,      26       2.0069       1.7016       0.7199       0.2752       0.3244,      26       1.7104       2.0126       0.8006       0.7064       0.8438,      26       1.3483       1.5523       1.5728       0.6019       0.5802
      27       1.9030       1.9357       3.0968       0.6981       0.8948,      27       2.2801       2.2150       1.5001       0.5230       0.7378,      27       2.1791       1.2548       1.5714       0.5772       0.6809,      27       1.6041       2.2202       2.8078       0.5634       0.6323,      27       2.5444       1.4596       1.5353       0.3004       0.9388,      27       2.8273       1.5226       2.1232       0.4033       0.4319,      27       2.2493       1.1451       1.4897       0.5469       0.4763,      27       1.7269       1.7170       1.1080       0.6925       1.2070,      27       1.5895       1.8304       1.3301       0.8345       0.9807,      27       2.0210       1.5160       2.2158       0.4807       0.8819
      28       1.2611       1.8216       2.4942       0.3989       0.4427,      28       2.0966       2.2208       1.2023       0.7581       0.5189,      28       1.3999       1.3489       1.5332       0.4581       0.7158,      28       1.3116       1.8020       2.0739       0.5761       0.6645,      28       2.3001       1.3797       1.0635       0.5083       1.0035,      28       3.3306       1.6791       2.1137       0.5173       0.7406,      28       1.8486       0.9357       0.9662       0.4155       0.7831,      28       2.3012       2.1084       0.9320       0.4436       0.5686,      28       2.5324       1.9093       0.8444       0.5292       0.7340,      28       2.1514       2.0835       2.0680       0.6357       0.4315
      29       1.8221       2.0507       2.5211       0.5835       0.7523,      29       2.7373       2.3910       0.7679       0.6791       0.9334,      29       1.6236       1.2765       1.2936       0.7958       0.6596,      29       1.2985       1.4657       2.0513       0.8309       0.9373,      29       1.7441       1.1883       1.1035       0.5238       0.6049,      29       3.4612       1.8874       2.3384       0.4067       0.5989,      29       1.3733       1.0514       1.0098       0.6022       0.5827,      29       1.8365       1.6950       1.4722       0.4201       0.6263,      29       1.8915       2.1782       1.5460       0.6452       0.7398,      29       1.9822       1.5573       1.9442       0.6685       0.9114
      30       2.3311       1.7653       2.1530       0.4770       0.5159,      30       1.4356       2.0898       0.9875       0.7324       0.9433,      30       1.7558       1.3934       1.6046       0.4824       0.6322,      30       1.4066       1.6310       2.0367       0.4906       0.7422,      30       2.4859       1.1904       1.2417       0.6688       1.1872,      30       2.5289       1.5975       2.4795       0.2417       0.4342,      30       1.8903       1.0718       1.3698       0.6765       1.0703,      30       1.7303       2.0470       1.7074       0.4346       0.5358,      30       1.4967       2.0519       1.6056       0.4873       0.9396,      30       1.4480       1.6658       2.0747       0.4683       0.5645
      31       2.0363       1.7244       2.6129       0.2064       0.5343,      31       1.9608       2.8460       1.0044       1.0121       0.9118,      31       1.9820       1.4475       1.7248       0.5142       0.6042,      31       1.6492       2.0244       2.4478       0.5573       0.9349,      31       1.8590       1.3204       0.9037       0.3448       0.5628,      31       2.7738       1.9064       2.5202       0.3098       0.3469,      31       1.7678       1.0338       0.9885       0.6852       0.5591,      31       1.9838       1.7908       2.4260       0.8246       0.7590,      31       1.7501       2.2535       2.4498       0.4540       0.7744,      31       1.5008       1.6912       1.8095       0.7774       0.7489
      32       2.4142       1.6963       2.1949       0.3015       0.6136,      32       1.5894       2.7134       1.6716       0.4988       0.3897,      32       1.7953       1.3337       1.7809       0.4414       0.5217,      32       1.2158       1.6618       2.0238       0.5623       0.7683,      32       2.3472       1.1804       2.0102       0.5348       0.7267,      32       3.4071       1.9194       2.6919       0.5526       0.7615,      32       1.7075       1.0926       1.2533       0.5559       1.0017,      32       2.2836       1.7537       2.6580       0.4636       0.5576,      32       1.7848       1.6800       3.0442       0.3806       0.9544,      32       2.6082       1.7428       2.6275       0.5858       1.5055
      33       2.1883       1.7469       2.0460       0.4096       0.8429,      33       1.5013       2.0410       0.9512       0.5567       0.9520,      33       1.0346       1.1616       1.7916       0.5734       0.4259,      33       1.3536       1.8409       2.4797       0.5236       1.2639,      33       1.9933       1.0436       1.4176       0.5245       0.6581,      33       2.8998       1.8113       2.6788       0.6363       1.1051,      33       1.3584       1.0388       1.2681       0.6254       0.6625,      33       2.0231       1.6629       2.1606       0.5689       0.6444,      33       2.2301       1.6005       3.5041       0.5330       0.9244,      33       1.8590       1.4018       2.5477       0.7203       1.3415
      34       3.1168       1.7816       2.1865       0.8334       1.2718,      34       1.6166       2.3458       1.2940       0.5582       0.8953,      34       1.1922       1.3466       1.1144       0.6432       1.0240,      34       1.8374       1.7982       2.4557       0.3036       0.8762,      34       2.2239       1.2667       2.1459       0.4372       0.9212,      34       2.3736       1.6144       2.6752       0.7563       0.6577,      34       1.1846       1.1987       1.7159       0.6773       0.6854,      34       1.7843       1.6815       2.6757       0.4787       0.8056,      34       2.0601       1.6017       3.2872       0.5284       0.6833,      34       1.3895       1.8745       2.5961       0.6689       1.5422
      35       1.7331       1.7385       2.3081       0.4671       1.0294,      35       1.3345       2.0490       0.9701       0.5398       0.7236,      35       1.0468       1.3598       1.4928       0.7656       0.9937,      35       1.4135       1.8592       2.5509       0.5512       0.9987,      35       1.5670       1.2698       1.5902       0.4253       0.6580,      35       1.6012       1.4449       2.6634       0.5648       0.9511,      35       1.5327       1.3572       1.4348       0.6495       0.6583,      35       1.8306       1.6524       2.4149       0.4844       0.6980,      35       1.0786       1.7455       2.8173       0.5657       1.3794,      35       1.6753       1.9343       2.7660       0.9508       2.0802
      36       1.5090       1.6606       2.2091       0.5072       0.4541,      36       2.1267       1.8058       0.7477       0.9343       0.8607,      36       1.1287       1.5999       1.2552       0.6078       0.5666,      36       1.6728       1.7479       2.3206       0.6007       0.7709,      36       1.6054       1.4554       1.7527       0.8236       1.1278,      36       1.5730       1.4040       2.5499       0.2351       0.4621,      36       1.2491       1.4259       1.5693       0.5985       0.9986,      36       2.0215       1.7260       2.4159       0.5762       0.6770,      36       1.2256       1.8198       3.4389       0.4849       1.4779,      36       2.0004       1.6729       2.7722       0.9307       2.1040
      37       2.8257       1.6881       2.2089       0.7060       0.7420,      37       2.2898       1.9815       1.6066       0.5184       0.4654,      37       1.7147       1.4047       1.4710       0.6712       0.5704,      37       2.3439       1.7573       2.8308       0.4021       0.5271,      37       1.7245       1.4326       1.7420       0.4322       0.6523,      37       1.2531       1.6486       2.4690       0.3023       0.7544,      37       1.9170       1.4190       1.7987       0.8085       1.0233,      37       2.5296       1.7913       3.2328       0.8341       1.2765,      37       1.1171       1.5489       3.1854       0.7387       1.3235,      37       1.3796       1.7473       2.8919       0.8856       1.9406
      38       2.4219       1.8511       2.6665       0.7352       1.0370,      38       3.4374       2.1491       1.5337       0.7359       0.7400,      38       1.4492       1.6331       1.2781       0.5903       0.8695,      38       2.6137       1.4508       2.9557       0.7172       0.5069,      38       1.7941       1.5094       1.7430       0.5691       0.4409,      38       2.1799       1.4303       2.9875       0.6791       1.5591,      38       1.1542       1.4690       1.5928       0.7706       0.8189,      38       1.9425       1.8930       2.9643       0.6660       0.6078,      38       1.0998       1.8453       3.2974       0.4256       1.7715,      38       1.7198       1.8641       2.8546       0.7829       1.7244
      39       1.5318       1.8496       2.2084       0.4273       0.4431,      39       2.6105       1.8051       1.6126       0.8150       0.6643,      39       1.8008       1.2864       1.2345       0.3802       0.4766,      39       2.9048       1.5141       3.2613       0.5108       1.0857,      39       1.3245       1.5215       1.9052       0.6434       0.7422,      39       2.9163       1.8736       2.5234       0.3670       0.9266,      39       2.1845       1.2122       1.3802       0.4317       0.7422,      39       1.6983       1.6282       1.9849       0.3742       0.6398,      39       1.5345       1.5528       3.6304       0.4425       1.0558,      39       2.0656       1.7937       2.6775       1.1106       2.0315
      40       1.9419       1.7544       2.4050       0.7940       0.7913,      40       1.8469       1.8887       1.9319       0.6052       0.6909,      40       1.8915       1.7041       2.0877       0.5722       0.8656,      40       1.7423       1.6491       3.0402       0.3675       0.8571,      40       1.1446       1.4197       1.3854       1.0144       1.0188,      40       3.5842       1.7153       2.8406       0.4800       0.7927,      40       2.7596       1.5617       1.3604       0.4605       0.5637,      40       1.9402       1.6824       2.4089       0.3865       0.5681,      40       1.6640       1.6345       3.3767       0.6093       1.4464,      40       1.4964       1.7710       2.6750       0.7143       1.8723
      41       2.1433       1.4744       2.1015       0.2822       0.3319,      41       2.7833       2.1945       2.2792       0.5270       1.1505,      41       1.6572       1.5275       1.6288       0.4632       0.5775,      41       2.0967       1.9101       3.0950       0.6656       0.9639,      41       2.4464       1.5154       0.9203       0.5819       0.7088,      41       2.5278       1.5442       2.5093       0.4102       0.3920,      41       2.3110       1.3090       2.0376       0.6201       0.9685,      41       2.5220       1.7734       2.6072       0.5089       0.6694,      41       1.6156       1.8088       3.7247       1.0308       1.3858,      41       1.3855       2.2232       2.8785       0.7450       1.6426
      42       1.8142       1.6448       2.7023       0.8237       0.8440,      42       2.0373       1.9661       2.1659       1.0134       1.0252,      42       2.1456       1.8843       1.1721       0.3334       0.4281,      42       3.2623       1.7990       3.3931       1.0076       1.2332,      42       2.6602       1.6936       1.1050       1.0611       0.7108,      42       2.3284       2.3597       2.4615       0.3650       0.7898,      42       3.4793       1.2755       2.6770       0.7344       1.4623,      42       2.0484       1.6083       3.1986       0.4147       0.5108,      42       1.1677       1.6100       3.6788       1.0702       1.2717,      42       1.8565       2.1454       2.7015       0.8543       2.1546
      43       1.3553       1.6187       2.9794       0.5593       1.2317,      43       1.5944       1.9129       1.6969       0.8512       0.7460,      43       1.8371       1.9060       1.4836       0.4779       0.6186,      43       3.4161       1.8345       3.2907       0.7850       1.2602,      43       2.5109       1.6788       1.3051       0.5377       0.6598,      43       1.5847       2.0540       2.5836       0.4354       0.6254,      43       2.6603       1.2079       3.1190       0.9880       1.7565,      43       2.5788       1.7238       2.6409       0.2901       0.4663,      43       1.6188       1.6501       3.5501       0.8761       1.2730,      43       2.3740       2.1886       2.9771       0.9328       1.9048
      44       2.3003       1.5328       2.7066       0.4686       0.9966,      44       2.0947       2.0369       2.1374       0.8438       0.6856,      44       1.8499       1.6982       1.3628       0.5523       0.7287,      44       3.2846       1.5889       3.3722       0.6130       1.1911,      44       2.5416       1.5988       1.3777       0.4564       0.5779,      44       2.5522       1.9490       2.5625       0.5703       0.8017,      44       2.7760       1.3563       3.0145       0.6147       1.4820,      44       3.3483       1.7296       2.2921       0.5155       0.8177,      44       2.1607       2.1650       3.8203       0.4396       0.8179,      44       2.1476       2.4230       2.6051       0.9520       1.6929
      45       1.4540       1.3426       2.5454       0.6056       1.3214,      45       1.4622       1.7101       2.5929       0.8226       0.6802,      45       1.5192       1.7945       1.5036       0.4353       0.5568,      45       3.0630       1.5056       3.7181       0.8195       1.3218,      45       3.0194       1.8801       1.8531       0.8148       0.7885,      45       2.3717       2.0230       2.3968       0.3988       0.5061,      45       3.6206       1.1777       2.6895       0.9590       1.6412,      45       2.7376       1.5319       2.0607       0.6304       1.1002,      45       1.7793       2.1668       3.3796       0.5229       0.8790,      45       1.9631       2.1355       2.7954       0.9347       2.2164
      46       1.5680       1.5232       2.2923       0.4394       0.5816,      46       1.6978       1.9778       3.1945       0.8783       1.0001,      46       1.3997       1.5656       1.4774       0.8375       1.2056,      46       2.5282       1.6473       4.0557       0.8370       2.1280,      46       3.0682       1.7377       1.7487       0.6235       0.7086,      46       2.7588       1.9853       2.6071       0.5479       0.6923,      46       3.4362       1.5023       2.8800       0.6593       1.0339,      46       2.7832       1.7299       1.9670       0.5170       0.3958,      46       1.3545       2.1736       3.3178       0.8725       1.2237,      46       1.9710       2.1577       2.3159       0.8344       1.9502
      47       2.1852       1.2187       2.6479       0.3142       0.7431,      47       1.3205       1.7104       3.9140       0.5661       0.3971,      47       1.7866       1.5909       1.5988       0.2894       0.6603,      47       2.8240       1.7241       3.0988       0.8319       1.0065,      47       2.1529       1.4610       2.2865       0.9572       0.9802,      47       2.6487       2.3777       2.7180       0.4454       0.9690,      47       3.3563       1.3555       3.0420       0.5444       1.0635,      47       2.7283       1.7635       2.4183       0.5855       0.7679,      47       1.0054       1.7512       3.2427       0.6858       0.9902,      47       1.7323       2.2712       2.4638       0.7335       1.5935
