#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker
       1       0.0000       0.0000       0.0000       0.0000       0.0000
       2       1.5522       0.1790       0.6780       0.7104       0.7624
       3       1.6659       0.1959       0.8856       0.8722       0.9339
       4       1.7195       0.1981       0.8774       0.8832       0.9450
       5       1.7362       0.1873       0.8149       0.8817       0.9304
       6       1.7395       0.1846       0.9043       0.8011       0.8846
       7       1.6457       0.3287       0.9755       0.5228       0.8060
       8       1.6526       0.3025       0.8111       0.6129       0.7565
       9       1.6649       0.3174       0.7642       0.7356       0.8434
      10       1.6752       0.2977       0.8597       0.6711       0.7531
      11       1.6171       0.3251       0.9064       0.4716       0.6911
      12       1.3301       0.6947       0.9401       0.4562       1.4272
      13       1.4276       0.7800       1.4853       0.5741       2.2038
      14       1.1409       0.7941       1.2931       0.4022       1.0184
      15       1.2279       0.9217       1.3502       0.7279       1.7379
      16       1.3145       0.9399       0.8823       0.4670       1.6196
      17       1.2398       0.9314       0.9500       0.4254       0.6109
      18       2.0052       0.9338       0.7165       0.4099       0.7425
      19       1.2160       0.9384       0.5780       0.2438       0.3590
      20       2.0924       1.1822       0.8790       0.6782       0.5106
      21       1.3748       1.1793       1.1431       0.6016       0.6808
      22       1.8065       1.0398       0.8096       0.6361       0.7656
      23       1.8041       1.1395       0.7192       0.2754       0.4944
      24       2.0728       1.1441       0.6425       0.6532       0.4944
      25       1.8668       1.6190       0.6515       0.6378       0.6732
      26       1.0840       1.2877       1.3118       0.5165       0.5473
      27       1.0660       1.3592       1.3351       1.1548       1.0118
      28       1.4337       1.1949       1.2225       0.9366       1.3667
      29       1.7828       1.2410       1.4224       0.7186       1.3342
      30       1.4389       1.2856       1.4478       0.7668       1.3731
      31       1.4471       1.5010       1.7394       1.5488       1.8084
      32       2.0116       1.3386       1.4277       1.1002       1.3413
      33       2.1762       1.5275       1.2271       0.6825       1.4946
      34       1.8806       1.2409       1.4109       1.1053       1.4561
      35       2.0036       1.4039       2.0699       0.9170       1.3163
      36       1.3760       1.5320       1.7553       0.8701       1.1523
      37       1.5191       1.6361       1.6484       0.7833       1.4451
      38       1.2515       1.8964       1.7447       0.6675       0.6519
      39       2.3653       1.3791       1.0786       0.6449       1.0658
      40       1.7673       1.4303       1.8492       0.9510       1.4464
      41       1.9946       1.2356       1.5559       1.1073       1.5379
      42       1.9235       1.4995       1.6642       1.3198       1.5905
      43       2.3110       1.6668       1.6269       0.7367       0.8633
      44       2.2095       1.4257       2.2793       1.2407       1.7004
      45       1.9096       1.6395       1.7555       0.9675       1.3673
      46       1.6791       1.9878       1.8100       1.0251       1.2142
      47       1.9210       1.7450       1.7571       1.2189       1.6541
      48       1.7667       1.7422       1.9050       0.9041       1.1570
      49       1.5168       1.1899       2.2560       0.4325       1.3376
      50       1.5580       1.3352       1.7963       0.7014       1.0495
      51       2.0910       1.3994       1.9724       0.7797       1.0174
      52       1.3992       1.6259       1.7864       0.7586       1.1418
      53       1.8825       1.5571       1.7524       0.4685       1.0673
      54       2.4962       1.7824       1.6043       0.6504       0.7718
      55       2.7489       1.9559       1.8465       0.7564       1.0054
      56       2.8176       1.6469       1.5601       0.6885       1.1532
      57       2.9992       1.7010       1.9621       0.6645       1.3180
      58       2.6909       1.9415       1.7378       0.7304       0.9729
      59       3.0566       1.7337       1.6036       0.5912       0.8753
      60       2.0099       1.8935       1.5913       0.4877       0.7922
      61       2.7499       1.8151       1.9629       0.7141       1.4915
      62       2.7265       1.6344       2.0392       0.7321       1.5628
      63       2.4137       1.5618       1.9725       0.8568       2.1543
      64       3.1109       1.7423       2.2393       0.9757       2.1602
      65       2.4544       1.9216       2.4587       0.8631       2.3988
      66       2.3177       1.8643       2.1307       1.1348       2.8775
      67       2.9887       2.0177       2.4127       0.9996       2.7935
      68       2.5192       1.8530       2.1879       0.9906       2.4280
      69       2.4664       1.8372       1.7587       0.7711       1.5519
      70       3.1310       2.0243       2.7047       1.1581       2.6675
      71       3.3848       1.9859       2.5222       1.2061       2.7534
      72       3.5542       1.6724       2.6410       1.0901       2.7034
      73       3.3013       1.9254       2.3115       1.0688       2.8720
      74       2.6683       1.7202       2.2004       0.8739       2.6178
      75       2.3626       1.9217       2.6840       1.0465       2.9798
      76       3.5976       2.0591       3.0366       1.2944       2.9277
      77       3.2480       1.9054       2.9276       0.9786       2.9798
      78       2.9401       1.7952       2.5244       1.1546       2.8161
      79       2.8516       1.8957       2.6483       0.9379       2.9776
      80       2.2551       1.5611       1.9269       0.7939       2.4442
      81       2.5784       1.7324       2.4858       0.9658       2.9641
      82       2.6856       1.9699       2.3543       1.0253       2.7719
      83       2.7398       1.9017       3.0208       0.6214       2.8211
      84       2.9189       1.8999       2.0720       0.8306       1.5713
      85       2.8214       1.6692       2.1564       0.4337       2.0260
      86       3.3378       1.8927       2.2107       1.0894       1.7298
      87       2.7477       2.1395       2.0644       1.0221       1.5798
      88       3.2372       2.1530       2.6296       1.1374       1.9461
      89       3.4636       2.0602       2.3763       1.1993       2.5755
      90       3.0012       2.1582       2.4502       1.0679       2.6870
      91       2.9779       1.7221       2.6778       0.9664       2.2324
      92       4.2569       1.8667       2.7672       1.0850       2.1936
      93       3.6655       2.0312       2.2865       1.0929       1.7794
      94       2.9860       2.1994       2.3614       0.9070       1.3181
      95       2.6172       2.1803       2.2623       0.7939       2.0131
      96       4.2063       2.0247       3.0082       1.1522       2.2373
      97       2.7865       1.9987       1.8844       0.9635       1.5835
      98       2.8345       2.2042       2.6499       1.0165       1.5870
      99       2.7768       2.3378       2.7897       0.8725       1.7675
     100       1.8925       2.0101       1.8048       0.8289       1.0530
     101       1.9921       2.0731       2.2290       0.7841       1.6815
     102       1.8901       2.1273       2.4579       0.7468       1.7746
     103       2.6257       2.2625       2.3983       0.9164       1.7018
     104       2.5254       2.5399       2.6472       0.5681       1.6849
     105       2.0547       2.5533       2.6330       0.6469       1.2882
     106       2.7454       2.8871       2.6672       0.6636       1.7519
     107       3.1322       2.4193       2.8072       1.0307       1.6370
     108       2.9760       2.0151       2.6387       0.6852       1.7921
     109       2.6310       2.0199       2.8218       0.8500       2.2685
     110       2.6478       1.9894       3.0520       0.7160       2.0247
     111       3.2527       2.0255       2.7762       0.8821       1.8512
     112       3.6299       1.9482       2.7487       0.7663       2.0648
     113       3.3923       1.9366       2.4453       0.9741       2.3890
     114       2.9226       1.9924       2.4553       0.8661       2.6996
     115       3.1152       1.9848       2.5848       1.1585       2.3535
     116       3.4285       1.9340       2.3859       0.7956       2.5546
     117       3.4290       2.1505       2.4103       1.2704       2.5271
     118       3.0777       1.7246       2.5631       0.6284       2.3372
     119       3.0760       2.0713       2.2435       0.8192       2.5054
     120       3.4291       2.0611       2.5702       1.0043       2.3238
     121       3.3328       1.9344       2.4836       1.0030       2.3959
     122       2.9124       2.2937       2.1581       0.7226       2.1130
     123       3.9858       2.1659       2.7731       0.8865       2.4306
     124       4.2380       2.0014       3.0429       1.1552       2.2108
     125       4.7808       2.0850       3.1753       1.2159       2.5344
     126       4.8936       1.9389       2.6386       1.2575       2.3396
     127       3.7615       1.9478       2.3125       1.0671       2.5130
     128       3.8473       2.2655       3.1541       1.2921       2.7714
     129       3.6865       2.0309       2.8537       0.8656       2.0140
     130       5.7175       2.3948       3.4505       1.4493       2.3706
     131       3.7080       2.2429       2.4552       0.9831       2.6354
     132       3.5401       2.0363       2.7810       1.1581       2.4648
     133       4.3797       2.3655       3.7638       1.0187       2.2495
     134       4.1610       2.3112       2.9345       1.4580       2.8662
     135       4.1853       2.1398       3.0013       0.9793       2.3726
     136       2.4289       2.1210       2.5212       0.8400       2.7436
     137       2.7881       2.3757       3.0457       1.1186       3.2218
     138       1.7288       2.3557       3.2826       0.9514       2.3976
     139       2.2713       2.2415       3.5588       1.0388       2.8786
     140       2.7842       2.2371       3.5273       0.8663       2.9249
