#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker
      11       1.7002       0.3267       0.8710       0.7683       0.8296,      11       1.6171       0.3251       0.9064       0.4716       0.6911,      11       1.6572       0.3154       1.0236       0.6568       0.8542,      11       1.6745       0.3080       0.8162       0.6811       0.7452,      11       1.6782       0.3119       0.9429       0.7084       0.7055,      11       1.6811       0.3233       1.0049       0.5902       0.8773,      11       1.7038       0.3177       0.7290       0.8871       0.8712,      11       1.6332       0.3759       0.7959       0.5382       0.8885,      11       1.6440       0.3639       0.7594       0.6549       0.9051,      11       1.7055       0.3217       0.6181       0.7709       0.9178
      12       1.6247       0.7331       1.9006       0.4586       1.5648,      12       1.3301       0.6947       0.9401       0.4562       1.4272,      12       1.4613       0.6684       1.2582       0.8350       2.0445,      12       1.4333       0.7863       0.9918       0.7210       0.9562,      12       1.5959       0.6587       2.4483       0.5133       2.3185,      12       1.5752       0.6427       1.6789       0.6090       1.9114,      12       1.1634       0.7676       0.9159       0.5896       1.4933,      12       1.4405       0.7514       1.2999       0.4844       2.0776,      12       1.4709       0.7376       1.4038       0.5038       1.7149,      12       1.2690       0.6777       1.0090       0.3728       0.4680
      13       1.5770       0.7355       1.1957       0.4937       1.7104,      13       1.4276       0.7800       1.4853       0.5741       2.2038,      13       1.5203       0.6937       1.4107       0.5498       1.6662,      13       1.2991       0.6693       0.9689       0.7197       1.5699,      13       1.5384       0.8418       2.6589       0.8052       2.7828,      13       1.7764       0.8960       1.8901       0.9207       2.3534,      13       1.2737       0.7543       0.8143       0.4311       1.0519,      13       1.5770       0.7290       1.5574       0.8438       2.2396,      13       1.4357       0.8633       1.4644       0.5335       2.1766,      13       1.4060       0.7820       1.0448       0.4326       1.3900
      14       1.7288       0.8510       1.7339       0.9153       2.3579,      14       1.1409       0.7941       1.2931       0.4022       1.0184,      14       1.4185       0.8821       1.1251       0.5846       1.6846,      14       1.7904       0.8068       1.0131       0.7534       1.8413,      14       1.6357       0.8632       2.7808       0.4450       2.6787,      14       1.3446       0.7997       1.6681       0.7293       2.4557,      14       1.2131       0.8677       0.8322       0.6171       1.3498,      14       1.4543       0.8153       1.7102       1.0180       1.9739,      14       1.4512       0.8953       1.3039       0.3645       1.9290,      14       1.4002       0.7620       1.6606       0.7581       1.8684
      15       1.6323       0.8163       1.8755       0.6542       2.1084,      15       1.2279       0.9217       1.3502       0.7279       1.7379,      15       1.4184       0.7163       1.7715       0.7535       2.0484,      15       1.3912       0.8531       1.1273       0.8009       1.6119,      15       1.4547       0.8744       2.6954       0.5554       2.4609,      15       1.3843       0.8256       1.0349       0.7896       2.2141,      15       1.2834       0.9108       0.9460       0.2954       0.7579,      15       1.7177       1.0308       1.8446       1.0151       2.3793,      15       1.6090       0.7630       2.1584       0.4754       2.1632,      15       1.5165       0.7542       2.0818       0.5258       1.9864
      16       1.7032       0.6785       2.4325       0.9651       3.2983,      16       1.3145       0.9399       0.8823       0.4670       1.6196,      16       1.3698       0.8179       1.4111       0.5391       1.4386,      16       1.2337       0.8014       0.9765       0.5175       1.2898,      16       1.4130       0.8589       2.7118       0.5986       2.4543,      16       1.3431       0.8602       1.3748       0.7743       2.4089,      16       1.4360       0.8988       1.5372       0.6183       2.4407,      16       1.3318       0.9408       1.5321       0.6258       2.1205,      16       1.5856       0.7868       2.0095       0.5763       1.9834,      16       1.6505       0.7440       1.7401       0.5778       2.1859
      17       1.2212       0.8481       2.4523       0.8676       2.5719,      17       1.2398       0.9314       0.9500       0.4254       0.6109,      17       1.3765       0.9079       1.9301       0.5240       1.9569,      17       1.3532       0.9949       0.8764       0.5025       1.4352,      17       1.3191       0.9700       1.3919       0.6755       1.7796,      17       1.7910       1.1865       1.1996       0.5751       1.4536,      17       1.0344       0.8708       0.6745       0.5496       1.5619,      17       1.2405       1.0406       0.8691       0.6243       1.3662,      17       1.2315       0.8828       1.8961       0.8409       2.3693,      17       2.1907       0.9943       1.7269       0.8672       1.5818
      18       1.6978       1.1023       1.7724       1.0884       2.3569,      18       2.0052       0.9338       0.7165       0.4099       0.7425,      18       1.6932       0.8789       1.5665       0.4406       1.3989,      18       1.1983       0.7667       0.8586       0.7487       1.2242,      18       1.5650       1.0694       1.5379       0.3128       1.6990,      18       1.4559       0.9753       1.4058       0.6784       1.5634,      18       1.8698       0.9037       1.3415       0.3796       0.5159,      18       1.3947       1.0540       1.0179       0.6156       1.5267,      18       1.2833       0.9074       1.5768       0.6111       1.8317,      18       2.4138       1.1278       2.4756       0.7622       2.0235
      19       1.5753       0.8640       1.6783       0.6813       2.2838,      19       1.2160       0.9384       0.5780       0.2438       0.3590,      19       1.3727       0.9548       0.7893       0.6869       1.0409,      19       1.2458       0.9276       1.2441       0.4174       1.4144,      19       2.3078       0.9605       1.6126       0.6982       1.7885,      19       2.2851       0.9253       1.3976       0.6724       1.5543,      19       1.4374       1.0849       0.9364       0.6602       0.8771,      19       1.4204       0.9905       0.6950       0.3710       1.6539,      19       1.5028       0.8849       1.8520       0.4852       1.6691,      19       2.9988       1.3182       2.2371       0.4450       1.3744
      20       1.2444       0.9744       2.4916       0.6106       2.7287,      20       2.0924       1.1822       0.8790       0.6782       0.5106,      20       1.4416       1.1910       0.5894       0.3964       0.7966,      20       1.2938       0.9075       1.2144       0.4090       1.1478,      20       2.0114       1.0281       1.4263       0.4884       1.7294,      20       2.2958       1.0071       1.1975       0.6228       1.5332,      20       1.8048       0.9760       1.0673       0.3206       0.6533,      20       1.4059       0.8374       0.9897       0.5857       1.2446,      20       1.3455       0.9340       1.7063       0.5061       1.4754,      20       2.0722       1.1394       1.0989       0.5052       1.3831
