#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker
       1       0.0000       0.0000       0.0000       0.0000       0.0000
       2       1.5292       0.2157       0.7451       0.5607       0.4095
       3       1.6915       0.2209       0.9240       0.6641       0.6866
       4       1.6647       0.2215       0.8625       0.6549       0.6260
       5       1.7601       0.2231       0.8830       0.7002       0.6706
       6       1.7085       0.2360       0.8711       0.6404       0.6601
       7       1.6706       0.3462       0.8219       0.3689       0.2169
       8       1.6901       0.3470       0.9349       0.4507       0.5439
       9       1.7047       0.3636       0.7877       0.2682       0.3875
      10       1.6964       0.3491       0.7789       0.3399       0.1061
      11       1.6839       0.3490       0.8481       0.3641       0.2746
      12       1.8696       0.6987       1.7345       0.6478       0.6268
      13       1.7670       0.8701       1.0110       0.6125       0.6306
      14       1.6718       0.8753       1.1306       0.7453       0.7616
      15       1.6183       0.8825       1.6178       0.8503       0.7158
      16       1.6870       0.8650       2.0574       0.7443       0.9006
      17       1.9313       1.0478       2.4256       0.7425       0.8864
      18       1.5671       1.3178       2.4731       1.2320       1.7114
      19       1.7562       1.3934       2.4137       1.4297       1.4924
      20       2.4753       1.5577       2.5280       1.0024       1.1234
      21       1.4334       1.6209       2.1217       0.9764       1.3207
      22       1.8734       1.2350       2.5423       1.1575       1.2676
      23       1.2824       1.4262       1.8697       1.2963       1.5770
      24       1.8006       1.5394       1.7970       0.6469       0.5461
      25       1.9145       1.8212       2.1292       1.0065       1.2492
      26       1.5999       1.5589       2.1736       1.5257       1.6897
      27       1.4935       1.6231       2.5261       1.2799       1.8258
      28       1.3548       1.4890       2.3303       0.9672       1.1201
      29       1.5533       2.1049       2.2793       1.3463       1.5778
      30       1.4490       1.4876       1.7523       1.1833       1.1916
      31       1.2627       1.8739       2.2520       0.9947       1.0545
      32       0.9172       2.0134       1.4231       0.9465       1.1753
      33       1.0434       1.7163       2.6571       1.2119       1.5129
      34       1.6694       1.6494       2.5697       1.2196       1.3404
      35       1.0321       1.8834       2.4512       1.2522       1.8218
      36       1.0874       1.9590       2.3508       1.1684       1.7220
      37       1.1702       2.1470       2.1041       0.8708       1.1531
      38       1.1371       2.1521       2.4279       1.4038       1.6575
      39       1.6678       2.0103       2.1146       1.3852       2.1601
      40       1.1040       2.0974       2.3035       1.4412       1.6873
      41       1.2047       2.3579       2.4831       1.7589       2.6522
      42       1.5412       2.0123       1.9938       1.2620       1.8639
      43       1.6009       1.8523       1.7754       1.2659       1.4743
      44       1.7953       2.0538       1.4410       1.2523       1.3878
      45       1.5549       2.0118       2.6100       1.3340       1.7343
      46       1.6080       2.0137       2.3963       1.0757       2.1479
      47       1.9252       2.1574       2.3274       1.3586       1.4464
      48       2.1238       2.2564       2.0985       1.2680       1.6222
      49       1.6216       2.1386       1.8743       1.1102       1.4515
      50       1.2426       2.1924       2.2099       0.9742       1.7688
      51       1.7286       2.2967       1.6672       1.3004       1.6814
      52       1.3267       2.1921       2.1736       1.0711       1.3702
      53       1.5421       2.2418       2.4269       1.1519       1.2686
      54       1.4607       1.9844       1.8190       1.2122       1.3939
      55       1.3212       2.0414       2.4834       0.9888       1.0282
      56       1.1815       2.1793       2.6187       0.9812       1.0393
