#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker
       1       0.0000       0.0000       0.0000       0.0000       0.0000
       2       1.5541       0.1846       0.9731       0.9920       0.9650
       3       1.6707       0.1895       0.8766       1.0041       1.0813
       4       1.7045       0.1799       0.9008       1.0305       0.9034
       5       1.7200       0.1883       0.9333       1.0512       1.0839
       6       1.7299       0.1881       1.0287       1.0431       1.0153
       7       1.6416       0.3271       0.8216       0.7484       0.6824
       8       1.6336       0.3189       0.7468       0.7709       0.7581
       9       1.6223       0.3419       0.9259       0.6389       0.6037
      10       1.7543       0.3022       0.8402       0.9137       0.9117
      11       1.7102       0.3009       0.9095       0.9381       0.8746
      12       1.3000       0.7989       0.9949       0.9695       1.0857
      13       1.2442       0.7068       0.9769       0.7163       0.5583
      14       1.0477       0.9926       2.3093       0.6330       0.4361
      15       1.2560       0.7988       1.3057       0.6597       0.5523
      16       1.2771       0.8799       1.3455       0.5038       0.2837
      17       0.8193       1.0249       0.9817       0.5371       0.7170
      18       1.2496       1.0017       1.0699       0.4409       0.4025
      19       1.5526       1.2342       0.5116       0.7297       0.4227
      20       1.7346       1.1882       1.1545       0.5784       0.4992
      21       1.4132       1.0366       0.8505       0.9130       0.7672
      22       1.3173       1.2617       1.1653       0.3418       0.5048
      23       1.1437       1.4392       0.8585       0.4049       0.8892
      24       1.1181       1.5005       0.4933       0.4252       0.3154
      25       1.5342       1.5290       0.7779       0.3427       0.8573
      26       0.9558       1.5490       0.8478       0.3830       0.8634
      27       0.9496       2.0472       0.8413       0.4141       0.5375
      28       0.6563       1.7700       0.6454       0.5467       0.5841
      29       0.8053       1.8111       0.7004       0.4193       0.3925
      30       1.4149       1.5338       0.7123       0.6475       0.7579
      31       1.5226       1.8231       0.5443       0.4966       1.0488
      32       1.5909       1.5090       0.5493       0.3727       0.4208
      33       1.2558       1.5722       0.5210       0.4853       0.6965
      34       1.0425       2.0513       0.9670       0.3261       1.0087
      35       1.5226       1.5374       1.1175       0.2993       0.5226
      36       1.5091       1.3906       0.9034       0.3591       0.7789
      37       1.3000       1.3231       1.0964       0.3911       0.8816
      38       1.1882       1.2578       1.3626       0.6721       1.4206
      39       1.8315       1.6369       1.1565       0.4849       1.3288
      40       1.2827       1.4552       0.5543       0.5980       0.5817
      41       1.2833       1.5699       0.8942       0.5358       0.4926
      42       1.1966       1.4921       0.8863       0.4612       1.0309
      43       1.5578       1.4297       1.1658       0.3911       0.9497
      44       1.1881       1.4259       1.2338       0.5687       1.1909
      45       1.2126       1.7297       1.1254       0.5666       1.3963
      46       1.3659       1.6080       0.9050       0.5997       1.4070
      47       1.5124       1.7662       0.6683       0.4841       0.7856
      48       1.2985       1.8299       0.7487       0.6820       1.0715
      49       1.5552       1.6956       0.7908       0.6232       1.2504
      50       1.1484       1.5009       0.8043       0.6997       0.9076
      51       1.2338       1.5973       0.8398       0.9255       1.2247
      52       1.3962       1.4559       1.3414       0.8347       0.7977
      53       1.0696       1.2062       0.8878       0.5079       0.6450
      54       1.1473       1.2819       1.3071       0.5250       0.4857
      55       1.2407       1.5469       0.6140       0.5756       0.3772
      56       1.4878       1.4536       1.4125       0.6229       1.5255
      57       1.9215       1.2523       0.5963       0.6048       0.4653
      58       2.4017       1.1591       0.9084       0.4669       0.5646
      59       2.4617       1.3796       1.0834       0.7154       0.7483
      60       2.1470       1.6737       0.7946       0.6188       0.7597
      61       1.6370       1.4765       1.2623       0.4816       0.8335
      62       1.4154       1.3099       0.7591       0.5439       1.0584
      63       1.7057       1.4041       0.5825       0.3771       0.1627
      64       1.6040       1.3412       1.1354       0.5807       1.0263
      65       1.3361       1.5248       0.8048       0.6452       0.5294
      66       1.5274       1.3570       0.9690       0.5509       0.8883
      67       2.2809       1.2233       1.7244       0.6012       1.8388
      68       2.5255       1.0871       0.8066       0.4400       0.9696
      69       2.7050       1.2539       1.2071       0.3334       0.8340
      70       2.2116       1.1818       0.9568       0.6154       1.0326
      71       1.5124       1.0531       1.1285       0.3137       0.9127
      72       1.5479       0.9773       1.0490       0.7085       0.6914
      73       1.0947       1.0454       1.0511       0.8757       0.9626
      74       1.2980       1.1476       0.9109       0.8492       0.6882
      75       1.7182       1.1020       0.9066       0.6370       0.9173
      76       1.6873       1.1225       0.7040       0.4697       0.7333
      77       1.5009       1.1719       1.0298       0.4575       0.7010
      78       1.4274       1.5328       1.0233       0.3870       0.5107
      79       1.6409       1.1984       0.8107       0.9452       0.7792
      80       1.2700       1.2493       1.4428       0.5792       0.7906
      81       2.2047       1.2039       0.8370       0.3836       0.4901
      82       1.0555       1.1091       0.9838       0.7744       0.8954
      83       1.4709       1.0861       1.0821       0.5993       0.6235
      84       1.5009       1.1480       1.4372       0.6628       1.4320
      85       1.6128       1.3863       1.1545       0.7740       0.4306
      86       2.1090       1.2046       0.9546       0.3663       0.7476
      87       1.7114       1.5154       0.6563       0.4612       0.2524
      88       1.8189       1.5951       1.4334       0.4089       0.9141
      89       1.5674       1.4802       0.7372       0.9187       0.6870
      90       1.5947       1.1130       1.3260       0.6957       0.6534
      91       1.9002       1.1053       1.3618       0.9029       0.9562
      92       2.1500       1.1286       1.7325       0.8344       0.6737
      93       2.4762       1.1828       1.8990       0.7064       0.6265
      94       2.8895       1.2284       1.4081       0.7269       0.7342
      95       2.1886       1.2708       1.3796       0.8856       0.9142
      96       2.0595       1.3342       1.1242       0.5064       0.5772
      97       1.1983       1.3374       1.0498       0.7972       0.8332
      98       1.4970       1.4409       1.2820       0.4786       0.9971
      99       1.7705       1.2368       1.1169       0.5365       0.6998
     100       1.2908       1.1755       0.5030       0.6067       0.3050
     101       1.2986       1.2756       1.5658       0.6179       0.3565
     102       1.5308       1.2455       1.5504       0.7779       1.3571
     103       0.9695       1.2191       1.1288       1.0403       1.4726
     104       1.5091       1.2337       1.0717       0.6965       1.0483
     105       1.3549       1.2077       0.8168       0.6350       1.0493
     106       2.5236       1.2679       1.2975       0.3424       0.3536
     107       2.6997       1.1907       0.6923       0.7360       1.0636
     108       1.4825       1.2356       1.1771       0.6161       1.0978
     109       1.5642       1.1452       0.6796       0.6950       0.5937
     110       1.2002       1.3811       2.2548       1.0684       1.2722
     111       1.7126       1.1718       1.6707       0.6026       0.4940
     112       1.4627       1.3801       0.6286       0.4737       0.6207
     113       2.5109       1.1994       1.1799       0.2838       0.2948
     114       1.6966       1.2306       1.0553       0.5047       1.1495
     115       2.3451       1.2384       1.0639       0.5914       0.5006
     116       1.9527       1.4444       1.3053       0.2227       0.6197
     117       2.2230       1.3078       0.5510       0.4555       0.6800
     118       2.1733       1.2000       1.2022       0.1691       0.7782
     119       2.5247       1.4552       1.7168       0.5120       0.7445
     120       3.0871       1.4002       1.1760       0.5246       0.9787
     121       3.5708       1.5398       1.1796       0.4527       0.9802
     122       3.6744       1.3218       1.2210       0.5986       0.5627
     123       5.3842       1.1822       1.2829       0.3163       0.4897
     124       4.5314       1.2183       1.8021       0.3243       0.7924
     125       3.6088       1.2552       0.5737       0.4731       0.3762
     126       4.1502       1.4660       1.5187       0.4142       1.1084
     127       4.1038       1.3056       1.2549       0.4476       0.6231
     128       5.0636       1.2247       1.4677       0.2177       1.1649
     129       4.3128       1.4146       1.7506       0.4871       1.5789
     130       4.1407       1.4318       1.0403       0.7750       0.9633
     131       4.5774       1.4728       2.8253       0.3955       1.0314
     132       5.0646       1.4590       3.1621       0.6722       0.9941
     133       4.7732       1.2412       2.8518       0.6722       0.8805
     134       5.7084       1.2800       2.9808       0.4580       0.8920
     135       3.8492       1.2209       2.1095       0.8272       0.8751
     136       3.5993       1.2558       2.1322       0.7833       0.7654
     137       2.3221       1.2881       1.8271       0.6229       0.6443
     138       3.1948       1.2639       2.1524       0.6432       0.9094
     139       2.6179       1.3904       1.7354       0.5563       1.4689
     140       2.5082       1.2254       0.7681       0.4893       0.6223
     141       2.3622       1.3300       1.2894       0.6283       0.9652
     142       1.8714       1.3546       1.7621       0.5520       1.5793
     143       1.8395       1.3458       1.6278       0.4816       1.0963
     144       1.9024       1.3392       0.7327       0.7522       0.5856
     145       3.3023       1.3142       0.8617       1.1022       1.0661
     146       3.8391       1.5947       1.4055       0.4180       0.7717
     147       3.8252       1.5537       1.3465       0.4016       0.9373
     148       3.4717       1.5907       1.7427       0.6972       1.5466
     149       3.2272       1.8516       1.5354       0.5447       1.6447
     150       2.4819       1.7409       0.9628       0.6793       0.9620
     151       3.6407       1.7052       1.2202       0.6918       1.1675
     152       2.7631       1.5793       1.1674       0.8436       0.7414
     153       2.1823       1.4442       1.1190       0.7230       0.7653
     154       2.4074       1.5124       0.4339       0.5154       0.3714
     155       2.5141       1.6183       0.4973       0.4436       0.2343
     156       2.1721       1.7183       0.8196       0.5266       0.2293
     157       2.0297       1.4003       0.5150       0.5033       0.2885
     158       1.7180       1.3941       0.9133       0.3656       1.1835
     159       1.7998       1.2603       0.6108       0.5705       0.1797
     160       2.0664       1.5040       1.9856       0.3815       0.1716
     161       2.3548       1.3855       1.1547       0.5137       1.1709
     162       1.8403       1.8083       1.9089       0.6402       0.5731
     163       1.7715       1.8316       1.0278       0.5849       0.8665
     164       2.3006       1.3130       0.5544       0.7139       0.9404
     165       3.4025       1.2442       1.1873       0.7069       1.1139
     166       2.0889       1.5494       0.9357       0.4726       0.5473
     167       2.0601       1.5434       2.1525       1.0421       0.8079
     168       2.1471       1.8608       2.5387       0.4976       0.7796
     169       2.5190       1.6412       2.2035       0.5491       1.0064
     170       2.1788       1.7862       1.7573       0.4700       0.4007
     171       2.0039       1.5893       2.1444       1.1214       1.3451
     172       0.9617       1.6871       1.3202       0.7285       0.8664
     173       1.6209       1.4641       1.1395       0.3985       0.5599
     174       0.9171       1.7351       1.2199       0.4972       0.9074
     175       1.4012       1.3637       0.6554       0.5112       0.3355
     176       1.6128       1.5972       1.8436       0.5437       1.5775
